"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,"Non-Graduates",,,
"District","School","Special Education Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",134,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",16,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",244,"*","*","*","*"
"Avon School District","Avon High School","Special Education",25,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",202,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",30,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",212,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",32,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",120,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Special Education",14,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education",22,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education",6,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",93,"*","*","*","*"
"Bolton School District","Bolton High School","Special Education",7,"*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",254,"*","*","*","*"
"Branford School District","Branford High School","Special Education",41,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",298,8,2.7,84,28.2
"Bridgeport School District","Bassick High School","Special Education",40,7,17.5,"*","*"
"Bridgeport School District","Central High School","Non-Special Education",504,"*","*",77,15.3
"Bridgeport School District","Central High School","Special Education",51,7,13.7,"*","*"
"Bridgeport School District","Harding High School","Non-Special Education",264,"*","*",66,25.0
"Bridgeport School District","Harding High School","Special Education",43,"*","*",18,41.9
"Bristol School District","Bristol Central High School","Non-Special Education",284,"*","*",34,12.0
"Bristol School District","Bristol Central High School","Special Education",43,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",279,"*","*",23,8.2
"Bristol School District","Bristol Eastern High School","Special Education",64,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",210,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",20,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",117,"*","*","*","*"
"Canton School District","Canton High School","Special Education",17,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education",29,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",86,"*","*",10,11.6
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education",8,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-Special Education",44,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Special Education","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",93,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-Special Education",39,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Special Education",6,"*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",326,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",38,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",119,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",9,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",220,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",27,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",166,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",17,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",184,"*","*",14,7.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",130,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",13,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",100,"*","*",8,8.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education",10,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",118,"*","*",6,5.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",9,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",120,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",167,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",10,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",103,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",8,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",121,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",22,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",145,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education",9,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",142,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Special Education",13,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-Special Education",136,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Special Education",9,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-Special Education",191,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Special Education",16,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-Special Education",120,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Special Education",21,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-Special Education",182,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-Special Education",112,"*","*","*","*"
