"Five-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,
"",,"Five-Year Graduation Rate by Year",,,
"District","School","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Amistad Academy",63.0,94.4,87.0,91.3
"Ansonia School District","Ansonia High School",78.1,82.9,82.7,80.7
"Avon School District","Avon High School",98.0,97.9,98.8,99.3
"Berlin School District","Berlin High School",95.0,98.0,96.2,97.4
"Bethel School District","Bethel High School",94.7,97.4,95.3,94.7
"Bloomfield School District","Bloomfield High School",83.8,93.3,95.9,93.3
"Bloomfield School District","Global Experience Magnet School","N/A","N/A","*",100.0
"Bloomfield School District","Learning Academy at Bloomfield","N/A","N/A","*",77.8
"Bloomfield School District","The Big Picture High School",92.9,82.4,"N/A","N/A"
"Bolton School District","Bolton High School",95.8,95.7,96.3,98.0
"Branford School District","Branford High School",96.0,95.7,94.1,92.5
"Bridgeport School District","Bassick High School",66.3,54.8,67.2,67.5
"Bridgeport School District","Central High School",78.2,84.0,82.0,84.1
"Bridgeport School District","Harding High School",48.7,67.0,64.2,71.3
"Bristol School District","Bristol Central High School",79.5,89.7,86.2,87.8
"Bristol School District","Bristol Eastern High School",87.4,89.9,86.1,89.2
"Brookfield School District","Brookfield High School",96.6,99.2,97.9,99.6
"Canton School District","Canton High School",95.8,98.3,99.2,97.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","N/A","N/A",92.1,96.8
"Capitol Region Education Council","Great Path Academy at MCC",89.7,85.3,"N/A","N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",83.6,89.7,84.9,88.3
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","N/A","N/A","N/A",93.6
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",92.2,94.9,95.6,94.8
"Capitol Region Education Council","Public Safety Academy","N/A","N/A","N/A",86.7
"Cheshire School District","Cheshire High School",97.5,99.5,98.0,99.2
"Clinton School District","The Morgan School",95.1,94.2,91.6,95.3
"Colchester School District","Bacon Academy",94.8,97.9,95.6,97.6
"Common Ground High School District","Common Ground High School",86.8,96.7,94.7,89.7
"Connecticut Technical High School System","A. I. Prince Technical High School",92.7,94.1,91.6,95.6
"Connecticut Technical High School System","Bullard-Havens Technical High School",95.3,95.1,96.4,91.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School",96.0,94.6,96.9,96.5
"Connecticut Technical High School System","Eli Whitney Technical High School",81.3,92.0,86.6,92.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",96.0,96.1,98.6,94.5
"Connecticut Technical High School System","Emmett O'Brien Technical High School",95.0,99.3,96.6,97.6
"Connecticut Technical High School System","H. C. Wilcox Technical High School",97.3,97.6,99.4,97.7
"Connecticut Technical High School System","H. H. Ellis Technical High School",89.1,96.2,100.0,96.4
"Connecticut Technical High School System","Henry Abbott Technical High School",93.6,97.5,96.6,96.5
"Connecticut Technical High School System","Howell Cheney Technical High School",98.5,98.6,97.6,99.4
"Connecticut Technical High School System","Norwich Technical High School",98.2,97.4,98.7,98.1
"Connecticut Technical High School System","Oliver Wolcott Technical High School",93.2,97.5,99.4,97.2
"Connecticut Technical High School System","Platt Technical High School",97.0,97.2,99.0,98.1
"Connecticut Technical High School System","Vinal Technical High School",93.3,96.9,95.0,94.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School",96.7,98.3,97.9,98.9
"Connecticut Technical High School System","Windham Technical High School",96.0,97.8,99.2,98.4
"Coventry School District","Coventry High School",91.4,92.6,90.4,99.2
"Cromwell School District","Cromwell High School",95.8,95.2,95.0,93.2
"Danbury School District","Alternative Center For Excellence","N/A","N/A",45.5,"N/A"
"Danbury School District","Danbury High School",83.2,86.9,85.4,86.9
"Darien School District","Darien High School",97.2,98.0,98.1,98.5
"Derby School District","Derby High School",80.2,81.7,83.3,86.3
"East Granby School District","East Granby High School",97.4,96.7,97.1,95.3
"East Haddam School District","Nathan Hale-Ray High School",92.5,93.9,98.9,96.0
"East Hampton School District","East Hampton High School",93.4,96.2,97.7,98.3
"East Hartford School District","Connecticut IB Academy",100.0,91.9,97.4,97.8
"East Hartford School District","East Hartford High School",86.1,89.0,88.9,86.9
"East Hartford School District","Stevens Alternate High school","N/A","N/A",66.4,65.4
"East Haven School District","East Haven High School",87.7,78.5,77.3,84.1
"East Lyme School District","East Lyme High School",97.5,95.6,96.4,98.1
"East Windsor School District","East Windsor High School",88.9,90.6,88.0,94.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",82.4,91.2,96.2,94.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",79.1,75.0,82.5,66.7
"Ellington School District","Ellington High School",95.1,93.0,94.4,95.9
"Elm City College Preparatory School District","Elm City College Preparatory School","N/A",84.2,76.9,91.3
