"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs",14,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs",13,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",99,68,68.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",84,75,89.3
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",31,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",223,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",43,37,86.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",217,210,96.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",42,34,81.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",204,199,97.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",70,57,81.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",97,83,85.6
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","High Needs","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-High Needs","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",9,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",63,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",62,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",212,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs",326,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs",9,"*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",547,431,78.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-High Needs",49,35,71.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs",411,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs",22,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",123,83,67.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",208,180,86.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",107,88,82.2
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",257,230,89.5
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",18,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",245,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",18,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",100,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","High Needs",68,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-High Needs",49,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",22,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",39,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",23,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-High Needs",79,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","High Needs",48,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-High Needs",316,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","High Needs",35,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-High Needs",109,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","High Needs",42,37,88.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-High Needs",208,200,96.2
