"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",18,0,"*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",82,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",22,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",46,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Not Eligible For Lunch",248,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Free Lunch",29,"*","*",0,0.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Reduced Lunch",9,0,"*",0,"*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Not Eligible For Lunch",194,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Free Lunch",36,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Reduced Lunch",17,0,"*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Not Eligible For Lunch",191,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Free Lunch",72,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch",19,0,"*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Not Eligible For Lunch",43,"*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch",14,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Not Eligible For Lunch",89,"*","*",0,0.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Free Lunch",54,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Reduced Lunch",13,0,"*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Not Eligible For Lunch",228,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Free Lunch",329,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Reduced Lunch",9,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Free Lunch",533,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Not Eligible For Lunch","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Free Lunch",301,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Reduced Lunch",6,0,"*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Free Lunch",105,0,0.0,26,24.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",33,0,0.0,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Not Eligible For Lunch",189,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",98,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",30,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",215,0,0.0,12,5.6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Free Lunch",14,0,"*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Reduced Lunch",9,0,"*",0,"*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Not Eligible For Lunch",207,0,0.0,0,0.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible For Free Lunch",8,0,"*",0,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Not Eligible For Lunch",126,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Eligible For Free Lunch","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Eligible For Reduced Lunch","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Not Eligible For Lunch",18,0,"*",0,"*"
