"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Gender"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Gender","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",17,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",10,0,"*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",93,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",90,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",136,0,0.0,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",118,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",124,0,0.0,6,4.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",136,0,0.0,7,5.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",132,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",114,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",80,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",87,"*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",47,0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",25,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",132,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",142,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",159,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",176,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",290,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",306,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",222,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",211,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",170,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",161,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",184,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",180,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",120,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",143,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",56,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",62,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Female",70,0,0.0,6,8.6
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Male",47,0,0.0,6,12.8
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",38,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",23,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",58,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",44,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",162,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",202,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",77,0,0.0,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",67,0,0.0,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",122,0,0.0,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",128,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",21,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",17,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",84,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",67,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",89,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",102,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",37,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",64,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",49,0,0.0,9,18.4
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",74,0,0.0,14,18.9
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",55,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",70,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",38,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",81,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",69,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",113,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",38,0,0.0,7,18.4
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",91,0,0.0,7,7.7
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",53,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",104,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",19,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",116,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",35,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",76,"*","*",0,0.0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",62,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",130,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",65,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",134,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",40,0,0.0,"*","*"
