"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",13,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",84,"*","*",22,26.2
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",43,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",72,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",272,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",19,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",228,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",20,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",15,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",200,"*","*",6,3.0
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",68,"*","*",7,10.3
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",22,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",74,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch",9,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Not Eligible For Lunch","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",62,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",38,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Reduced Lunch",21,"*","*","*","*"
"Branford School District","Branford High School","Not Eligible For Lunch",194,"*","*",8,4.1
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",292,"*","*",125,42.8
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",8,"*","*",6,75.0
"Bridgeport School District","Bassick High School","Not Eligible For Lunch","*","*","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",523,"*","*",80,15.3
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",40,"*","*","*","*"
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",339,"*","*",112,33.0
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",17,"*","*","*","*"
"Bridgeport School District","Harding High School","Not Eligible For Lunch","*","*","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",99,"*","*",20,20.2
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",38,"*","*","*","*"
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",194,"*","*",9,4.6
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",68,"*","*",15,22.1
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",29,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",191,"*","*",11,5.8
"Brookfield School District","Brookfield High School","Eligible For Free Lunch","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",236,"*","*","*","*"
"Canton School District","Canton High School","Eligible For Free Lunch",7,"*","*","*","*"
"Canton School District","Canton High School","Not Eligible For Lunch",110,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Free Lunch",36,"*","*",7,19.4
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Reduced Lunch",10,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Not Eligible For Lunch",29,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Free Lunch",44,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Reduced Lunch",12,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Not Eligible For Lunch",41,"*","*",7,17.1
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Free Lunch",21,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Reduced Lunch",23,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",34,"*","*","*","*"
"Cheshire School District","Cheshire High School","Eligible For Free Lunch",19,"*","*","*","*"
"Cheshire School District","Cheshire High School","Eligible For Reduced Lunch",22,"*","*","*","*"
"Cheshire School District","Cheshire High School","Not Eligible For Lunch",354,"*","*","*","*"
"Clinton School District","The Morgan School","Eligible For Free Lunch","*","*","*","*","*"
"Clinton School District","The Morgan School","Eligible For Reduced Lunch","*","*","*","*","*"
"Clinton School District","The Morgan School","Not Eligible For Lunch",106,"*","*",7,6.6
"Colchester School District","Bacon Academy","Eligible For Free Lunch",23,"*","*","*","*"
"Colchester School District","Bacon Academy","Eligible For Reduced Lunch",15,"*","*","*","*"
"Colchester School District","Bacon Academy","Not Eligible For Lunch",202,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Eligible For Free Lunch",16,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Eligible For Reduced Lunch",8,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Not Eligible For Lunch",6,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Free Lunch",118,"*","*","*","*"
