"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, High Needs Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","High Needs Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","High Needs","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-High Needs","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","High Needs",137,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-High Needs",62,0,0.0,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","High Needs",44,0,0.0,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-High Needs",239,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","High Needs",60,0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-High Needs",196,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","High Needs",55,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-High Needs",180,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","High Needs",96,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-High Needs",68,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","High Needs","*","*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Non-High Needs","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","High Needs",13,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-High Needs",57,0,0.0,0,0.0
"Branford School District","=""0140011""","Branford High School","=""0146111""","High Needs",81,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-High Needs",172,0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","High Needs",564,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-High Needs","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","High Needs",158,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-High Needs",173,0,0.0,"*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","High Needs",121,0,0.0,19,15.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-High Needs",167,0,0.0,10,6.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","High Needs",30,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-High Needs",222,0,0.0,0,0.0
"Canton School District","=""0230011""","Canton High School","=""0236111""","High Needs",16,0,"*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-High Needs",101,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","High Needs",50,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Non-High Needs",25,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","High Needs",60,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-High Needs",37,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","High Needs",47,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-High Needs",31,0,0.0,0,0.0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","High Needs",73,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-High Needs",322,0,0.0,"*","*"
