"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Special Education Status"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",186,153,82.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",22,19,86.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-Special Education",230,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Special Education",30,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-Special Education",239,232,97.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Special Education",24,21,87.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-Special Education",212,208,98.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Special Education",21,14,66.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-Special Education",110,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Special Education",11,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-Special Education","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Special Education","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-Special Education",70,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Special Education",11,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-Special Education",238,225,94.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","Special Education",31,28,90.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-Special Education",277,193,69.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Special Education",37,18,48.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-Special Education",482,404,83.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Special Education",58,39,67.2
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-Special Education",278,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Special Education",54,"*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-Special Education",269,238,88.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Special Education",42,30,71.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-Special Education",260,226,86.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Special Education",43,35,81.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-Special Education",225,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Special Education",13,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-Special Education",106,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Special Education",16,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-Special Education",77,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Special Education",9,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-Special Education","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Special Education","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-Special Education",320,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Special Education",35,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-Special Education",121,114,94.2
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Special Education",22,17,77.3
