"Five-Year Graduation Rates, Trend"
"All Districts, All Schools, High Needs Status"

"",,,"Graduates",,,
"",,,"Five-Year Graduation Rate by Year",,,
"District","School","High Needs Status","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Amistad Academy","High Needs",57.1,"*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs",69.2,"*","*","*"
"Ansonia School District","Ansonia High School","High Needs",68.7,78.8,78.6,76.4
"Ansonia School District","Ansonia High School","Non-High Needs",89.3,91.9,94.4,90.9
"Avon School District","Avon High School","High Needs",96.8,93.2,95.5,97.6
"Avon School District","Avon High School","Non-High Needs",98.2,98.7,99.5,99.6
"Berlin School District","Berlin High School","High Needs",86.0,98.3,86.5,93.2
"Berlin School District","Berlin High School","Non-High Needs",96.8,98.0,98.6,98.8
"Bethel School District","Bethel High School","High Needs",81.0,94.5,81.7,88.9
"Bethel School District","Bethel High School","Non-High Needs",97.5,98.3,100.0,97.5
"Bloomfield School District","Bloomfield High School","High Needs",81.4,90.6,94.3,93.8
"Bloomfield School District","Bloomfield High School","Non-High Needs",85.6,97.1,98.0,92.1
"Bloomfield School District","Global Experience Magnet School","High Needs","N/A","N/A",100.0,100.0
"Bloomfield School District","Global Experience Magnet School","Non-High Needs","N/A","N/A",100.0,100.0
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","N/A","N/A","*","*"
"Bloomfield School District","The Big Picture High School","High Needs","*","*","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Non-High Needs","*","*","N/A","N/A"
"Bolton School District","Bolton High School","High Needs",77.8,76.9,90.0,86.7
"Bolton School District","Bolton High School","Non-High Needs",98.4,100.0,98.4,100.0
"Branford School District","Branford High School","High Needs",83.9,96.3,91.4,86.0
"Branford School District","Branford High School","Non-High Needs",99.5,95.3,95.2,96.3
"Bridgeport School District","Bassick High School","High Needs",66.6,54.6,67.3,67.5
"Bridgeport School District","Bassick High School","Non-High Needs","*","*","*","N/A"
"Bridgeport School District","Central High School","High Needs",78.8,84.0,81.9,84.3
