"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Race/Ethnicity"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Race/Ethnicity","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black",17,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Indian or Alaska Native","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Black","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Hispanic",43,34,79.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Two or More Races","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","White",73,60,82.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","Black","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hispanic",9,9,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Two or More Races","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","White",235,233,99.1
"Avon School District","=""0040011""","Avon High School","=""0046111""","Asian",15,15,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Hawaiian or Pacific Islander","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Black","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Hispanic",17,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Two or More Races","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","White",200,195,97.5
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Asian",11,11,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Black","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Hispanic",30,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Two or More Races","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","White",183,175,95.6
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Asian",22,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Black",121,112,92.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Hispanic",9,9,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Two or More Races","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","White","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Asian","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Black",20,20,100.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Hispanic","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","White","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Black",9,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Black","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Hispanic","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Two or More Races",6,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","White",87,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Asian","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Black",13,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Hispanic",22,17,77.3
"Branford School District","=""0140011""","Branford High School","=""0146111""","Two or More Races",7,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","White",231,217,93.9
"Branford School District","=""0140011""","Branford High School","=""0146111""","Asian",22,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Black",151,103,68.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Hispanic",153,100,65.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Two or More Races","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","White","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Asian",17,13,"*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Black",238,212,89.1
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Hispanic",227,180,79.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Indian or Alaska Native","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Two or More Races","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","White",67,54,80.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Asian",14,14,"*"
