"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",
"District","School","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","ELL","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL","*","*","*"
"Ansonia School District","Ansonia High School","ELL",13,9,69.2
"Ansonia School District","Ansonia High School","Non-ELL",195,163,83.6
"Avon School District","Avon High School","ELL","*","*","*"
"Avon School District","Avon High School","Non-ELL","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*"
"Bloomfield School District","Bloomfield High School","ELL","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",120,115,95.8
"Bloomfield School District","Global Experience Magnet School","Non-ELL",30,30,100.0
"Bloomfield School District","Learning Academy at Bloomfield","ELL","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL",6,"*","*"
"Bolton School District","Bolton High School","Non-ELL",81,78,96.3
"Branford School District","Branford High School","ELL","*","*","*"
"Branford School District","Branford High School","Non-ELL","*","*","*"
"Bridgeport School District","Bassick High School","ELL",55,35,63.6
"Bridgeport School District","Bassick High School","Non-ELL",259,176,68.0
"Bridgeport School District","Central High School","ELL",49,37,75.5
"Bridgeport School District","Central High School","Non-ELL",491,406,82.7
"Bridgeport School District","Harding High School","ELL",65,35,53.8
"Bridgeport School District","Harding High School","Non-ELL",267,178,66.7
"Bristol School District","Bristol Central High School","ELL",13,9,69.2
"Bristol School District","Bristol Central High School","Non-ELL",298,259,86.9
"Bristol School District","Bristol Eastern High School","ELL",10,6,60.0
"Bristol School District","Bristol Eastern High School","Non-ELL",293,255,87.0
"Brookfield School District","Brookfield High School","ELL","*","*","*"
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*"
"Canton School District","Canton High School","Non-ELL",122,121,99.2
"Capitol Region Education Council","Academy of Aerospace and Engineering","ELL","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-ELL",33,30,90.9
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELL","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",84,71,84.5
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",90,86,95.6
"Cheshire School District","Cheshire High School","ELL","*","*","*"
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*"
"Common Ground High School District","Common Ground High School","ELL","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","ELL",13,12,92.3
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",153,140,91.5
"Connecticut Technical High School System","Bullard-Havens Technical High School","ELL",15,14,93.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL",181,175,96.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL",14,13,92.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL",116,113,97.4
"Connecticut Technical High School System","Eli Whitney Technical High School","ELL",24,19,79.2
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL",95,84,88.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL",9,9,100.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL",138,136,98.6
"Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL",114,110,96.5
"Connecticut Technical High School System","H. C. Wilcox Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL",176,175,99.4
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL",113,113,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL",143,140,97.9
"Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL",164,160,97.6
"Connecticut Technical High School System","Norwich Technical High School","Non-ELL",154,152,98.7
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL",166,165,99.4
"Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-ELL",206,204,99.0
"Connecticut Technical High School System","Vinal Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-ELL",140,133,95.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL",192,188,97.9
"Connecticut Technical High School System","Windham Technical High School","ELL",6,"*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-ELL",126,126,100.0
"Coventry School District","Coventry High School","ELL","*","*","*"
"Coventry School District","Coventry High School","Non-ELL","*","*","*"
"Cromwell School District","Cromwell High School","ELL","*","*","*"
"Cromwell School District","Cromwell High School","Non-ELL","*","*","*"
"Danbury School District","Alternative Center For Excellence","ELL","*","*","*"
"Danbury School District","Alternative Center For Excellence","Non-ELL","*","*","*"
"Danbury School District","Danbury High School","ELL",132,90,68.2
"Danbury School District","Danbury High School","Non-ELL",603,538,89.2
"Darien School District","Darien High School","Non-ELL",312,306,98.1
"Derby School District","Derby High School","ELL","*","*","*"
"Derby School District","Derby High School","Non-ELL","*","*","*"
"East Granby School District","East Granby High School","Non-ELL",69,67,97.1
"East Haddam School District","Nathan Hale-Ray High School","Non-ELL",95,94,98.9
"East Hampton School District","East Hampton High School","ELL","*","*","*"
"East Hampton School District","East Hampton High School","Non-ELL","*","*","*"
"East Hartford School District","Connecticut IB Academy","ELL","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-ELL",37,36,97.3
"East Hartford School District","East Hartford High School","ELL",22,19,86.4
"East Hartford School District","East Hartford High School","Non-ELL",346,308,89.0
"East Hartford School District","Stevens Alternate High school","ELL","*","*","*"
"East Hartford School District","Stevens Alternate High school","Non-ELL",107,70,65.4
"East Haven School District","East Haven High School","ELL","*","*","*"
"East Haven School District","East Haven High School","Non-ELL","*","*","*"
"East Lyme School District","East Lyme High School","ELL","*","*","*"
"East Lyme School District","East Lyme High School","Non-ELL","*","*","*"
"East Windsor School District","East Windsor High School","ELL","*","*","*"
"East Windsor School District","East Windsor High School","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-ELL",39,32,82.1
"Ellington School District","Ellington High School","ELL","*","*","*"
"Ellington School District","Ellington High School","Non-ELL","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Non-ELL",13,10,76.9
"Enfield School District","Enfield High School","ELL","*","*","*"
"Enfield School District","Enfield High School","Non-ELL",181,155,85.6
"Enfield School District","Enrico Fermi High School","ELL","*","*","*"
"Enfield School District","Enrico Fermi High School","Non-ELL",254,241,94.9
"Explorations District","Explorations","ELL","*","*","*"
"Explorations District","Explorations","Non-ELL","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","ELL","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-ELL",380,365,96.1
"Fairfield School District","Fairfield Warde High School","ELL","*","*","*"
"Fairfield School District","Fairfield Warde High School","Non-ELL",302,284,94.0
"Farmington School District","Farmington High School","ELL","*","*","*"
"Farmington School District","Farmington High School","Non-ELL","*","*","*"
"Glastonbury School District","Glastonbury High School","ELL","*","*","*"
"Glastonbury School District","Glastonbury High School","Non-ELL","*","*","*"
"Granby School District","Granby Memorial High School","Non-ELL",193,190,98.4
"Greenwich School District","Greenwich High School","ELL",24,21,87.5
"Greenwich School District","Greenwich High School","Non-ELL",660,643,97.4
"Griswold School District","Griswold High School","Non-ELL",166,151,91.0
"Groton School District","Robert E. Fitch High School","ELL",9,8,88.9
"Groton School District","Robert E. Fitch High School","Non-ELL",310,262,84.5
"Guilford School District","Guilford High School","ELL","*","*","*"
"Guilford School District","Guilford High School","Non-ELL","*","*","*"
"Hamden School District","Hamden High School","ELL",10,9,90.0
"Hamden School District","Hamden High School","Non-ELL",431,391,90.7
"Hartford School District","Bulkeley High School Upper School","ELL",39,31,79.5
"Hartford School District","Bulkeley High School Upper School","Non-ELL",137,104,75.9
"Hartford School District","Capital Preparatory Magnet School","Non-ELL",33,33,100.0
"Hartford School District","Classical Magnet School","ELL","*","*","*"
"Hartford School District","Classical Magnet School","Non-ELL",86,85,98.8
"Hartford School District","Culinary Arts Academy","ELL",12,6,50.0
"Hartford School District","Culinary Arts Academy","Non-ELL",63,45,71.4
"Hartford School District","Great Path Academy High School at MCC","ELL","*","*","*"
"Hartford School District","Great Path Academy High School at MCC","Non-ELL",67,64,95.5
"Hartford School District","HPHS Academy of Engineering and Green Technology","ELL",38,25,65.8
