"Incident Counts, 2012-13"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"*",17,9,223,45,24,"*","*",2626
"Amistad Academy District","=""2790013""","*","*",31,15,134,"*",9,"*",0,1520
"Andover School District","=""0010011""",0,"*","*",0,"*","*",0,0,0,"*"
"Ansonia School District","=""0020011""",6,0,22,"*",29,88,10,6,16,472
"Area Cooperative Educational Services","=""2440014""",0,14,69,"*",118,158,14,10,13,178
"Ashford School District","=""0030011""",0,"*",9,"*",13,7,0,"*",0,8
"Avon School District","=""0040011""","*","*",12,6,11,10,0,0,7,72
"Barkhamsted School District","=""0050011""",0,0,"*","*","*","*",0,"*",0,0
"Berlin School District","=""0070011""","*","*",21,9,15,16,"*","*",9,208
"Bethany School District","=""0080011""",0,0,0,0,"*","*",0,0,0,"*"
"Bethel School District","=""0090011""","*",33,54,"*",35,25,8,"*",25,381
"Bloomfield School District","=""0110011""",0,"*",29,10,125,77,"*",6,14,335
"Bolton School District","=""0120011""",0,"*","*","*",0,"*",0,"*",11,15
"Bozrah School District","=""0130011""",0,0,6,0,17,"*",0,0,"*","*"
"Branford School District","=""0140011""","*",10,23,10,19,17,"*","*",15,268
"Bridgeport Achievement First District","=""2850013""",0,"*",16,6,22,75,"*","*","*",241
"Bridgeport School District","=""0150011""",58,121,634,144,1632,2188,129,72,58,6212
"Bristol School District","=""0170011""",14,27,158,19,171,209,16,23,40,1213
"Brookfield School District","=""0180011""",0,"*",23,"*","*",36,"*",0,9,49
"Brooklyn School District","=""0190011""",0,12,17,0,53,0,16,"*","*",53
"Canaan School District","=""0210011""",0,0,"*",0,0,0,0,0,0,0
"Canterbury School District","=""0220011""",0,"*",9,"*","*","*",0,"*","*",6
"Canton School District","=""0230011""",0,"*","*","*","*",9,0,0,"*",25
"Capitol Region Education Council","=""2410014""","*",35,121,21,164,256,20,"*",15,1136
"Chaplin School District","=""0240011""",0,0,0,"*",0,"*",0,0,0,"*"
"Cheshire School District","=""0250011""",6,"*",39,11,16,35,"*","*",25,124
"Chester School District","=""0260011""",0,0,6,"*",16,"*",0,0,0,"*"
"Clinton School District","=""0270011""","*","*",21,"*",25,15,"*","*",18,206
"Colchester School District","=""0280011""",0,"*",39,"*",18,14,"*","*",27,252
"Colebrook School District","=""0290011""",0,0,0,0,0,"*",0,0,0,"*"
"Columbia School District","=""0300011""",0,"*","*","*",0,"*",0,"*",0,0
"Common Ground High School District","=""2680013""",0,0,"*",0,"*",0,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""",31,81,305,81,440,207,59,47,230,2297
