"Incident Counts, 2011-12"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","*",9,45,10,81,37,10,"*",0,1606
"Amistad Academy District","=""2790013""","*",8,21,8,64,16,0,"*","*",369
"Andover School District","=""0010011""",0,0,"*","*",0,0,0,0,0,0
"Ansonia School District","=""0020011""",0,"*",18,"*",35,29,"*",10,"*",558
"Area Cooperative Educational Services","=""2440014""","*",8,56,9,195,185,15,8,10,153
"Ashford School District","=""0030011""","*","*","*","*","*",9,"*","*",0,7
"Avon School District","=""0040011""","*",0,14,"*",8,26,"*","*","*",36
"Barkhamsted School District","=""0050011""",0,0,0,0,0,0,0,"*",0,0
"Berlin School District","=""0070011""","*","*",28,10,33,24,8,"*",19,317
"Bethany School District","=""0080011""",0,0,"*",0,0,7,"*",0,0,"*"
"Bethel School District","=""0090011""","*","*",46,15,21,30,6,"*",18,339
"Bloomfield School District","=""0110011""","*","*",39,9,170,29,"*","*","*",351
"Bolton School District","=""0120011""",0,0,12,0,"*",11,0,"*","*",10
"Bozrah School District","=""0130011""",0,0,0,0,"*","*",0,0,0,"*"
"Branford School District","=""0140011""",0,"*",35,15,20,16,"*","*",15,285
"Bridgeport Achievement First District","=""2850013""","*","*",28,"*",26,47,"*","*",0,659
"Bridgeport School District","=""0150011""",113,180,1209,169,2444,2881,222,104,89,6617
"Bristol School District","=""0170011""",10,25,175,30,69,153,16,7,59,1294
"Brookfield School District","=""0180011""",0,"*",7,"*","*",20,"*","*",14,101
"Brooklyn School District","=""0190011""","*",14,26,9,67,16,16,"*","*",73
"Canterbury School District","=""0220011""",0,"*",16,"*","*","*","*","*",0,10
"Canton School District","=""0230011""",0,0,6,"*","*",9,"*","*",6,47
"Capitol Region Education Council","=""2410014""","*",11,76,12,50,120,15,10,"*",378
"Chaplin School District","=""0240011""",0,"*","*",0,0,0,0,"*",0,0
"Cheshire School District","=""0250011""",11,"*",66,7,13,29,8,6,21,183
"Chester School District","=""0260011""",0,0,9,"*",24,10,0,"*",0,0
"Clinton School District","=""0270011""",0,7,16,"*",15,9,0,"*",42,240
"Colchester School District","=""0280011""",0,"*",23,6,18,14,"*","*",35,183
"Columbia School District","=""0300011""",0,"*",8,"*","*","*","*","*",0,"*"
"Common Ground High School District","=""2680013""",0,"*","*","*",0,"*",0,"*","*",14
"Connecticut Technical High School System","=""9000016""",37,103,368,95,395,210,84,61,286,3792
"Cooperative Educational Services","=""2430014""",0,"*",20,"*",54,11,9,"*",0,21
"Coventry School District","=""0320011""",0,10,35,"*",20,19,10,"*",38,211
"Cromwell School District","=""0330011""","*",11,49,12,29,42,12,"*",16,269
"Danbury School District","=""0340011""",6,6,100,52,65,196,19,17,41,2329
"Darien School District","=""0350011""",0,0,"*",7,7,10,"*",0,9,35
"Deep River School District","=""0360011""",0,0,0,"*","*",7,0,0,0,"*"
"Derby School District","=""0370011""","*","*",22,8,35,67,0,10,"*",175
"East Granby School District","=""0400011""",0,"*","*","*","*",9,0,"*",0,20
"East Haddam School District","=""0410011""",0,0,6,7,"*",8,"*","*","*",44
"East Hampton School District","=""0420011""","*","*",17,"*",10,19,"*","*","*",73
"East Hartford School District","=""0430011""","*",98,342,91,1014,205,69,27,29,3735
"East Haven School District","=""0440011""",7,19,88,13,46,93,12,"*",31,600
"East Lyme School District","=""0450011""",0,8,28,7,7,29,"*","*",18,100
"East Windsor School District","=""0470011""",0,"*",24,7,15,27,0,"*",6,340
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*","*",0,"*",9,"*",0,7,17
"Eastford School District","=""0390011""",0,0,"*",0,"*",0,0,"*",0,"*"
"Easton School District","=""0460011""",0,0,7,0,"*","*",0,"*",0,0
"Education Connection","=""2420014""",0,0,"*",0,"*",49,"*",0,0,0
"Ellington School District","=""0480011""",0,"*",44,8,29,24,"*","*",27,184
"Elm City College Preparatory School District","=""2890013""","*",0,21,9,42,"*","*","*","*",460
"Enfield School District","=""0490011""",0,"*",49,24,105,96,8,16,32,932
"Explorations District","=""1480011""",0,0,0,0,0,0,"*",0,6,35
"Explorations District","=""2720013""",0,0,0,0,0,0,"*",0,6,35
"Fairfield School District","=""0510011""",6,15,59,39,37,64,11,6,31,176
"Farmington School District","=""0520011""","*",0,20,"*",9,32,"*","*",16,22
"Franklin School District","=""0530011""",0,0,0,0,0,"*",0,"*",0,0
"Glastonbury School District","=""0540011""",0,"*",23,6,7,17,"*","*",40,116
"Granby School District","=""0560011""",0,0,16,"*",17,9,0,"*",9,37
"Greenwich School District","=""0570011""","*","*",16,18,31,47,"*","*",151,155
"Griswold School District","=""0580011""","*","*",30,6,49,16,"*","*",23,466
"Groton School District","=""0590011""","*","*",91,29,161,89,18,17,22,531
"Guilford School District","=""0600011""",0,"*",12,11,13,18,"*",6,10,216
"Hamden School District","=""0620011""","*",13,98,30,160,124,9,16,28,1066
"Hampton School District","=""0630011""",0,0,"*","*",0,"*",0,"*",0,"*"
"Hartford School District","=""0640011""",65,81,625,139,529,2749,231,183,104,5268
"Hartland School District","=""0650011""",0,0,"*",0,0,0,0,0,0,0
"Hebron School District","=""0670011""",0,0,12,0,"*","*",0,0,0,0
"Highville Charter School District","=""2860013""",0,0,0,0,"*","*",0,0,0,10
"Integrated Day Charter School District","=""2640013""",0,0,7,0,"*",10,0,"*",0,10
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",51,"*",11,31,"*","*","*",70
"Jumoke Academy District","=""2610013""",0,0,0,0,"*",0,0,0,0,25
"Killingly School District","=""0690011""",0,12,67,9,130,14,"*","*",26,371
"Learn","=""2450014""","*","*",14,"*",6,50,"*","*","*",80
"Lebanon School District","=""0710011""","*","*",11,7,9,23,"*","*",8,35
"Ledyard School District","=""0720011""","*",6,41,10,15,17,"*",0,25,82
"Lisbon School District","=""0730011""",0,"*",0,"*","*",9,"*","*","*",13
"Litchfield School District","=""0740011""",0,"*",10,0,"*",10,"*",0,"*",81
"Madison School District","=""0760011""","*","*",21,"*",22,6,"*","*",14,105
"Manchester School District","=""0770011""",18,9,177,26,259,50,15,12,38,1221
"Mansfield School District","=""0780011""",0,0,6,"*",0,"*","*",0,"*",17
"Marlborough School District","=""0790011""",0,0,0,0,0,0,0,0,0,9
"Meriden School District","=""0800011""",6,24,230,43,403,12,30,41,40,3316
"Middletown School District","=""0830011""",11,"*",68,20,88,147,8,6,14,488
"Milford School District","=""0840011""","*",16,44,"*",27,66,8,6,19,610
"Monroe School District","=""0850011""",0,"*","*","*",11,10,"*","*",6,34
"Montville School District","=""0860011""","*","*",59,"*",47,83,9,"*",29,766
"Naugatuck School District","=""0880011""",7,"*",83,20,108,110,12,13,40,920
"New Beginnings Inc., Family Academy District","=""2800013""",0,0,9,6,20,28,"*",0,0,33
"New Britain School District","=""0890011""",21,67,318,98,1099,704,69,41,34,3772
"New Canaan School District","=""0900011""","*","*",20,6,"*","*",0,0,7,9
"New Fairfield School District","=""0910011""","*","*",18,11,24,25,9,"*",40,195
"New Hartford School District","=""0920011""",0,0,0,0,0,"*",0,"*",0,0
"New Haven School District","=""0930011""",21,76,315,78,543,1063,35,46,38,1774
"New London School District","=""0950011""",8,16,107,15,261,90,7,25,15,1043
"New Milford School District","=""0960011""","*",12,48,11,19,40,"*",9,18,601
"Newington School District","=""0940011""","*",13,43,23,37,66,10,6,8,571
"Newtown School District","=""0970011""","*","*",13,7,9,24,"*","*",20,95
"North Branford School District","=""0990011""","*",0,22,9,45,26,0,"*",10,240
"North Canaan School District","=""1000011""",0,0,"*",0,"*",11,0,0,"*","*"
"North Haven School District","=""1010011""",0,7,24,"*",19,10,6,"*",9,111
"North Stonington School District","=""1020011""","*",7,11,"*","*",15,"*","*","*",80
"Norwalk School District","=""1030011""",73,30,182,64,166,212,"*",34,109,1297
"Norwich Free Academy District","=""9010022""","*",6,51,21,16,22,"*","*",19,692
"Norwich School District","=""1040011""",8,16,96,21,31,199,14,16,"*",453
"Odyssey Community School District","=""2630013""",0,0,"*","*","*","*",0,"*",0,"*"
"Old Saybrook School District","=""1060011""",0,"*",9,0,10,"*",0,"*","*",42
"Orange School District","=""1070011""",0,"*","*",0,"*","*",0,0,0,"*"
"Oxford School District","=""1080011""","*","*","*",0,"*",0,"*","*",13,52
"Park City Prep Charter School District","=""2830013""",0,0,12,"*",23,24,"*","*",0,60
"Plainfield School District","=""1090011""","*",7,86,16,48,41,10,"*",15,380
"Plainville School District","=""1100011""","*","*",30,6,9,17,"*","*","*",136
"Plymouth School District","=""1110011""","*","*",6,"*",23,9,0,"*",14,64
"Pomfret School District","=""1120011""",0,"*","*",0,0,"*",0,0,0,"*"
"Portland School District","=""1130011""",0,"*","*",6,"*",15,0,"*","*",49
"Preston School District","=""1140011""",0,0,"*",0,0,7,0,"*",0,"*"
"Putnam School District","=""1160011""","*","*",36,10,56,53,"*","*",14,188
"Redding School District","=""1170011""",0,0,6,0,17,"*","*",0,0,12
"Regional School District 01","=""2010012""","*",0,"*",0,0,6,"*","*",7,47
"Regional School District 04","=""2040012""",0,"*","*","*",6,"*","*",0,9,72
"Regional School District 05","=""2050012""","*","*",13,"*",7,24,"*","*",56,169
"Regional School District 06","=""2060012""","*","*",28,"*",18,10,7,"*",10,62
"Regional School District 07","=""2070012""","*","*","*","*",9,17,"*","*",19,31
"Regional School District 08","=""2080012""",7,"*",22,13,11,19,9,6,27,228
"Regional School District 09","=""2090012""",0,0,"*",0,"*",13,"*",0,12,8
"Regional School District 10","=""2100012""",0,0,14,"*",28,9,7,"*",8,146
"Regional School District 11","=""2110012""","*",0,8,"*","*",9,"*",0,"*",57
"Regional School District 12","=""2120012""",0,"*",10,"*",7,"*","*","*",15,43
"Regional School District 13","=""2130012""","*",0,"*","*","*",8,0,"*",6,15
"Regional School District 14","=""2140012""",0,"*","*","*",18,"*","*","*",11,58
"Regional School District 15","=""2150012""","*","*",7,"*",15,16,7,"*",25,165
"Regional School District 16","=""2160012""","*",0,23,0,23,11,"*","*",80,136
"Regional School District 17","=""2170012""","*","*",21,"*",88,9,15,"*",10,74
"Regional School District 18","=""2180012""",0,0,"*",0,"*","*","*","*","*",48
"Regional School District 19","=""2190012""",0,0,15,14,"*",9,"*","*",22,111
"Ridgefield School District","=""1180011""",0,"*",44,13,43,9,8,"*",23,74
"Rocky Hill School District","=""1190011""","*",0,29,10,11,15,"*","*",15,194
