"Incident Counts, 2015-16"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,8,26,"*",158,480,"*","*",7,923
"Amistad Academy District","=""2790013""","*",10,25,15,212,9,"*","*",7,588
"Andover School District","=""0010011""",0,0,"*","*",0,0,0,0,0,0
"Ansonia School District","=""0020011""","*","*",38,"*",42,65,"*","*",6,202
"Area Cooperative Educational Services","=""2440014""","*",10,58,"*",132,153,29,"*","*",123
"Ashford School District","=""0030011""",0,0,"*",0,0,9,"*","*",0,"*"
"Avon School District","=""0040011""",0,"*",16,"*",16,16,"*","*",10,35
"Berlin School District","=""0070011""","*","*",22,0,26,18,"*","*","*",72
"Bethany School District","=""0080011""","*",0,"*",0,"*",6,0,0,0,0
"Bethel School District","=""0090011""","*",15,62,13,52,45,8,6,11,260
"Bloomfield School District","=""0110011""","*",6,46,14,133,89,0,7,6,282
"Bolton School District","=""0120011""",0,"*",6,6,7,8,0,0,"*",37
"Booker T. Washington Academy District","=""2950013""","*",0,"*",0,46,"*",0,0,0,9
"Bozrah School District","=""0130011""",0,0,"*",0,0,"*",0,0,0,"*"
"Branford School District","=""0140011""","*","*",19,10,46,20,9,"*",20,220
"Brass City Charter School District","=""2900013""",0,0,0,0,"*","*",0,0,0,"*"
"Bridgeport Achievement First District","=""2850013""","*","*",18,9,148,68,"*",8,8,584
"Bridgeport School District","=""0150011""",64,79,534,160,2001,2938,157,91,61,5014
"Bristol School District","=""0170011""",10,17,155,47,138,325,13,18,27,833
"Brookfield School District","=""0180011""","*",7,10,"*",10,17,0,"*",23,42
"Brooklyn School District","=""0190011""","*",14,31,"*",68,9,"*","*","*",71
"Canaan School District","=""0210011""",0,0,"*",0,0,"*",0,0,0,0
"Canterbury School District","=""0220011""",0,0,"*",0,"*",6,0,0,0,"*"
"Canton School District","=""0230011""",0,0,10,"*","*",23,"*","*","*",23
"Capital Preparatory Harbor School Inc. District","=""2970013""","*",0,"*","*",26,9,"*","*",0,50
"Capitol Region Education Council","=""2410014""","*",23,114,49,265,190,19,14,39,1418
"Chaplin School District","=""0240011""",0,0,"*",0,0,0,0,0,0,0
"Cheshire School District","=""0250011""","*","*",28,17,24,51,6,"*",53,162
"Clinton School District","=""0270011""",0,"*","*","*",6,12,"*","*",6,89
"Colchester School District","=""0280011""","*",0,15,"*",6,20,0,"*",15,95
"Colebrook School District","=""0290011""",0,0,0,0,0,0,0,0,0,"*"
"Columbia School District","=""0300011""",0,0,0,0,"*","*",0,0,0,7
"Common Ground High School District","=""2680013""","*","*","*",0,"*","*",0,"*","*","*"
"Connecticut Technical High School System","=""9000016""",26,38,204,50,276,278,28,25,146,1496
"Cooperative Educational Services","=""2430014""",0,0,12,0,29,9,"*","*","*",26
