"Incident Counts, 2009-10"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,"*",11,7,62,40,"*","*",0,344
"Amistad Academy District","=""2790013""","*","*",16,7,64,21,6,"*",0,198
"Ansonia School District","=""0020011""",0,"*",33,"*",42,40,9,"*",7,792
"Area Cooperative Educational Services","=""2440014""","*",10,92,23,199,199,31,18,17,454
"Ashford School District","=""0030011""","*","*","*","*","*","*","*",0,0,"*"
"Avon School District","=""0040011""","*","*",17,8,26,17,0,"*",9,32
"Barkhamsted School District","=""0050011""",0,0,0,0,0,"*",0,0,0,0
"Berlin School District","=""0070011""","*",7,27,10,23,22,"*","*",44,635
"Bethany School District","=""0080011""",0,"*","*",0,0,0,"*",0,0,0
"Bethel School District","=""0090011""",0,9,35,7,25,34,7,8,11,349
"Bloomfield School District","=""0110011""","*",18,34,17,193,86,"*",8,12,496
"Bolton School District","=""0120011""",0,"*",11,"*","*",7,"*","*",0,8
"Bozrah School District","=""0130011""",0,0,"*",0,0,0,0,0,0,0
"Branford School District","=""0140011""","*",7,30,25,43,30,"*","*",44,354
"Bridgeport Achievement First District","=""2850013""",0,0,"*","*",20,6,0,0,0,20
"Bridgeport School District","=""0150011""",11,148,837,141,798,2589,149,101,90,5483
"Bridgeport School District","=""1420011""",11,148,837,141,798,2589,149,101,90,5483
"Bristol School District","=""0170011""",9,13,71,19,74,129,"*",11,43,735
"Brookfield School District","=""0180011""",0,"*","*","*",8,21,0,0,10,33
"Brooklyn School District","=""0190011""",7,16,38,12,78,11,7,"*","*",40
"Canterbury School District","=""0220011""","*","*","*",0,13,"*",0,"*",0,14
"Canton School District","=""0230011""",0,"*",7,"*","*",10,"*","*","*",22
"Capitol Region Education Council","=""2410014""",6,33,131,33,219,274,21,8,20,572
"Chaplin School District","=""0240011""",0,"*","*",0,0,0,"*",0,0,0
"Cheshire School District","=""0250011""",9,11,61,14,24,31,11,"*",40,249
"Chester School District","=""0260011""",0,0,"*",0,0,15,"*","*",0,0
"Clinton School District","=""0270011""",0,"*",13,"*",11,9,"*","*",14,255
"Colchester School District","=""0280011""",0,"*",19,18,24,42,"*",0,34,293
"Colebrook School District","=""0290011""","*",0,"*",0,"*",0,0,0,0,0
"Columbia School District","=""0300011""","*",0,"*",0,0,7,0,"*",0,"*"
"Common Ground High School District","=""2680013""",0,"*","*",0,"*","*","*",0,0,15
"Connecticut Technical High School System","=""9000016""",44,111,439,117,404,318,86,53,201,3714
"Cooperative Educational Services","=""2430014""","*","*",20,0,47,25,11,"*","*",65
"Cornwall School District","=""0310011""",0,0,0,0,"*","*",0,0,0,8
"Coventry School District","=""0320011""",0,11,54,8,35,50,28,"*",24,560
"Cromwell School District","=""0330011""","*",0,17,15,28,17,"*","*",32,498
"Danbury School District","=""0340011""",15,7,108,50,90,226,18,17,99,2172
"Darien School District","=""0350011""","*","*",12,"*",14,6,"*","*",8,39
"Deep River School District","=""0360011""",0,0,0,0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""",7,"*",34,"*",55,49,"*","*",9,388
"East Granby School District","=""0400011""",0,"*","*","*",9,8,"*","*","*",34
"East Haddam School District","=""0410011""",0,"*",11,"*",7,7,"*","*",6,35
"East Hampton School District","=""0420011""",7,0,8,"*","*",20,"*","*","*",167
"East Hartford School District","=""0430011""","*",36,292,82,773,270,42,23,54,4389
"East Haven School District","=""0440011""",18,22,54,22,51,71,7,"*",24,772
"East Lyme School District","=""0450011""","*","*",32,9,33,40,7,"*",13,57
"East Windsor School District","=""0470011""","*","*",27,"*",43,52,"*","*",11,208
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*",0,15,"*","*",7,"*",0,0,23
"Eastford School District","=""0390011""",0,0,"*",0,0,0,0,0,0,"*"
"Easton School District","=""0460011""",0,"*",6,0,"*","*",0,"*",0,0
"Education Connection","=""2420014""",0,0,"*",0,"*","*","*","*","*","*"
"Ellington School District","=""0480011""","*",0,33,7,32,10,"*","*",14,238
"Elm City College Preparatory School District","=""2890013""",13,12,27,"*",40,11,"*","*",0,219
"Enfield School District","=""0490011""","*","*",56,27,88,115,13,"*",27,604
"Essex School District","=""0500011""",0,0,"*",0,0,0,0,0,0,0
"Explorations District","=""2720013""",0,"*",0,0,"*","*","*",0,6,10
"Fairfield School District","=""0510011""",8,12,56,26,53,59,14,"*",44,256
"Farmington School District","=""0520011""","*","*",6,"*",28,22,"*",0,19,146
"Franklin School District","=""0530011""",0,"*","*",0,"*",0,0,0,0,0
"Glastonbury School District","=""0540011""",0,"*",29,6,17,22,"*","*",73,93
"Granby School District","=""0560011""",0,0,7,9,8,8,0,"*",6,38
"Greenwich School District","=""0570011""",0,"*",21,8,15,47,"*","*",59,157
"Griswold School District","=""0580011""","*","*",35,10,36,22,8,7,18,417
"Groton School District","=""0590011""","*","*",50,16,91,71,13,13,33,515
"Guilford School District","=""0600011""","*",0,23,8,24,23,"*",8,16,57
"Hamden School District","=""0620011""","*","*",83,32,273,117,17,12,25,1530
"Hampton School District","=""0630011""",0,0,"*",0,0,"*","*",0,0,"*"
"Hartford School District","=""0640011""",22,149,779,180,1303,2278,229,158,99,7177
"Hartland School District","=""0650011""",0,0,"*",0,0,0,0,0,0,"*"
"Hebron School District","=""0670011""",0,0,"*",0,0,0,0,0,0,"*"
"Integrated Day Charter School District","=""2640013""",0,0,0,"*","*",0,0,0,0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""",0,"*","*","*",7,16,0,"*",0,14
"Jumoke Academy District","=""2610013""",0,0,0,0,"*",0,0,0,0,"*"
"Killingly School District","=""0690011""","*",12,36,15,46,74,12,7,24,623
"Learn","=""2450014""","*",0,0,0,0,11,0,0,6,12
