"Incident Counts, 2010-11"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,"*",11,"*",78,28,"*",0,0,623
"Amistad Academy District","=""2790013""","*","*",14,8,43,6,"*","*","*",222
"Andover School District","=""0010011""",0,"*",0,0,"*","*",0,0,0,0
"Ansonia School District","=""0020011""","*","*",10,"*",49,49,6,6,"*",591
"Area Cooperative Educational Services","=""2440014""","*",12,62,15,182,171,17,14,12,210
"Ashford School District","=""0030011""","*",0,6,0,"*","*","*","*","*",19
"Avon School District","=""0040011""",0,0,12,0,9,8,0,"*",6,44
"Barkhamsted School District","=""0050011""",0,0,0,0,0,"*",0,0,0,0
"Berlin School District","=""0070011""","*",6,31,9,24,29,7,"*",52,532
"Bethany School District","=""0080011""",0,"*","*",0,0,0,"*",0,0,"*"
"Bethel School District","=""0090011""","*",14,48,12,14,25,7,"*",14,270
"Bloomfield School District","=""0110011""",0,9,26,13,146,63,"*","*",14,383
"Bolton School District","=""0120011""",0,"*","*",0,13,7,0,"*","*",21
"Bozrah School District","=""0130011""",0,0,"*",0,"*",0,0,0,0,"*"
"Branford School District","=""0140011""",0,16,41,16,33,27,8,"*",71,349
"Bridgeport Achievement First District","=""2850013""","*","*",28,"*",48,19,9,"*","*",343
"Bridgeport School District","=""0150011""",99,151,1140,162,1742,2406,181,91,80,6670
"Bristol School District","=""0170011""",15,19,119,22,110,173,12,11,53,1240
"Brookfield School District","=""0180011""",0,"*","*","*",7,14,0,"*",17,58
"Brooklyn School District","=""0190011""",9,"*",23,"*",86,10,6,"*","*",47
"Canterbury School District","=""0220011""","*","*","*",0,8,0,0,"*",0,17
"Canton School District","=""0230011""",0,"*",9,0,"*","*","*",0,"*",27
"Capitol Region Education Council","=""2410014""","*",25,92,41,259,197,29,"*",12,809
"Chaplin School District","=""0240011""",0,"*",0,"*",0,0,0,0,0,0
"Cheshire School District","=""0250011""","*",11,58,15,10,32,6,0,30,145
"Chester School District","=""0260011""",0,0,7,"*",16,20,"*","*",0,"*"
"Clinton School District","=""0270011""",0,"*",16,0,16,28,0,"*",24,205
"Colchester School District","=""0280011""","*","*",23,12,18,24,0,7,45,195
"Colebrook School District","=""0290011""",0,0,0,0,"*",0,0,0,0,0
"Columbia School District","=""0300011""",0,"*","*",0,"*","*",0,0,0,0
"Common Ground High School District","=""2680013""",0,0,6,0,"*",0,0,0,0,12
"Connecticut Technical High School System","=""9000016""",39,90,375,87,513,276,67,51,231,3330
"Cooperative Educational Services","=""2430014""","*",0,20,"*",46,17,"*",0,"*",55
"Cornwall School District","=""0310011""",0,0,"*",0,0,0,0,0,0,6
"Coventry School District","=""0320011""",0,7,70,"*",43,16,12,"*",27,404
"Cromwell School District","=""0330011""","*",8,46,10,11,62,6,"*",9,465
"Danbury School District","=""0340011""",8,"*",74,52,114,274,16,26,66,2395
"Darien School District","=""0350011""","*","*","*",8,7,9,7,"*",11,28
"Deep River School District","=""0360011""",0,0,"*",0,8,0,0,0,0,"*"
"Derby School District","=""0370011""","*",6,33,"*",15,39,"*","*",0,422
"East Granby School District","=""0400011""","*",0,6,0,11,11,"*","*","*",15
"East Haddam School District","=""0410011""",0,"*",7,"*",8,"*",0,"*","*",38
"East Hampton School District","=""0420011""","*",0,12,"*","*",23,"*","*",6,108
"East Hartford School District","=""0430011""",13,50,393,104,961,283,41,19,47,4121
"East Haven School District","=""0440011""",10,26,84,12,62,69,24,8,23,764
"East Lyme School District","=""0450011""","*","*",17,8,15,40,17,0,14,84
"East Windsor School District","=""0470011""",0,"*",34,7,9,49,"*","*",34,261
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*",24,0,11,15,12,0,0,17
"Eastford School District","=""0390011""",0,0,"*",0,"*",0,0,0,0,"*"
"Easton School District","=""0460011""",0,"*","*",0,"*",7,"*",0,0,0
"Education Connection","=""2420014""",0,0,"*",0,"*",16,0,"*",0,"*"
"Ellington School District","=""0480011""","*","*",35,6,35,18,"*","*",33,244
"Elm City College Preparatory School District","=""2890013""","*",8,20,"*",36,45,"*",9,"*",371
"Enfield School District","=""0490011""","*",10,45,19,86,122,8,"*",40,822
"Essex School District","=""0500011""",0,0,0,0,"*",0,0,0,0,0
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,"*",58
