"Incident Counts, 2013-14"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","*",15,37,"*",160,30,"*","*","*",888
"Amistad Academy District","=""2790013""","*","*",56,14,181,86,"*",7,"*",1523
"Andover School District","=""0010011""",0,0,0,"*","*","*",0,0,0,0
"Ansonia School District","=""0020011""",0,"*",30,"*",19,62,12,6,19,378
"Area Cooperative Educational Services","=""2440014""","*",9,76,11,154,131,15,7,14,160
"Ashford School District","=""0030011""",0,"*","*",0,6,"*",0,0,0,10
"Avon School District","=""0040011""","*",0,9,"*",14,11,0,"*",7,51
"Barkhamsted School District","=""0050011""","*","*","*",0,"*","*",0,0,0,0
"Berlin School District","=""0070011""","*","*",19,"*",14,21,"*","*","*",159
"Bethany School District","=""0080011""",0,0,"*",0,"*","*",0,0,0,"*"
"Bethel School District","=""0090011""",0,6,44,"*",34,20,8,"*",14,271
"Bloomfield School District","=""0110011""","*",12,36,19,94,113,6,"*",7,339
"Bolton School District","=""0120011""",0,"*","*",0,"*",8,"*",0,0,34
"Bozrah School District","=""0130011""",0,"*",12,"*","*",19,0,0,0,0
"Branford School District","=""0140011""","*","*",25,7,25,12,"*","*",54,343
"Bridgeport Achievement First District","=""2850013""","*",0,28,"*",113,87,"*","*",8,1310
"Bridgeport School District","=""0150011""",72,110,637,122,1882,2656,150,97,55,5374
"Bristol School District","=""0170011""",12,24,131,42,168,217,6,19,65,1201
"Brookfield School District","=""0180011""",0,"*",7,"*",14,18,"*","*",20,53
"Brooklyn School District","=""0190011""","*",0,19,"*",43,"*",9,"*",11,63
"Canaan School District","=""0210011""",0,0,"*",0,0,"*",0,0,0,0
"Canterbury School District","=""0220011""",0,0,11,0,0,"*","*","*",6,"*"
"Canton School District","=""0230011""",0,0,"*",0,"*",10,0,"*","*","*"
"Capitol Region Education Council","=""2410014""",10,26,106,49,175,298,17,18,50,669
"Chaplin School District","=""0240011""",0,0,0,0,0,"*",0,"*",0,0
"Cheshire School District","=""0250011""","*",10,41,7,19,34,6,"*",34,137
"Chester School District","=""0260011""",0,0,10,0,35,8,0,0,0,"*"
"Clinton School District","=""0270011""","*","*",28,"*",15,11,"*",0,21,105
"Colchester School District","=""0280011""","*","*",35,"*",13,12,"*","*",17,186
"Colebrook School District","=""0290011""",0,0,0,0,0,"*",0,0,0,"*"
"Columbia School District","=""0300011""",0,0,"*","*","*","*",0,"*",0,0
"Common Ground High School District","=""2680013""",0,"*","*","*","*","*","*",0,"*",10
"Connecticut Technical High School System","=""9000016""",9,61,234,48,380,252,45,51,221,1797
"Cooperative Educational Services","=""2430014""","*",0,14,0,33,6,"*","*",0,42
"Cornwall School District","=""0310011""",0,0,"*",0,0,0,0,0,0,0
"Coventry School District","=""0320011""",0,0,24,"*",34,26,"*","*","*",103
"Cromwell School District","=""0330011""",0,"*",38,10,18,44,"*","*",7,192
"Danbury School District","=""0340011""",8,23,95,40,63,177,20,21,67,1784
"Darien School District","=""0350011""",0,0,8,"*",7,0,29,"*",29,45
"Deep River School District","=""0360011""","*",0,0,0,"*",0,0,0,0,0
"Derby School District","=""0370011""","*","*",23,"*",46,58,"*",7,11,262
"East Granby School District","=""0400011""",0,"*",7,"*","*",6,0,"*",8,27
"East Hampton School District","=""0420011""",0,8,17,"*",11,16,"*","*",17,21
"East Hartford School District","=""0430011""",7,77,285,86,924,123,42,19,34,2764
"East Haven School District","=""0440011""",6,18,57,"*",31,74,6,"*",34,335
"East Lyme School District","=""0450011""",0,"*",13,"*",8,29,"*","*",11,67
"East Windsor School District","=""0470011""",0,"*",32,17,35,62,"*",9,18,151
"Eastford School District","=""0390011""",0,0,"*",0,0,0,0,"*",0,"*"
"Easton School District","=""0460011""",0,0,6,0,"*",8,0,0,0,9
"Education Connection","=""2420014""",0,0,18,"*",17,9,0,"*",10,24
"Ellington School District","=""0480011""","*","*",14,"*",42,25,"*","*",6,113
"Elm City College Preparatory School District","=""2890013""",0,"*",16,0,56,6,0,10,"*",541
"Enfield School District","=""0490011""","*",6,52,20,113,46,7,6,46,835
"Essex School District","=""0500011""",0,0,"*",0,0,0,"*","*",0,0
"Explorations District","=""2720013""",0,0,0,0,"*",0,0,0,9,29
"Fairfield School District","=""0510011""","*","*",22,41,32,10,25,8,77,168
"Farmington School District","=""0520011""",0,"*",10,"*",13,28,"*",9,14,32
"Franklin School District","=""0530011""",0,0,"*",0,"*",6,0,0,0,"*"
"Glastonbury School District","=""0540011""",0,"*",22,11,7,32,0,"*",32,102
"Granby School District","=""0560011""",0,"*",9,0,20,21,"*","*","*",36
"Greenwich School District","=""0570011""","*",0,22,10,12,35,9,"*",78,102
"Griswold School District","=""0580011""","*","*",27,11,23,13,"*",8,33,271
"Groton School District","=""0590011""","*",6,69,17,88,49,7,9,6,580
"Guilford School District","=""0600011""","*","*",19,0,13,15,"*","*",10,117
"Hamden School District","=""0620011""",13,10,101,20,231,142,9,14,20,909
"Hampton School District","=""0630011""",0,0,"*",0,0,0,0,0,0,0
"Hartford School District","=""0640011""",89,172,593,173,926,2640,167,97,97,5640
"Hartland School District","=""0650011""",0,0,"*",0,0,0,0,0,0,8
"Hebron School District","=""0670011""",0,0,"*",0,"*",0,0,0,0,0
"Highville Charter School District","=""2860013""",0,0,7,"*","*",11,"*",0,0,"*"
"Integrated Day Charter School District","=""2640013""",0,0,"*",0,"*","*",0,0,0,21
"Interdistrict School for Arts and Comm District","=""2650013""","*",0,"*",0,"*",16,0,"*",0,37
"Jumoke Academy District","=""2610013""",0,"*",13,"*",8,59,"*",0,0,71
"Killingly School District","=""0690011""","*",12,36,12,86,18,11,8,53,391
"Learn","=""2450014""","*","*",23,"*",6,68,0,"*","*",103
"Lebanon School District","=""0710011""",0,"*","*",0,0,"*","*","*",0,15
"Ledyard School District","=""0720011""","*","*",21,10,23,37,"*","*",12,81
"Lisbon School District","=""0730011""",0,0,"*",0,0,"*",0,0,0,0
"Litchfield School District","=""0740011""",0,0,"*","*","*",6,0,"*",14,32
"Madison School District","=""0760011""",0,0,"*","*",6,"*",0,"*",8,65
"Manchester School District","=""0770011""",55,27,174,25,344,73,36,22,23,824
"Mansfield School District","=""0780011""",0,0,"*",0,"*",6,0,"*",0,17
"Marlborough School District","=""0790011""",0,"*",0,0,0,"*",0,0,0,0
"Meriden School District","=""0800011""","*",22,85,43,216,50,16,31,36,1813
"Middletown School District","=""0830011""",10,"*",68,16,110,125,11,17,12,326
"Milford School District","=""0840011""","*",7,40,8,43,33,11,7,33,565
"Monroe School District","=""0850011""",0,0,"*","*","*",6,"*","*",11,53
"Montville School District","=""0860011""","*","*",35,"*",25,32,"*",9,"*",99
"Naugatuck School District","=""0880011""",16,10,69,10,103,80,10,8,71,487
"New Beginnings Inc., Family Academy District","=""2800013""","*",0,20,9,25,76,0,0,0,76
"New Britain School District","=""0890011""",14,41,335,81,872,607,60,44,66,4893
"New Canaan School District","=""0900011""",0,0,8,"*","*","*",0,"*",10,"*"
"New Fairfield School District","=""0910011""",0,0,6,6,50,13,"*","*",12,164
"New Hartford School District","=""0920011""",0,"*","*",0,"*",9,0,"*",0,"*"
"New Haven School District","=""0930011""",18,71,257,57,436,797,24,65,46,1022
"New London School District","=""0950011""",6,16,92,32,255,197,7,"*",12,1143
"New Milford School District","=""0960011""",0,7,42,7,34,47,8,"*",32,659
"Newington School District","=""0940011""","*",17,47,24,23,68,6,"*",12,497
"Newtown School District","=""0970011""",0,8,26,7,27,34,"*","*",8,65
"North Branford School District","=""0990011""","*","*",23,6,22,"*","*","*",11,235
"North Canaan School District","=""1000011""",0,0,"*",0,"*",25,0,0,"*","*"
"North Haven School District","=""1010011""",0,"*",14,11,24,11,"*","*",12,109
"North Stonington School District","=""1020011""",0,"*","*","*","*","*","*","*",0,27
"Norwalk School District","=""1030011""",48,25,101,54,91,155,6,20,93,728
"Norwich Free Academy District","=""9010022""",0,13,41,10,26,26,"*","*",30,772
"Norwich School District","=""1040011""","*",9,35,6,102,116,10,24,6,186
"Odyssey Community School District","=""2630013""",0,"*",7,0,"*",17,0,0,0,"*"
"Old Saybrook School District","=""1060011""",0,"*","*",0,"*",0,0,"*",9,31
"Orange School District","=""1070011""",0,0,0,0,"*",7,0,"*",0,7
"Oxford School District","=""1080011""",0,0,"*",0,"*",18,"*","*","*",32
"Park City Prep Charter School District","=""2830013""",0,0,"*","*",15,8,0,"*",0,35
"Plainfield School District","=""1090011""",0,"*",33,"*",24,13,7,"*",16,352
"Plainville School District","=""1100011""","*","*",15,"*",16,18,"*","*",6,103
"Plymouth School District","=""1110011""",0,0,11,"*",12,10,0,"*",6,60
"Pomfret School District","=""1120011""",0,0,"*",0,0,"*",0,"*",0,"*"
"Portland School District","=""1130011""",0,0,9,"*","*",11,0,0,"*",73
"Preston School District","=""1140011""",0,"*","*","*",0,"*",0,"*",0,"*"
"Putnam School District","=""1160011""",0,0,39,"*",21,76,"*",6,14,115
"Redding School District","=""1170011""","*",0,"*",0,12,9,"*",0,0,"*"
"Regional School District 01","=""2010012""",0,"*","*",0,0,8,0,"*",9,46
"Regional School District 04","=""2040012""","*",0,"*","*",0,9,"*",0,7,39
"Regional School District 05","=""2050012""",0,"*","*","*","*",10,"*",0,11,71
"Regional School District 06","=""2060012""","*","*",14,"*",17,17,9,"*",6,33
"Regional School District 07","=""2070012""","*","*",11,"*",9,8,"*","*",21,63
"Regional School District 08","=""2080012""","*","*",12,9,"*",16,"*","*",28,129
"Regional School District 09","=""2090012""","*","*","*","*","*",0,"*",0,11,"*"
"Regional School District 10","=""2100012""",0,7,12,"*",28,6,"*","*",9,98
"Regional School District 11","=""2110012""",0,6,10,"*",12,"*","*","*","*",28
"Regional School District 12","=""2120012""",0,"*","*","*","*","*","*","*",10,28
"Regional School District 13","=""2130012""",0,0,"*",0,6,9,0,0,"*",21
"Regional School District 14","=""2140012""","*","*",11,"*",10,7,"*","*",13,23
"Regional School District 15","=""2150012""",0,7,"*",9,"*",14,"*","*",25,174
"Regional School District 16","=""2160012""","*",7,25,"*",9,9,9,"*",36,159
"Regional School District 17","=""2170012""","*",0,11,8,69,6,"*","*",7,61
"Regional School District 18","=""2180012""","*","*",26,"*","*","*","*",0,"*",11
"Regional School District 19","=""2190012""",0,"*",8,6,7,17,0,8,7,57
"Ridgefield School District","=""1180011""","*","*",19,11,24,15,"*","*",9,20
"Rocky Hill School District","=""1190011""","*",0,"*","*",6,10,"*",0,13,37
"Salem School District","=""1210011""",0,0,"*",0,"*","*","*",0,0,9
"Salisbury School District","=""1220011""",0,0,"*",0,6,"*","*",0,0,0
"Scotland School District","=""1230011""","*",0,9,0,"*",7,0,0,0,"*"
"Seymour School District","=""1240011""",6,14,37,"*",20,57,9,6,23,345
"Sharon School District","=""1250011""",0,0,0,0,0,"*",0,0,0,"*"
"Shelton School District","=""1260011""","*","*",27,12,35,26,8,"*",72,482
"Sherman School District","=""1270011""",0,0,0,0,0,0,0,0,0,"*"
"Side By Side Charter School District","=""2700013""",0,0,"*","*",7,0,0,0,0,"*"
"Simsbury School District","=""1280011""",0,"*",14,10,16,20,0,"*","*",48
"Somers School District","=""1290011""",0,"*",34,"*",12,11,"*",0,"*",65
"South Windsor School District","=""1320011""",0,"*",59,"*",115,21,13,8,41,148
"Southington School District","=""1310011""","*",11,29,16,39,47,"*","*",38,175
"Sprague School District","=""1330011""",0,"*",13,"*",50,10,"*","*","*",27
"Stafford School District","=""1340011""","*",0,8,6,17,11,"*","*",13,152
"Stamford Academy District","=""2820013""",0,"*",9,0,14,16,"*",0,13,44
"Stamford School District","=""1350011""",9,11,51,25,97,202,6,21,64,236
"Sterling School District","=""1360011""","*",0,10,"*","*",25,"*",0,0,36
"Stonington School District","=""1370011""","*","*",9,"*",25,23,"*","*",9,242
"Stratford School District","=""1380011""","*",7,80,25,105,119,"*",13,25,491
"Suffield School District","=""1390011""","*","*",34,"*",23,12,"*","*",12,117
"The Bridge Academy District","=""2690013""",0,"*",12,"*",20,12,"*","*","*",51
"The Gilbert School District","=""9020022""",0,0,18,"*","*",6,"*","*",27,321
"Thomaston School District","=""1400011""",0,"*",30,"*",8,10,"*",0,"*",35
"Thompson School District","=""1410011""","*","*",13,"*",6,20,0,"*",9,65
"Tolland School District","=""1420011""",0,"*",28,"*",20,13,16,"*",16,96
"Torrington School District","=""1430011""","*","*",92,23,144,73,19,15,33,545
"Trailblazers Academy District","=""2780013""","*",0,6,"*","*",11,0,0,0,"*"
"Trumbull School District","=""1440011""",0,7,7,"*",9,13,"*","*",14,108
"Unified School District #2","=""3470015""","*","*",26,"*",8,82,"*",0,"*",17
"Vernon School District","=""1460011""","*",10,106,21,97,117,28,13,38,674
"Voluntown School District","=""1470011""",0,0,"*",0,0,"*",0,0,0,"*"
"Wallingford School District","=""1480011""","*",18,72,13,21,92,6,9,21,520
"Waterbury School District","=""1510011""",30,83,563,98,1198,1605,78,88,56,10005
"Waterford School District","=""1520011""",0,0,21,9,24,26,11,"*",17,245
"Watertown School District","=""1530011""","*",18,60,15,31,54,10,6,24,428
"West Hartford School District","=""1550011""","*",18,118,20,98,80,8,9,27,463
"West Haven School District","=""1560011""","*",11,28,31,137,62,16,14,39,869
"Westbrook School District","=""1540011""",0,0,"*","*","*","*","*","*","*",50
"Weston School District","=""1570011""",0,0,7,0,6,"*",0,"*",6,25
"Westport School District","=""1580011""",0,"*",28,9,15,18,0,"*","*",61
"Wethersfield School District","=""1590011""","*","*",29,14,9,29,"*",6,"*",143
"Willington School District","=""1600011""",0,"*","*",0,"*",7,6,"*",0,7
"Wilton School District","=""1610011""",0,"*",9,"*","*",8,0,0,9,15
"Winchester School District","=""1620011""","*","*","*",0,"*",9,"*",0,"*",7
"Windham School District","=""1630011""","*",27,164,36,230,356,59,23,46,1534
"Windsor Locks School District","=""1650011""","*","*",27,11,24,35,6,"*",10,216
"Windsor School District","=""1640011""","*",6,62,34,173,313,14,"*",15,805
"Wolcott School District","=""1660011""",0,"*",16,11,21,27,0,"*",10,198
"Woodbridge School District","=""1670011""",0,0,0,0,"*",0,0,0,0,0
"Woodstock Academy District","=""9030022""",0,"*",6,8,"*","*","*","*",14,77
"Woodstock School District","=""1690011""",0,"*",7,"*",0,"*",0,0,0,8

