"Chronic Absenteeism, 2013-14"
"State of Connecticut, Grade"

"Organization","Grade","% Chronically Absent"
"State of Connecticut","Kindergarten",11.8
"State of Connecticut","Grade   1",8.7
"State of Connecticut","Grade   2",7.2
"State of Connecticut","Grade   3",6.8
"State of Connecticut","Grade   4",6.6
"State of Connecticut","Grade   5",6.8
"State of Connecticut","Grade   6",8.0
"State of Connecticut","Grade   7",9.8
"State of Connecticut","Grade   8",11.3
"State of Connecticut","Grade   9",14.2
"State of Connecticut","Grade 10",13.7
"State of Connecticut","Grade 11",14.8
"State of Connecticut","Grade 12",19.5

