"Chronic Absenteeism, 2014-15"
"State of Connecticut, Grade"

"Organization","Grade","% Chronically Absent"
"State of Connecticut","Kindergarten",12.0
"State of Connecticut","Grade   1",8.6
"State of Connecticut","Grade   2",7.3
"State of Connecticut","Grade   3",6.7
"State of Connecticut","Grade   4",6.6
"State of Connecticut","Grade   5",6.6
"State of Connecticut","Grade   6",8.0
"State of Connecticut","Grade   7",9.6
"State of Connecticut","Grade   8",11.2
"State of Connecticut","Grade   9",13.7
"State of Connecticut","Grade 10",14.3
"State of Connecticut","Grade 11",14.5
"State of Connecticut","Grade 12",18.4

