"Chronic Absenteeism, 2015-16"
", All Schools, All Students"

"District","District Code","School","School Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",5.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",15.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",14.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""",15.5
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",75.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",9.0
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",34.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",10.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",23.5
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",41.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",74.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",23.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",8.4
"Ashford School District","=""0030011""","Ashford School","=""0030111""",5.2
"Avon School District","=""0040011""","Avon High School","=""0046111""",5.2
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",3.3
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",3.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",6.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",3.1
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",4.3
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",6.2
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",2.7
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",3.4
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",3.5
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",5.2
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",4.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",9.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",3.8
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",2.2
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",14.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",9.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",4.4
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",4.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",14.4
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",9.6
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",5.0
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",11.7
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",3.6
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",2.3
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",20.2
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",5.5
"Branford School District","=""0140011""","Branford High School","=""0146111""",10.7
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",74.0
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",7.2
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",4.1
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",5.6
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",9.5
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",7.4
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",4.7
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",17.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",24.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",42.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",14.2
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",11.3
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",6.4
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",12.3
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",31.0
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",22.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",14.0
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",84.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",16.5
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",12.3
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",4.4
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",24.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",30.4
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",19.7
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",26.6
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",14.8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",3.6
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",8.6
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",10.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",44.8
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",2.9
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",12.3
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",7.8
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",4.1
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",27.9
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",24.5
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",10.0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*"
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",4.0
"Bridgeport School District","=""0150011""","Read School","=""0152511""",15.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",17.5
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",22.1
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",4.5
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",12.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",11.6
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",49.0
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",9.3
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",1.8
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",5.1
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",7.9
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",4.3
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",3.5
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",3.4
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",5.6
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",5.9
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",8.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",1.0
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",3.6
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",1.7
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",3.0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",2.0
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",2.9
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",9.2
