"Chronic Absenteeism, Trend"
"State of Connecticut, Grade"

"",,"% Chronically Absent",,,,
"Organization","Grade","2011-12","2012-13","2013-14","2014-15","2015-16"
"State of Connecticut","Kindergarten",11.8,12.5,11.8,12.0,9.8
"State of Connecticut","Grade   1",8.4,9.0,8.7,8.6,7.4
"State of Connecticut","Grade   2",6.9,7.7,7.2,7.3,6.2
"State of Connecticut","Grade   3",6.2,6.5,6.8,6.7,5.6
"State of Connecticut","Grade   4",6.1,6.5,6.6,6.6,5.7
"State of Connecticut","Grade   5",7.0,6.7,6.8,6.6,5.9
"State of Connecticut","Grade   6",8.3,8.6,8.0,8.0,7.2
"State of Connecticut","Grade   7",10.6,10.9,9.8,9.6,8.4
"State of Connecticut","Grade   8",12.3,12.4,11.3,11.2,9.9
"State of Connecticut","Grade   9",15.0,15.6,14.2,13.7,12.9
"State of Connecticut","Grade 10",14.5,15.6,13.7,14.3,13.3
"State of Connecticut","Grade 11",16.2,16.3,14.8,14.5,14.1
"State of Connecticut","Grade 12",19.4,20.1,19.5,18.4,17.8

