"Percentage of Total Expenditures Used for Special Education, 2011-12"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",625923203,36.1
,"Noncertified Personnel",245964171,14.2
,"Employee Benefits",244391622,14.1
,"Purchased Services",87412121,5.0
,"Tuition to Other Schools",368023269,21.2
,"Instructional Supplies",6590863,0.4
,"Property Services",2027394,0.1
,"Transportation",145364472,8.4
,"Equipment",3882055,0.2
,"Other Expenditures",929914,0.1
,"Total Expenditures",1733299421,100.0

