"Percentage of Total Expenditures Used for Special Education, 2005-06"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",533556478,40.3
,"Noncertified Personnel",186635318,14.1
,"Employee Benefits",171067031,12.9
,"Purchased Services",65726633,5.0
,"Tuition to Other Schools",250446187,18.9
,"Instructional Supplies",7567804,0.6
,"Property Services",2448570,0.2
,"Transportation",98900577,7.5
,"Equipment",2757739,0.2
,"Other Expenditures",1337952,0.1
,"Total Expenditures",1322671091,100.0

