"Percentage of Total Expenditures Used for Special Education, 2009-10"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",615739410,37.0
,"Noncertified Personnel",238160337,14.3
,"Employee Benefits",218855798,13.2
,"Purchased Services",92624422,5.6
,"Tuition to Other Schools",338791798,20.4
,"Instructional Supplies",9542417,0.6
,"Property Services",2886538,0.2
,"Transportation",132199687,8.0
,"Equipment",6535078,0.4
,"Other Expenditures",3740481,0.2
,"Total Expenditures",1662687642,100.0

