"Percentage of Total Expenditures Used for Special Education, 2008-09"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",591027368,37.7
,"Noncertified Personnel",227963256,14.6
,"Employee Benefits",201451304,12.9
,"Purchased Services",80226137,5.1
,"Tuition to Other Schools",321097756,20.5
,"Instructional Supplies",7087247,0.5
,"Property Services",2728742,0.2
,"Transportation",128366078,8.2
,"Equipment",2668223,0.2
,"Other Expenditures",1600317,0.1
,"Total Expenditures",1566475459,100.0

