"Percentage of Total Expenditures Used for Special Education, 2013-14"
"State of Connecticut"

"",,"_","_"
"District","Type","District, State, and Federal","State % of Total"
"State of Connecticut","Certified Personnel",646119754,35.1
,"Noncertified Personnel",260922049,14.2
,"Employee Benefits",259080988,14.1
,"Purchased Services",94982322,5.2
,"Tuition to Other Schools",405219609,22.0
,"Instructional Supplies",6407378,0.3
,"Property Services",2707805,0.1
,"Transportation",158018499,8.6
,"Equipment",2369903,0.1
,"Other Expenditures",1831627,0.1
,"Total Expenditures",1840056071,100.0

