"Bullying Counts, 2013-14"
"All Districts, All Schools"

"",,,,"Bullying Type",
"District","District Code","School","School Code","Counts of Bullying Incidents","Students with at least 1 bullying incident"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,12
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",8,9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",18,20
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*",6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*",7
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*",6
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*",8
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",7,7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",6
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",15,20
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","*",7
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",7,8
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",6,6
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",8
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","*","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","*","*"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*"
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",7,8
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",13,13
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",6,7
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",6,8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",7,7
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","*","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","*","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","*","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","*","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*",6
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","*","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","*",6
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","*","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","*","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","*","*"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","*","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","*","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","*",6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","*","*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","*","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","*","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",6,6
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","*","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","*","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","*","*"
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","*","*"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","*","*"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","*","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",8,8
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",8,9
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","*","*"
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","*","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","*","*"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","*",7
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","*","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","*","*"
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",11,12
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","*","*"
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","*","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","*","*"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","*","*"
"Manchester School District","=""0770011""","Bowers School","=""0770111""","*","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","*","*"
