"Bullying Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Bullying Type",
"District","District Code","School","School Code","Counts of Bullying Incidents","Students with at least 1 bullying incident"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",8,11
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",7
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*","*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*","*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",6,6
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",8,12
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",7,8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",7
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",6,7
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",9,11
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",14,21
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","*","*"
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","*","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","*","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","*","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",9,10
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",7,7
"Hamden School District","=""0620011""","Church Street School","=""0620211""","*",6
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","*","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","*","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","*","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","*",6
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","*","*"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","*","*"
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","*","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","*","*"
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","*","*"
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","*","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","*","*"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","*","*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","*",6
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",10,10
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",16,18
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","*","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","*","*"
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""","*","*"
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","*","*"
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","*","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","*",6
"Manchester School District","=""0770011""","Martin School","=""0771611""","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""","*","*"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""","*","*"
"Manchester School District","=""0770011""","Waddell School","=""0771311""","*","*"
"Manchester School District","=""0770011""","Washington School","=""0771411""","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",8,10
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""","*","*"
