"Bullying Counts, 2012-13"
"All Districts, All Schools"

"",,,,"Bullying Type",
"District","District Code","School","School Code","Counts of Bullying Incidents","Students with at least 1 bullying incident"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",8,8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",12,15
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*",7
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",14,14
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",8,12
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",7,8
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*","*"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",8,8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*","*"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",9,10
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",7,7
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",6,8
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",13,17
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*","*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*",11
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",6,6
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*","*"
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",10,13
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",6,6
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",7,7
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",6,7
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",7,9
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",10,10
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",8,9
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",8,8
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","*","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","*","*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*"
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",7,7
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",6
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",16,17
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",14,14
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*","*"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",6,6
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",7,8
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",6,6
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","*",6
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","*","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","*","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",6,6
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","*","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",7,7
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","*","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","*","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","*","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","*","*"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","*","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","*","*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","*","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","*",6
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","*","*"
