"Bullying Counts, 2014-15"
"All Districts, All Schools"

"",,,,"Bullying Type",
"District","District Code","School","School Code","Counts of Bullying Incidents","Students with at least 1 bullying incident"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*",7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",8,10
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",6,6
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*",6
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",7,7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*","*"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",6,6
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",10,13
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",6,9
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",6,7
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",8,15
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",13,13
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*",6
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*"
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","*","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","*","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","*","*"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","*","*"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",10,10
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","*","*"
