"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"District","District Code","School","School Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","All Tests - School",20.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Curl Up",53.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Mile Run",53.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Push Up",46.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Sit and Reach",53.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","All Tests - School",22.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Curl Up",55.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Mile Run",38.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Push Up",47.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Sit and Reach",67.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","All Tests - School",14.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Curl Up",68.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Mile Run",43.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Push Up",63.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Sit and Reach",71.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","All Tests - School","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Curl Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Mile Run","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Push Up","N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Sit and Reach","N/A"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","All Tests - School",18.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Curl Up",82.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Mile Run",68.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Push Up",85.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Sit and Reach",73.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","All Tests - School",10.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Curl Up",43.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Mile Run",68.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Push Up",43.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Sit and Reach",35.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","All Tests - School",12.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Curl Up",37.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Mile Run",52.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Push Up",43.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Sit and Reach",47.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","All Tests - School","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Curl Up",51.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Mile Run",70.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Push Up",63.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Sit and Reach",48.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","All Tests - School",58.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Curl Up",66.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Mile Run",84.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Push Up",82.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Sit and Reach",92.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","All Tests - School",46.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Curl Up",66.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Mile Run",87.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Push Up",69.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Sit and Reach",79.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","All Tests - School","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","All Tests - School","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 6","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Curl Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Mile Run","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Push Up","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 8","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","All Tests - School",63.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Curl Up",86.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Mile Run",66.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Push Up",81.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 10","Sit and Reach",86.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","All Tests - School","N/A"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Grade 4","Curl Up","N/A"
