"Physical Fitness Tests: Students Reaching Health Standard, 2011-12"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"District","District Code","School","School Code","Grade","Test","2011-12"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","All Tests - School",19.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Curl Up",58.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Mile Run",44.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Push Up",51.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Sit and Reach",64.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","All Tests - School",13.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Curl Up",56.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Mile Run",64.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Push Up",60.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Sit and Reach",52.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","All Tests - School",52.8
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Curl Up",66.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Mile Run",85.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Push Up",76.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Sit and Reach",86.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","All Tests - School",63.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Curl Up",86.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Mile Run",66.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Push Up",81.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Sit and Reach",86.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","All Tests - School",35.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Curl Up",64.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Mile Run",95.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Push Up",82.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Sit and Reach",91.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","All Tests - School",26.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Curl Up",55.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Mile Run",85.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Push Up",42.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Sit and Reach",79.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","All Tests - School",30.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Curl Up",95.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Mile Run",42.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Push Up",65.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Sit and Reach",82.1
