"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"District","District Code","School","School Code","Grade","Test","2014-15"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","All Tests - School",39.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Curl Up",70.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Mile Run",71.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Push Up",61.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Sit and Reach",80.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","All Tests - School",11.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Curl Up",53.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Mile Run",33.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Push Up",58.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Sit and Reach",80.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","All Tests - School",67.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Curl Up",81.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Mile Run",84.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Push Up",81.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Sit and Reach",93.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","All Tests - School",44.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Curl Up",64.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Mile Run",67.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Push Up",67.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Sit and Reach",91.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","All Tests - School",26.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Curl Up",81.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Mile Run",55.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Push Up",61.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Sit and Reach",62.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","All Tests - School",38.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Curl Up",61.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Mile Run",85.5
