"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"District","District Code","School","School Code","Grade","Test","2014-15"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Push Up",61.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Push Up",58.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Push Up",81.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Push Up",67.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Push Up",61.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Push Up",53.9
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Push Up","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Push Up",64.6
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Push Up",61.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Push Up",62.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Push Up","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Push Up","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Push Up",56.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Push Up",63.6
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Push Up",81.4
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Push Up",86.3
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Push Up",86.8
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Push Up",80.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Push Up",90.2
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Push Up",69.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Push Up",91.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Push Up",78.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Push Up",82.7
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Push Up",84.3
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Push Up",81.8
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Push Up",60.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","Push Up",70.4
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","Push Up",54.9
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","Push Up",54.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","Push Up",91.2
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","Push Up",64.5
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","All Grades","Push Up",57.3
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","All Grades","Push Up",76.8
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","All Grades","Push Up",42.6
