"Physical Fitness Tests: Students Reaching Health Standard, 2014-15"
"All Districts, All Schools"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)"
"District","District Code","School","School Code","Grade","Test","2014-15"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","All Tests - School",60.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Curl Up",73.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Mile Run",93.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Push Up",68.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 4","Sit and Reach",93.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","All Tests - School",28.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Curl Up",66.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Mile Run",56.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Push Up",57.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 6","Sit and Reach",72.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","All Tests - School",30.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Curl Up",68.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Mile Run",58.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Push Up",58.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 8","Sit and Reach",76.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","All Tests - School",25.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Curl Up",71.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Mile Run",68.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Push Up",56.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Grade 10","Sit and Reach",71.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","All Tests - School","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Curl Up","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Mile Run",46.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Push Up",37.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 4","Sit and Reach",85.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","All Tests - School","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Curl Up",83.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Mile Run","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Push Up",76.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 6","Sit and Reach",76.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","All Tests - School","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Curl Up",81.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Mile Run","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Push Up",76.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 8","Sit and Reach",71.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","All Tests - School",25.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Curl Up",64.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Mile Run",35.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Push Up",71.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Grade 10","Sit and Reach",82.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","All Tests - School",63.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Curl Up",80.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Mile Run",75.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Push Up",85.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 4","Sit and Reach",95.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","All Tests - School",70.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Curl Up",82.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Mile Run",92.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Push Up",78.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 6","Sit and Reach",92.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","All Tests - School","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","All Tests - School","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Grade 4","All Tests - School","N/A"
