"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2013-14",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",7,"*"
"Ansonia School District","=""0020011""",71,88.8
"Ashford School District","=""0030011""",11,"*"
"Avon School District","=""0040011""",49,69.0
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",41,73.2
"Bethany School District","=""0080011""",8,"*"
"Bethel School District","=""0090011""",52,83.9
"Bloomfield School District","=""0110011""",22,68.8
"Bolton School District","=""0120011""",16,69.6
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",81,77.9
"Bridgeport School District","=""0150011""",216,44.7
"Bristol School District","=""0170011""",170,54.7
"Brookfield School District","=""0180011""",76,91.6
"Brooklyn School District","=""0190011""",14,63.6
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",13,"*"
"Canton School District","=""0230011""",31,83.8
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",82,71.3
"Chester School District","=""0260011""",7,"*"
"Clinton School District","=""0270011""",30,61.2
"Colchester School District","=""0280011""",56,94.9
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",14,"*"
"Connecticut Technical High School System","=""9000016""",226,99.6
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",23,76.7
"Cromwell School District","=""0330011""",22,91.7
"Danbury School District","=""0340011""",119,65.7
"Darien School District","=""0350011""",122,82.4
"Deep River School District","=""0360011""",6,"*"
"Derby School District","=""0370011""",33,73.3
"East Granby School District","=""0400011""",10,"*"
"East Haddam School District","=""0410011""",17,65.4
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",176,78.6
"East Haven School District","=""0440011""",52,65.8
"East Lyme School District","=""0450011""",67,85.9
"East Windsor School District","=""0470011""",19,57.6
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",13,"*"
"Ellington School District","=""0480011""",18,64.3
"Enfield School District","=""0490011""",90,87.4
"Essex School District","=""0500011""",7,"*"
"Fairfield School District","=""0510011""",217,87.1
"Farmington School District","=""0520011""",90,84.1
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",143,85.1
"Granby School District","=""0560011""",44,86.3
"Greenwich School District","=""0570011""",106,69.3
"Griswold School District","=""0580011""",44,71.0
"Groton School District","=""0590011""",85,78.0
"Guilford School District","=""0600011""",75,87.2
"Hamden School District","=""0620011""",123,75.9
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",443,79.2
"Hartland School District","=""0650011""",0,0
"Hebron School District","=""0670011""",12,"*"
"Killingly School District","=""0690011""",54,62.1
"Lebanon School District","=""0710011""",18,62.1
"Ledyard School District","=""0720011""",61,81.3
"Lisbon School District","=""0730011""",13,"*"
"Litchfield School District","=""0740011""",17,77.3
"Madison School District","=""0760011""",95,95.0
"Manchester School District","=""0770011""",129,77.7
"Mansfield School District","=""0780011""",19,86.4
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",192,68.1
"Middletown School District","=""0830011""",91,85.8
"Milford School District","=""0840011""",162,82.7
"Monroe School District","=""0850011""",64,83.1
"Montville School District","=""0860011""",40,76.9
"Naugatuck School District","=""0880011""",93,69.4
"New Britain School District","=""0890011""",215,64.8
"New Canaan School District","=""0900011""",54,81.8
"New Fairfield School District","=""0910011""",60,93.8
"New Hartford School District","=""0920011""",7,"*"
"New Haven School District","=""0930011""",374,78.4
"New London School District","=""0950011""",91,62.8
"New Milford School District","=""0960011""",99,73.9
"Newington School District","=""0940011""",65,79.3
"Newtown School District","=""0970011""",55,82.1
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",47,90.4
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",54,83.1
"North Stonington School District","=""1020011""",18,90.0
"Norwalk School District","=""1030011""",161,73.2
"Norwich School District","=""1040011""",95,54.6
"Old Saybrook School District","=""1060011""",51,91.1
"Orange School District","=""1070011""",13,"*"
"Oxford School District","=""1080011""",32,65.3
"Plainfield School District","=""1090011""",44,73.3
"Plainville School District","=""1100011""",76,87.4
"Plymouth School District","=""1110011""",48,88.9
"Pomfret School District","=""1120011""",6,"*"
"Portland School District","=""1130011""",18,66.7
"Preston School District","=""1140011""",15,"*"
"Putnam School District","=""1160011""",12,"*"
"Redding School District","=""1170011""",29,87.9
"Regional School District 01","=""2010012""",7,"*"
"Regional School District 04","=""2040012""",27,79.4
