"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,,"2011-12",
"District","District Code","Disability","Count","Rate (%)"
"Andover School District","=""0010011""","All Disabilities",15,"*"
"Andover School District","=""0010011""","Autism",0,"*"
"Andover School District","=""0010011""","Intellectual Disability","*","*"
"Andover School District","=""0010011""","Learning Disability",7,"*"
"Andover School District","=""0010011""","Speech Language Impairment","*","*"
"Ansonia School District","=""0020011""","All Disabilities",225,79.2
"Ansonia School District","=""0020011""","Autism",16,47.1
"Ansonia School District","=""0020011""","Emotional Disturbance","*","*"
"Ansonia School District","=""0020011""","Intellectual Disability",19,76.0
"Ansonia School District","=""0020011""","Learning Disability",75,97.4
"Ansonia School District","=""0020011""","Other Disabilities","*","*"
"Ansonia School District","=""0020011""","Other Health Impairment",64,88.9
"Ansonia School District","=""0020011""","Speech Language Impairment",37,100.0
"Ashford School District","=""0030011""","All Disabilities",29,70.7
"Ashford School District","=""0030011""","Autism","*","*"
"Ashford School District","=""0030011""","Emotional Disturbance","*","*"
"Ashford School District","=""0030011""","Intellectual Disability",0,0
"Ashford School District","=""0030011""","Learning Disability",7,"*"
"Ashford School District","=""0030011""","Other Disabilities",0,0
"Ashford School District","=""0030011""","Other Health Impairment",9,"*"
"Ashford School District","=""0030011""","Speech Language Impairment",9,"*"
"Avon School District","=""0040011""","All Disabilities",217,60.4
"Avon School District","=""0040011""","Autism",35,66.0
"Avon School District","=""0040011""","Emotional Disturbance","*","*"
"Avon School District","=""0040011""","Intellectual Disability","*","*"
"Avon School District","=""0040011""","Learning Disability",66,60.0
"Avon School District","=""0040011""","Other Disabilities",0,0
"Avon School District","=""0040011""","Other Health Impairment",48,63.2
"Avon School District","=""0040011""","Speech Language Impairment",61,81.3
"Barkhamsted School District","=""0050011""","All Disabilities",18,64.3
"Barkhamsted School District","=""0050011""","Autism",0,0
"Barkhamsted School District","=""0050011""","Learning Disability",10,"*"
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment","*","*"
"Berlin School District","=""0070011""","All Disabilities",184,65.9
"Berlin School District","=""0070011""","Autism",18,46.2
"Berlin School District","=""0070011""","Emotional Disturbance","*","*"
"Berlin School District","=""0070011""","Intellectual Disability","*","*"
"Berlin School District","=""0070011""","Learning Disability",69,78.4
"Berlin School District","=""0070011""","Other Disabilities","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",33,63.5
"Berlin School District","=""0070011""","Speech Language Impairment",57,77.0
"Bethany School District","=""0080011""","All Disabilities",52,89.7
"Bethany School District","=""0080011""","Autism","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*"
"Bethany School District","=""0080011""","Learning Disability",25,100.0
"Bethany School District","=""0080011""","Other Disabilities","*","*"
"Bethany School District","=""0080011""","Other Health Impairment",8,"*"
"Bethany School District","=""0080011""","Speech Language Impairment",13,"*"
"Bethel School District","=""0090011""","All Disabilities",208,71.5
"Bethel School District","=""0090011""","Autism",11,39.3
"Bethel School District","=""0090011""","Emotional Disturbance","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*"
"Bethel School District","=""0090011""","Learning Disability",104,85.2
"Bethel School District","=""0090011""","Other Disabilities",8,25.8
"Bethel School District","=""0090011""","Other Health Impairment",37,84.1
"Bethel School District","=""0090011""","Speech Language Impairment",40,100.0
"Bloomfield School District","=""0110011""","All Disabilities",158,69.0
"Bloomfield School District","=""0110011""","Autism","*","*"
"Bloomfield School District","=""0110011""","Emotional Disturbance",17,51.5
"Bloomfield School District","=""0110011""","Intellectual Disability",12,"*"
"Bloomfield School District","=""0110011""","Learning Disability",66,86.8
"Bloomfield School District","=""0110011""","Other Disabilities","*","*"
"Bloomfield School District","=""0110011""","Other Health Impairment",15,62.5
"Bloomfield School District","=""0110011""","Speech Language Impairment",39,78.0
"Bolton School District","=""0120011""","All Disabilities",50,59.5
"Bolton School District","=""0120011""","Autism","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",8,"*"
"Bolton School District","=""0120011""","Intellectual Disability",0,0
