"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts, Autism"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2015-16",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",13,27.7
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",24,47.1
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",20,55.6
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",13,35.1
"Bloomfield School District","=""0110011""",8,38.1
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",13,36.1
"Bridgeport School District","=""0150011""",77,27.4
"Bristol School District","=""0170011""",31,33.7
"Brookfield School District","=""0180011""",20,45.5
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""",9,"*"
"Canton School District","=""0230011""",16,66.7
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",35,51.5
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",14,70.0
"Colchester School District","=""0280011""",29,72.5
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",53,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",8,"*"
"Cromwell School District","=""0330011""",16,53.3
"Danbury School District","=""0340011""",66,44.6
"Darien School District","=""0350011""",20,51.3
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""",7,"*"
"East Haddam School District","=""0410011""",22,66.7
"East Hampton School District","=""0420011""",25,67.6
"East Hartford School District","=""0430011""",45,33.3
"East Haven School District","=""0440011""",30,53.6
"East Lyme School District","=""0450011""",25,55.6
"East Windsor School District","=""0470011""",11,44.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",13,50.0
"Enfield School District","=""0490011""",50,57.5
"Essex School District","=""0500011""",6,"*"
"Fairfield School District","=""0510011""",73,60.8
"Farmington School District","=""0520011""",38,45.2
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",51,52.6
"Granby School District","=""0560011""",16,72.7
"Greenwich School District","=""0570011""",55,55.6
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",40,42.6
"Guilford School District","=""0600011""",32,50.0
"Hamden School District","=""0620011""",64,42.4
"Hampton School District","=""0630011""",0,"*"
"Hartford School District","=""0640011""",210,60.3
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",10,"*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",31,55.4
"Lebanon School District","=""0710011""",7,35.0
"Ledyard School District","=""0720011""",24,52.2
"Lisbon School District","=""0730011""",6,"*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",30,65.2
"Manchester School District","=""0770011""",58,54.2
"Mansfield School District","=""0780011""",9,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",64,41.3
"Middletown School District","=""0830011""",41,57.7
"Milford School District","=""0840011""",40,40.4
"Monroe School District","=""0850011""",33,73.3
"Montville School District","=""0860011""",12,40.0
"Naugatuck School District","=""0880011""",31,44.3
"New Britain School District","=""0890011""",69,40.8
"New Canaan School District","=""0900011""",26,51.0
"New Fairfield School District","=""0910011""",14,63.6
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",92,35.2
"New London School District","=""0950011""",28,38.4
"New Milford School District","=""0960011""",41,53.9
"Newington School District","=""0940011""",37,66.1
"Newtown School District","=""0970011""",52,57.1
"North Branford School District","=""0990011""",13,"*"
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",24,49.0
"North Stonington School District","=""1020011""",6,"*"
"Norwalk School District","=""1030011""",66,48.5
"Norwich School District","=""1040011""",35,36.1
"Old Saybrook School District","=""1060011""",22,62.9
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""",12,40.0
"Plainfield School District","=""1090011""",17,47.2
"Plainville School District","=""1100011""",29,76.3
"Plymouth School District","=""1110011""","*","*"
"Pomfret School District","=""1120011""",8,"*"
"Portland School District","=""1130011""",9,"*"
"Preston School District","=""1140011""",6,"*"
"Putnam School District","=""1160011""",8,32.0
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",16,59.3
"Regional School District 05","=""2050012""",12,30.0
"Regional School District 06","=""2060012""",6,"*"
"Regional School District 07","=""2070012""",7,"*"
"Regional School District 08","=""2080012""",9,42.9
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",21,50.0
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""",24,63.2
"Regional School District 14","=""2140012""",10,41.7
"Regional School District 15","=""2150012""",40,48.2
"Regional School District 16","=""2160012""",26,57.8
"Regional School District 17","=""2170012""",24,64.9
"Regional School District 18","=""2180012""",9,"*"
"Regional School District 19","=""2190012""",7,31.8
"Ridgefield School District","=""1180011""",40,62.5
"Rocky Hill School District","=""1190011""",21,51.2
"Salem School District","=""1210011""",6,"*"
"Salisbury School District","=""1220011""","*","*"
"Seymour School District","=""1240011""",18,50.0
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""",22,29.7
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",53,57.6
"Somers School District","=""1290011""",11,50.0
"South Windsor School District","=""1320011""",58,69.9
"Southington School District","=""1310011""",50,51.0
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",14,60.9
"Stamford School District","=""1350011""",48,31.4
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",31,66.0
"Stratford School District","=""1380011""",57,49.1
"Suffield School District","=""1390011""",43,84.3
"Thomaston School District","=""1400011""",12,"*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",27,51.9
"Torrington School District","=""1430011""",33,42.3
"Trumbull School District","=""1440011""",46,50.0
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""",0,"*"
"Vernon School District","=""1460011""",30,51.7
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",48,57.1
"Waterbury School District","=""1510011""",89,40.6
"Waterford School District","=""1520011""",37,78.7
"Watertown School District","=""1530011""",20,45.5
"West Hartford School District","=""1550011""",118,61.1
"West Haven School District","=""1560011""",30,33.0
"Westbrook School District","=""1540011""",12,"*"
"Weston School District","=""1570011""",13,37.1
"Westport School District","=""1580011""",24,51.1
"Wethersfield School District","=""1590011""",37,62.7
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",41,61.2
"Winchester School District","=""1620011""",15,41.7
"Windham School District","=""1630011""",21,43.8
"Windsor Locks School District","=""1650011""",9,40.9
"Windsor School District","=""1640011""",37,57.8
"Wolcott School District","=""1660011""",14,56.0
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

