"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts, Autism"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2012-13",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",10,29.4
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",18,52.9
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",12,38.7
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",17,41.5
"Bridgeport School District","=""0150011""",40,20.5
"Bristol School District","=""0170011""",27,35.5
"Brookfield School District","=""0180011""",24,58.5
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""",6,"*"
"Canton School District","=""0230011""",12,50.0
"Cheshire School District","=""0250011""",27,45.0
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",12,54.5
"Colchester School District","=""0280011""",23,65.7
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",38,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",8,"*"
"Cromwell School District","=""0330011""",15,57.7
"Danbury School District","=""0340011""",53,46.9
"Darien School District","=""0350011""",29,53.7
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""",7,"*"
"East Haddam School District","=""0410011""",11,55.0
"East Hampton School District","=""0420011""",17,58.6
"East Hartford School District","=""0430011""",35,38.5
"East Haven School District","=""0440011""",28,51.9
"East Lyme School District","=""0450011""",18,41.9
"East Windsor School District","=""0470011""",11,"*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",10,"*"
"Enfield School District","=""0490011""",45,69.2
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",91,60.3
"Farmington School District","=""0520011""",43,54.4
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",47,66.2
"Granby School District","=""0560011""",12,"*"
"Greenwich School District","=""0570011""",50,64.1
"Griswold School District","=""0580011""",11,50.0
"Groton School District","=""0590011""",39,46.4
"Guilford School District","=""0600011""",29,50.0
"Hamden School District","=""0620011""",47,44.3
"Hartford School District","=""0640011""",149,61.8
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",22,48.9
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",27,56.3
"Lisbon School District","=""0730011""",6,"*"
"Litchfield School District","=""0740011""",0,0
"Madison School District","=""0760011""",34,70.8
"Manchester School District","=""0770011""",41,44.1
"Mansfield School District","=""0780011""",9,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",58,47.9
"Middletown School District","=""0830011""",26,45.6
"Milford School District","=""0840011""",35,40.7
"Monroe School District","=""0850011""",27,84.4
"Montville School District","=""0860011""",16,53.3
"Naugatuck School District","=""0880011""",21,36.8
"New Britain School District","=""0890011""",81,59.6
"New Canaan School District","=""0900011""",18,40.9
"New Fairfield School District","=""0910011""",11,"*"
"New Haven School District","=""0930011""",91,47.4
"New London School District","=""0950011""",28,50.0
"New Milford School District","=""0960011""",43,54.4
"Newington School District","=""0940011""",37,62.7
"Newtown School District","=""0970011""",46,61.3
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",16,72.7
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",26,54.2
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",61,53.0
"Norwich School District","=""1040011""",22,33.8
"Old Saybrook School District","=""1060011""",18,69.2
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""",12,48.0
"Plainfield School District","=""1090011""",20,54.1
"Plainville School District","=""1100011""",19,61.3
"Plymouth School District","=""1110011""",11,45.8
"Pomfret School District","=""1120011""",8,"*"
"Portland School District","=""1130011""",7,"*"
"Preston School District","=""1140011""",8,"*"
"Putnam School District","=""1160011""",14,50.0
"Redding School District","=""1170011""",8,"*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",16,66.7
"Regional School District 05","=""2050012""",19,50.0
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",14,"*"
"Regional School District 08","=""2080012""",11,"*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",24,66.7
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",8,"*"
"Regional School District 13","=""2130012""",21,61.8
"Regional School District 14","=""2140012""",11,36.7
"Regional School District 15","=""2150012""",33,51.6
"Regional School District 16","=""2160012""",24,54.5
"Regional School District 17","=""2170012""",27,79.4
"Regional School District 18","=""2180012""",8,"*"
"Regional School District 19","=""2190012""",7,"*"
"Ridgefield School District","=""1180011""",42,61.8
"Rocky Hill School District","=""1190011""",19,55.9
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Seymour School District","=""1240011""",25,73.5
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",21,34.4
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",60,63.8
"Somers School District","=""1290011""",9,"*"
"South Windsor School District","=""1320011""",42,60.9
"Southington School District","=""1310011""",42,50.0
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",17,77.3
"Stamford School District","=""1350011""",39,33.9
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",32,69.6
"Stratford School District","=""1380011""",52,51.0
"Suffield School District","=""1390011""",24,64.9
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",23,50.0
"Torrington School District","=""1430011""",25,37.9
"Trumbull School District","=""1440011""",46,49.5
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",20,44.4
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",54,62.8
"Waterbury School District","=""1510011""",82,45.1
"Waterford School District","=""1520011""",23,74.2
"Watertown School District","=""1530011""",19,59.4
"West Hartford School District","=""1550011""",102,65.4
"West Haven School District","=""1560011""",19,26.0
"Westbrook School District","=""1540011""",6,"*"
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""",30,53.6
"Wethersfield School District","=""1590011""",43,69.4
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",27,52.9
"Winchester School District","=""1620011""",15,40.5
"Windham School District","=""1630011""",20,48.8
"Windsor Locks School District","=""1650011""",11,52.4
"Windsor School District","=""1640011""",29,58.0
"Wolcott School District","=""1660011""",10,"*"
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

