"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2013-14",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",0,"*"
"Ansonia School District","=""0020011""",40,97.6
"Ashford School District","=""0030011""",6,"*"
"Avon School District","=""0040011""",54,88.5
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",61,83.6
"Bethany School District","=""0080011""",10,"*"
"Bethel School District","=""0090011""",27,93.1
"Bloomfield School District","=""0110011""",27,73.0
"Bolton School District","=""0120011""",9,"*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",54,72.0
"Bridgeport School District","=""0150011""",204,54.5
"Bristol School District","=""0170011""",108,83.1
"Brookfield School District","=""0180011""",38,92.7
"Brooklyn School District","=""0190011""",9,"*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",6,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",56,88.9
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",21,72.4
"Colchester School District","=""0280011""",64,98.5
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",50,100.0
"Cornwall School District","=""0310011""",0,"*"
"Coventry School District","=""0320011""",25,96.2
"Cromwell School District","=""0330011""",43,89.6
"Danbury School District","=""0340011""",82,73.9
"Darien School District","=""0350011""",84,89.4
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",34,69.4
"East Granby School District","=""0400011""",17,"*"
"East Haddam School District","=""0410011""",38,82.6
"East Hampton School District","=""0420011""",33,86.8
"East Hartford School District","=""0430011""",195,91.5
"East Haven School District","=""0440011""",72,80.0
"East Lyme School District","=""0450011""",27,90.0
"East Windsor School District","=""0470011""",21,100.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",13,"*"
"Ellington School District","=""0480011""",21,75.0
"Enfield School District","=""0490011""",137,93.2
"Essex School District","=""0500011""",17,"*"
"Fairfield School District","=""0510011""",165,90.7
"Farmington School District","=""0520011""",49,81.7
"Franklin School District","=""0530011""",6,"*"
"Glastonbury School District","=""0540011""",77,96.3
"Granby School District","=""0560011""",21,91.3
"Greenwich School District","=""0570011""",117,83.0
"Griswold School District","=""0580011""",22,75.9
"Groton School District","=""0590011""",86,93.5
"Guilford School District","=""0600011""",25,73.5
"Hamden School District","=""0620011""",113,81.9
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",424,94.6
"Hartland School District","=""0650011""",8,"*"
"Hebron School District","=""0670011""",22,95.7
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",54,96.4
"Lebanon School District","=""0710011""",17,77.3
"Ledyard School District","=""0720011""",38,90.5
"Lisbon School District","=""0730011""",19,90.5
"Litchfield School District","=""0740011""",18,90.0
"Madison School District","=""0760011""",21,91.3
"Manchester School District","=""0770011""",149,93.1
"Mansfield School District","=""0780011""",19,90.5
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",118,96.7
"Middletown School District","=""0830011""",105,97.2
"Milford School District","=""0840011""",164,86.3
"Monroe School District","=""0850011""",55,84.6
"Montville School District","=""0860011""",37,92.5
"Naugatuck School District","=""0880011""",59,86.8
"New Britain School District","=""0890011""",143,89.4
"New Canaan School District","=""0900011""",94,89.5
"New Fairfield School District","=""0910011""",49,96.1
"New Hartford School District","=""0920011""",12,"*"
"New Haven School District","=""0930011""",179,90.9
"New London School District","=""0950011""",68,81.0
"New Milford School District","=""0960011""",46,76.7
"Newington School District","=""0940011""",64,97.0
"Newtown School District","=""0970011""",74,93.7
"Norfolk School District","=""0980011""",8,"*"
"North Branford School District","=""0990011""",46,90.2
"North Canaan School District","=""1000011""",9,"*"
"North Haven School District","=""1010011""",38,92.7
"North Stonington School District","=""1020011""",10,"*"
"Norwalk School District","=""1030011""",160,89.9
"Norwich School District","=""1040011""",105,78.4
"Old Saybrook School District","=""1060011""",29,96.7
"Orange School District","=""1070011""",21,70.0
"Oxford School District","=""1080011""",21,70.0
"Plainfield School District","=""1090011""",24,85.7
"Plainville School District","=""1100011""",36,100.0
"Plymouth School District","=""1110011""",26,100.0
"Pomfret School District","=""1120011""",6,"*"
"Portland School District","=""1130011""",14,"*"
"Preston School District","=""1140011""",20,69.0
"Putnam School District","=""1160011""",17,85.0
"Redding School District","=""1170011""",37,97.4
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",6,"*"
"Regional School District 05","=""2050012""",27,81.8
"Regional School District 06","=""2060012""",6,"*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""",9,"*"
"Regional School District 10","=""2100012""",25,89.3
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",9,"*"
"Regional School District 13","=""2130012""",45,86.5
"Regional School District 14","=""2140012""",21,91.3
"Regional School District 15","=""2150012""",56,87.5
"Regional School District 16","=""2160012""",44,95.7
"Regional School District 17","=""2170012""","*","*"
"Regional School District 18","=""2180012""",25,92.6
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",48,92.3
"Rocky Hill School District","=""1190011""",25,92.6
"Salem School District","=""1210011""",6,"*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""",7,"*"
"Seymour School District","=""1240011""",32,97.0
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""",68,60.2
"Sherman School District","=""1270011""",13,"*"
"Simsbury School District","=""1280011""",50,92.6
"Somers School District","=""1290011""",25,78.1
"South Windsor School District","=""1320011""",63,92.6
"Southington School District","=""1310011""",84,73.0
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",11,"*"
"Stamford School District","=""1350011""",174,69.3
"Sterling School District","=""1360011""",9,"*"
"Stonington School District","=""1370011""",28,93.3
"Stratford School District","=""1380011""",63,94.0
"Suffield School District","=""1390011""",29,93.5
"Thomaston School District","=""1400011""",18,78.3
"Thompson School District","=""1410011""",29,85.3
"Tolland School District","=""1420011""",17,81.0
"Torrington School District","=""1430011""",44,73.3
"Trumbull School District","=""1440011""",38,88.4
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",73,91.3
"Voluntown School District","=""1470011""",7,"*"
"Wallingford School District","=""1480011""",108,96.4
"Waterbury School District","=""1510011""",465,81.0
"Waterford School District","=""1520011""",42,87.5
"Watertown School District","=""1530011""",28,90.3
"West Hartford School District","=""1550011""",142,79.8
"West Haven School District","=""1560011""",166,92.7
"Westbrook School District","=""1540011""",6,"*"
"Weston School District","=""1570011""",24,70.6
"Westport School District","=""1580011""",65,83.3
"Wethersfield School District","=""1590011""",92,94.8
"Willington School District","=""1600011""",14,"*"
"Wilton School District","=""1610011""",46,78.0
"Winchester School District","=""1620011""",23,76.7
"Windham School District","=""1630011""",54,75.0
"Windsor Locks School District","=""1650011""",9,"*"
"Windsor School District","=""1640011""",38,90.5
"Wolcott School District","=""1660011""",31,100.0
"Woodbridge School District","=""1670011""",14,"*"
"Woodstock School District","=""1690011""",10,"*"

