"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts, Learning Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2012-13",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",80,96.4
"Ashford School District","=""0030011""",7,"*"
"Avon School District","=""0040011""",66,63.5
"Barkhamsted School District","=""0050011""",14,"*"
"Berlin School District","=""0070011""",69,76.7
"Bethany School District","=""0080011""",17,"*"
"Bethel School District","=""0090011""",97,80.2
"Bloomfield School District","=""0110011""",56,76.7
"Bolton School District","=""0120011""",21,77.8
"Bozrah School District","=""0130011""",12,"*"
"Branford School District","=""0140011""",85,71.4
"Bridgeport School District","=""0150011""",552,55.4
"Bristol School District","=""0170011""",308,72.8
"Brookfield School District","=""0180011""",84,91.3
"Brooklyn School District","=""0190011""",48,80.0
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",15,"*"
"Canton School District","=""0230011""",32,66.7
"Chaplin School District","=""0240011""",9,"*"
"Cheshire School District","=""0250011""",84,71.2
"Chester School District","=""0260011""",17,"*"
"Clinton School District","=""0270011""",47,75.8
"Colchester School District","=""0280011""",103,98.1
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",24,100.0
"Connecticut Technical High School System","=""9000016""",457,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",71,95.9
"Cromwell School District","=""0330011""",51,94.4
"Danbury School District","=""0340011""",378,81.5
"Darien School District","=""0350011""",163,91.1
"Deep River School District","=""0360011""",13,"*"
"Derby School District","=""0370011""",41,80.4
"East Granby School District","=""0400011""",37,100.0
"East Haddam School District","=""0410011""",36,81.8
"East Hampton School District","=""0420011""",28,73.7
"East Hartford School District","=""0430011""",240,85.4
"East Haven School District","=""0440011""",82,75.2
"East Lyme School District","=""0450011""",118,92.9
"East Windsor School District","=""0470011""",57,82.6
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",19,82.6
"Ellington School District","=""0480011""",99,75.0
"Enfield School District","=""0490011""",209,90.1
"Essex School District","=""0500011""",6,"*"
"Fairfield School District","=""0510011""",327,91.1
"Farmington School District","=""0520011""",97,86.6
"Franklin School District","=""0530011""",8,"*"
"Glastonbury School District","=""0540011""",155,96.3
"Granby School District","=""0560011""",63,95.5
"Greenwich School District","=""0570011""",277,82.4
"Griswold School District","=""0580011""",54,73.0
"Groton School District","=""0590011""",195,89.0
"Guilford School District","=""0600011""",95,84.8
"Hamden School District","=""0620011""",196,84.5
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",1220,89.4
"Hartland School District","=""0650011""",11,"*"
"Hebron School District","=""0670011""",25,92.6
"Kent School District","=""0680011""",9,"*"
"Killingly School District","=""0690011""",67,97.1
"Lebanon School District","=""0710011""",41,66.1
"Ledyard School District","=""0720011""",64,77.1
"Lisbon School District","=""0730011""",21,84.0
"Litchfield School District","=""0740011""",39,84.8
"Madison School District","=""0760011""",128,91.4
"Manchester School District","=""0770011""",255,87.6
"Mansfield School District","=""0780011""",47,87.0
"Marlborough School District","=""0790011""",26,83.9
"Meriden School District","=""0800011""",344,78.5
"Middletown School District","=""0830011""",145,91.8
"Milford School District","=""0840011""",128,87.1
"Monroe School District","=""0850011""",99,75.6
"Montville School District","=""0860011""",63,84.0
"Naugatuck School District","=""0880011""",167,74.6
"New Britain School District","=""0890011""",468,85.6
"New Canaan School District","=""0900011""",96,88.9
"New Fairfield School District","=""0910011""",60,69.8
"New Hartford School District","=""0920011""",14,"*"
"New Haven School District","=""0930011""",748,86.9
"New London School District","=""0950011""",141,83.4
"New Milford School District","=""0960011""",119,77.3
"Newington School District","=""0940011""",173,82.0
"Newtown School District","=""0970011""",96,95.0
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",85,95.5
"North Canaan School District","=""1000011""",8,"*"
"North Haven School District","=""1010011""",96,88.1
"North Stonington School District","=""1020011""",23,95.8
"Norwalk School District","=""1030011""",396,92.1
"Norwich School District","=""1040011""",151,64.0
"Old Saybrook School District","=""1060011""",42,91.3
"Orange School District","=""1070011""",32,78.0
"Oxford School District","=""1080011""",46,83.6
"Plainfield School District","=""1090011""",69,92.0
"Plainville School District","=""1100011""",73,91.3
"Plymouth School District","=""1110011""",68,91.9
"Pomfret School District","=""1120011""",19,76.0
"Portland School District","=""1130011""",41,89.1
"Preston School District","=""1140011""",9,"*"
"Putnam School District","=""1160011""",61,96.8
"Redding School District","=""1170011""",31,100.0
"Regional School District 01","=""2010012""",24,80.0
"Regional School District 04","=""2040012""",56,94.9
"Regional School District 05","=""2050012""",89,89.9
"Regional School District 06","=""2060012""",41,85.4
"Regional School District 07","=""2070012""",29,70.7
"Regional School District 08","=""2080012""",70,85.4
"Regional School District 09","=""2090012""",33,94.3
"Regional School District 10","=""2100012""",75,83.3
"Regional School District 11","=""2110012""",16,61.5
"Regional School District 12","=""2120012""",42,84.0
"Regional School District 13","=""2130012""",88,91.7
"Regional School District 14","=""2140012""",61,93.8
"Regional School District 15","=""2150012""",165,83.3
"Regional School District 16","=""2160012""",42,63.6
"Regional School District 17","=""2170012""",109,90.1
"Regional School District 18","=""2180012""",46,83.6
"Regional School District 19","=""2190012""",41,73.2
"Ridgefield School District","=""1180011""",169,94.9
"Rocky Hill School District","=""1190011""",57,83.8
"Salem School District","=""1210011""",15,75.0
"Salisbury School District","=""1220011""",12,"*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",104,99.0
"Sharon School District","=""1250011""",9,"*"
"Shelton School District","=""1260011""",156,70.6
"Sherman School District","=""1270011""",16,69.6
"Simsbury School District","=""1280011""",151,81.6
"Somers School District","=""1290011""",52,89.7
"South Windsor School District","=""1320011""",124,91.9
"Southington School District","=""1310011""",189,78.4
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",35,61.4
"Stamford School District","=""1350011""",459,74.4
"Sterling School District","=""1360011""",16,55.2
"Stonington School District","=""1370011""",108,93.9
"Stratford School District","=""1380011""",197,94.7
"Suffield School District","=""1390011""",91,92.9
"Thomaston School District","=""1400011""",43,91.5
"Thompson School District","=""1410011""",20,55.6
"Tolland School District","=""1420011""",77,62.6
"Torrington School District","=""1430011""",203,72.2
"Trumbull School District","=""1440011""",129,71.3
"Unified School District #1","=""3360015""",66,82.5
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",108,85.7
"Voluntown School District","=""1470011""",12,"*"
"Wallingford School District","=""1480011""",221,96.5
"Waterbury School District","=""1510011""",666,69.7
"Waterford School District","=""1520011""",93,97.9
"Watertown School District","=""1530011""",93,87.7
"West Hartford School District","=""1550011""",229,76.6
"West Haven School District","=""1560011""",238,90.5
"Westbrook School District","=""1540011""",30,81.1
"Weston School District","=""1570011""",43,62.3
"Westport School District","=""1580011""",226,89.3
"Wethersfield School District","=""1590011""",100,83.3
"Willington School District","=""1600011""",18,"*"
"Wilton School District","=""1610011""",140,63.9
"Winchester School District","=""1620011""",37,49.3
"Windham School District","=""1630011""",121,84.0
"Windsor Locks School District","=""1650011""",85,91.4
"Windsor School District","=""1640011""",179,91.8
"Wolcott School District","=""1660011""",65,91.5
"Woodbridge School District","=""1670011""",10,"*"
"Woodstock School District","=""1690011""",17,36.2

