"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,,"2015-16",
"District","District Code","Disability","Count","Rate (%)"
"Andover School District","=""0010011""","All Disabilities",10,"*"
"Andover School District","=""0010011""","Autism","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*"
"Andover School District","=""0010011""","Other Health Impairment","*","*"
"Andover School District","=""0010011""","Speech Language Impairment","*","*"
"Ansonia School District","=""0020011""","All Disabilities",276,66.3
"Ansonia School District","=""0020011""","Autism",13,27.7
"Ansonia School District","=""0020011""","Emotional Disturbance",13,43.3
"Ansonia School District","=""0020011""","Intellectual Disability",6,"*"
"Ansonia School District","=""0020011""","Learning Disability",100,82.6
"Ansonia School District","=""0020011""","Other Disabilities",13,30.2
"Ansonia School District","=""0020011""","Other Health Impairment",84,79.2
"Ansonia School District","=""0020011""","Speech Language Impairment",47,92.2
"Ashford School District","=""0030011""","All Disabilities",28,70.0
"Ashford School District","=""0030011""","Autism","*","*"
"Ashford School District","=""0030011""","Emotional Disturbance","*","*"
"Ashford School District","=""0030011""","Learning Disability",6,"*"
"Ashford School District","=""0030011""","Other Disabilities","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",9,"*"
"Ashford School District","=""0030011""","Speech Language Impairment",6,"*"
"Avon School District","=""0040011""","All Disabilities",169,61.5
"Avon School District","=""0040011""","Autism",24,47.1
"Avon School District","=""0040011""","Emotional Disturbance",6,"*"
"Avon School District","=""0040011""","Intellectual Disability","*","*"
"Avon School District","=""0040011""","Learning Disability",62,73.8
"Avon School District","=""0040011""","Other Disabilities","*","*"
"Avon School District","=""0040011""","Other Health Impairment",38,71.7
"Avon School District","=""0040011""","Speech Language Impairment",35,79.5
"Barkhamsted School District","=""0050011""","All Disabilities",23,74.2
"Barkhamsted School District","=""0050011""","Autism","*","*"
"Barkhamsted School District","=""0050011""","Emotional Disturbance","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",8,"*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",8,"*"
"Berlin School District","=""0070011""","All Disabilities",205,65.5
"Berlin School District","=""0070011""","Autism",20,55.6
"Berlin School District","=""0070011""","Emotional Disturbance",9,37.5
"Berlin School District","=""0070011""","Intellectual Disability","*","*"
"Berlin School District","=""0070011""","Learning Disability",78,72.2
"Berlin School District","=""0070011""","Other Disabilities","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",35,66.0
"Berlin School District","=""0070011""","Speech Language Impairment",56,83.6
"Bethany School District","=""0080011""","All Disabilities",40,95.2
"Bethany School District","=""0080011""","Autism","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*"
"Bethany School District","=""0080011""","Learning Disability",13,"*"
"Bethany School District","=""0080011""","Other Health Impairment",7,"*"
"Bethany School District","=""0080011""","Speech Language Impairment",13,"*"
"Bethel School District","=""0090011""","All Disabilities",197,64.4
"Bethel School District","=""0090011""","Autism",13,35.1
"Bethel School District","=""0090011""","Emotional Disturbance",7,33.3
"Bethel School District","=""0090011""","Intellectual Disability",0,0
"Bethel School District","=""0090011""","Learning Disability",91,76.5
"Bethel School District","=""0090011""","Other Disabilities",10,27.0
"Bethel School District","=""0090011""","Other Health Impairment",46,79.3
"Bethel School District","=""0090011""","Speech Language Impairment",30,93.8
"Bloomfield School District","=""0110011""","All Disabilities",191,64.7
"Bloomfield School District","=""0110011""","Autism",8,38.1
"Bloomfield School District","=""0110011""","Emotional Disturbance","*","*"
"Bloomfield School District","=""0110011""","Intellectual Disability","*","*"
"Bloomfield School District","=""0110011""","Learning Disability",90,76.3
"Bloomfield School District","=""0110011""","Other Disabilities",9,32.1
"Bloomfield School District","=""0110011""","Other Health Impairment",40,80.0
"Bloomfield School District","=""0110011""","Speech Language Impairment",35,79.5
"Bolton School District","=""0120011""","All Disabilities",63,74.1
"Bolton School District","=""0120011""","Autism","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance","*","*"
"Bolton School District","=""0120011""","Intellectual Disability",0,0
"Bolton School District","=""0120011""","Learning Disability",22,88.0
"Bolton School District","=""0120011""","Other Disabilities","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",20,80.0
"Bolton School District","=""0120011""","Speech Language Impairment",12,"*"
"Bozrah School District","=""0130011""","All Disabilities",26,81.3
"Bozrah School District","=""0130011""","Autism","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance",0,0
"Bozrah School District","=""0130011""","Learning Disability",12,"*"
"Bozrah School District","=""0130011""","Other Disabilities","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment",7,"*"
"Branford School District","=""0140011""","All Disabilities",262,64.9
"Branford School District","=""0140011""","Autism",13,36.1
"Branford School District","=""0140011""","Emotional Disturbance",22,55.0
"Branford School District","=""0140011""","Intellectual Disability","*","*"
"Branford School District","=""0140011""","Learning Disability",87,75.7
"Branford School District","=""0140011""","Other Disabilities","*","*"
"Branford School District","=""0140011""","Other Health Impairment",82,75.2
"Branford School District","=""0140011""","Speech Language Impairment",45,70.3
"Bridgeport School District","=""0150011""","All Disabilities",1646,52.7
"Bridgeport School District","=""0150011""","Autism",77,27.4
"Bridgeport School District","=""0150011""","Emotional Disturbance",85,31.0
"Bridgeport School District","=""0150011""","Intellectual Disability",33,20.4
"Bridgeport School District","=""0150011""","Learning Disability",846,65.6
"Bridgeport School District","=""0150011""","Other Disabilities",54,30.0
"Bridgeport School District","=""0150011""","Other Health Impairment",319,53.8
"Bridgeport School District","=""0150011""","Speech Language Impairment",232,67.8
"Bristol School District","=""0170011""","All Disabilities",735,56.2
"Bristol School District","=""0170011""","Autism",31,33.7
"Bristol School District","=""0170011""","Emotional Disturbance",38,28.4
"Bristol School District","=""0170011""","Intellectual Disability","*","*"
"Bristol School District","=""0170011""","Learning Disability",383,67.7
"Bristol School District","=""0170011""","Other Disabilities","*","*"
