"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts, Emotional Disturbance"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2011-12",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""","*","*"
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",17,51.5
"Bolton School District","=""0120011""",8,"*"
"Bozrah School District","=""0130011""",0,0
"Branford School District","=""0140011""",28,57.1
"Bridgeport School District","=""0150011""",85,33.1
"Bristol School District","=""0170011""",23,19.8
"Brookfield School District","=""0180011""",12,57.1
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""",0,"*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",6,"*"
"Cheshire School District","=""0250011""",17,37.8
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""",26,68.4
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",34,100.0
"Coventry School District","=""0320011""",19,48.7
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",24,39.3
"Darien School District","=""0350011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",62,49.2
"East Haven School District","=""0440011""",9,37.5
"East Lyme School District","=""0450011""",10,45.5
"East Windsor School District","=""0470011""",10,50.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",19,73.1
"Enfield School District","=""0490011""",34,40.0
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",29,69.0
"Farmington School District","=""0520011""",22,68.8
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",23,40.4
"Granby School District","=""0560011""",6,"*"
"Greenwich School District","=""0570011""",17,31.5
"Griswold School District","=""0580011""",14,50.0
"Groton School District","=""0590011""",31,50.0
"Guilford School District","=""0600011""",23,54.8
"Hamden School District","=""0620011""",28,43.8
"Hampton School District","=""0630011""",0,"*"
"Hartford School District","=""0640011""",135,37.9
"Hartland School District","=""0650011""",0,0
"Hebron School District","=""0670011""","*","*"
"Killingly School District","=""0690011""",10,28.6
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",15,55.6
"Lisbon School District","=""0730011""",0,0
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",13,54.2
"Manchester School District","=""0770011""",49,38.0
"Mansfield School District","=""0780011""",6,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",47,29.7
"Middletown School District","=""0830011""",25,37.9
"Milford School District","=""0840011""",42,47.7
"Monroe School District","=""0850011""",11,50.0
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""","*","*"
"New Britain School District","=""0890011""",24,20.2
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""",9,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",110,47.0
"New London School District","=""0950011""",28,46.7
"New Milford School District","=""0960011""",26,50.0
"Newington School District","=""0940011""","*","*"
"Newtown School District","=""0970011""",12,"*"
"North Branford School District","=""0990011""",13,65.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",21,51.2
"Norwalk School District","=""1030011""",19,48.7
"Norwich School District","=""1040011""",40,31.5
"Old Saybrook School District","=""1060011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",12,33.3
"Plainville School District","=""1100011""",16,59.3
"Plymouth School District","=""1110011""",16,47.1
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""",6,"*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",11,"*"
"Regional School District 08","=""2080012""",11,40.7
"Regional School District 09","=""2090012""",6,"*"
"Regional School District 10","=""2100012""",13,52.0
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""",10,"*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""",7,"*"
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""",24,82.8
"Regional School District 18","=""2180012""",7,"*"
"Regional School District 19","=""2190012""",15,62.5
"Ridgefield School District","=""1180011""",22,52.4
"Rocky Hill School District","=""1190011""",7,"*"
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",0,0
"Seymour School District","=""1240011""","*","*"
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",12,35.3
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",15,60.0
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",31,45.6
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",6,26.1
"Stamford School District","=""1350011""",14,34.1
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",16,64.0
"Stratford School District","=""1380011""",17,40.5
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""",7,"*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",15,60.0
"Torrington School District","=""1430011""",20,28.6
"Trumbull School District","=""1440011""",22,50.0
"Unified School District #1","=""3360015""",107,84.3
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",17,35.4
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",19,40.4
"Waterbury School District","=""1510011""",72,32.4
"Waterford School District","=""1520011""",15,40.5
"Watertown School District","=""1530011""",17,68.0
"West Hartford School District","=""1550011""",26,47.3
"West Haven School District","=""1560011""",23,39.0
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""",22,71.0
"Wethersfield School District","=""1590011""",9,37.5
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""","*","*"
"Winchester School District","=""1620011""",12,42.9
"Windham School District","=""1630011""",35,39.3
"Windsor Locks School District","=""1650011""",7,"*"
"Windsor School District","=""1640011""",21,53.8
"Wolcott School District","=""1660011""",10,"*"
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

