"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,,"2010-11",
"District","District Code","Disability","Count","Rate (%)"
"Andover School District","=""0010011""","All Disabilities",17,85.0
"Andover School District","=""0010011""","Autism","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*"
"Andover School District","=""0010011""","Other Health Impairment","*","*"
"Andover School District","=""0010011""","Speech Language Impairment",6,"*"
"Ansonia School District","=""0020011""","All Disabilities",226,77.4
"Ansonia School District","=""0020011""","Autism",16,47.1
"Ansonia School District","=""0020011""","Emotional Disturbance","*","*"
"Ansonia School District","=""0020011""","Intellectual Disability",20,83.3
"Ansonia School District","=""0020011""","Learning Disability",67,95.7
"Ansonia School District","=""0020011""","Other Disabilities","*","*"
"Ansonia School District","=""0020011""","Other Health Impairment",56,86.2
"Ansonia School District","=""0020011""","Speech Language Impairment",49,100.0
"Ashford School District","=""0030011""","All Disabilities",32,66.7
"Ashford School District","=""0030011""","Autism","*","*"
"Ashford School District","=""0030011""","Emotional Disturbance","*","*"
"Ashford School District","=""0030011""","Intellectual Disability",0,0
"Ashford School District","=""0030011""","Learning Disability",9,"*"
"Ashford School District","=""0030011""","Other Disabilities",0,0
"Ashford School District","=""0030011""","Other Health Impairment","*","*"
"Ashford School District","=""0030011""","Speech Language Impairment",15,"*"
"Avon School District","=""0040011""","All Disabilities",221,62.3
"Avon School District","=""0040011""","Autism",29,59.2
"Avon School District","=""0040011""","Emotional Disturbance","*","*"
"Avon School District","=""0040011""","Intellectual Disability","*","*"
"Avon School District","=""0040011""","Learning Disability",70,68.0
"Avon School District","=""0040011""","Other Disabilities","*","*"
"Avon School District","=""0040011""","Other Health Impairment",46,59.7
"Avon School District","=""0040011""","Speech Language Impairment",66,79.5
"Barkhamsted School District","=""0050011""","All Disabilities",27,84.4
"Barkhamsted School District","=""0050011""","Autism","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",13,"*"
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",9,"*"
"Berlin School District","=""0070011""","All Disabilities",206,69.6
"Berlin School District","=""0070011""","Autism",16,42.1
"Berlin School District","=""0070011""","Emotional Disturbance","*","*"
"Berlin School District","=""0070011""","Intellectual Disability",0,0
"Berlin School District","=""0070011""","Learning Disability",75,85.2
"Berlin School District","=""0070011""","Other Disabilities","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",48,76.2
"Berlin School District","=""0070011""","Speech Language Impairment",59,75.6
"Bethany School District","=""0080011""","All Disabilities",45,81.8
"Bethany School District","=""0080011""","Autism","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*"
"Bethany School District","=""0080011""","Intellectual Disability",0,0
"Bethany School District","=""0080011""","Learning Disability",24,92.3
"Bethany School District","=""0080011""","Other Disabilities",0,0
"Bethany School District","=""0080011""","Other Health Impairment",8,"*"
"Bethany School District","=""0080011""","Speech Language Impairment",9,"*"
"Bethel School District","=""0090011""","All Disabilities",219,73.0
"Bethel School District","=""0090011""","Autism",11,42.3
"Bethel School District","=""0090011""","Emotional Disturbance","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*"
"Bethel School District","=""0090011""","Learning Disability",113,89.0
"Bethel School District","=""0090011""","Other Disabilities",10,27.0
"Bethel School District","=""0090011""","Other Health Impairment",30,81.1
"Bethel School District","=""0090011""","Speech Language Impairment",47,95.9
"Bloomfield School District","=""0110011""","All Disabilities",135,64.9
"Bloomfield School District","=""0110011""","Autism","*","*"
"Bloomfield School District","=""0110011""","Emotional Disturbance",15,46.9
"Bloomfield School District","=""0110011""","Intellectual Disability",15,"*"
"Bloomfield School District","=""0110011""","Learning Disability",51,79.7
"Bloomfield School District","=""0110011""","Other Disabilities","*","*"
"Bloomfield School District","=""0110011""","Other Health Impairment",15,68.2
"Bloomfield School District","=""0110011""","Speech Language Impairment",33,75.0
"Bolton School District","=""0120011""","All Disabilities",47,60.3
"Bolton School District","=""0120011""","Autism","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance","*","*"
"Bolton School District","=""0120011""","Intellectual Disability","*","*"
"Bolton School District","=""0120011""","Learning Disability",14,66.7
"Bolton School District","=""0120011""","Other Disabilities","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",13,61.9
"Bolton School District","=""0120011""","Speech Language Impairment",7,"*"
"Bozrah School District","=""0130011""","All Disabilities",22,52.4
"Bozrah School District","=""0130011""","Autism","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*"
"Bozrah School District","=""0130011""","Learning Disability",12,"*"
"Bozrah School District","=""0130011""","Other Disabilities",0,0
"Bozrah School District","=""0130011""","Other Health Impairment","*","*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*"
"Branford School District","=""0140011""","All Disabilities",321,71.8
"Branford School District","=""0140011""","Autism",17,47.2
"Branford School District","=""0140011""","Emotional Disturbance",28,56.0
"Branford School District","=""0140011""","Intellectual Disability",11,47.8
"Branford School District","=""0140011""","Learning Disability",98,78.4
"Branford School District","=""0140011""","Other Disabilities",7,"*"
"Branford School District","=""0140011""","Other Health Impairment",76,75.2
"Branford School District","=""0140011""","Speech Language Impairment",84,83.2
"Bridgeport School District","=""0150011""","All Disabilities",1191,47.7
"Bridgeport School District","=""0150011""","Autism",30,19.0
"Bridgeport School District","=""0150011""","Emotional Disturbance",77,32.0
"Bridgeport School District","=""0150011""","Intellectual Disability",36,29.0
"Bridgeport School District","=""0150011""","Learning Disability",526,54.6
"Bridgeport School District","=""0150011""","Other Disabilities",37,21.5
"Bridgeport School District","=""0150011""","Other Health Impairment",191,48.2
"Bridgeport School District","=""0150011""","Speech Language Impairment",294,66.4
"Bristol School District","=""0170011""","All Disabilities",636,56.8
"Bristol School District","=""0170011""","Autism",21,39.6
"Bristol School District","=""0170011""","Emotional Disturbance",21,20.2
"Bristol School District","=""0170011""","Intellectual Disability",13,65.0
"Bristol School District","=""0170011""","Learning Disability",252,67.2
"Bristol School District","=""0170011""","Other Disabilities",16,19.8
"Bristol School District","=""0170011""","Other Health Impairment",152,53.1
"Bristol School District","=""0170011""","Speech Language Impairment",161,80.1
"Brookfield School District","=""0180011""","All Disabilities",189,85.9
"Brookfield School District","=""0180011""","Autism",26,74.3
"Brookfield School District","=""0180011""","Emotional Disturbance",10,"*"
"Brookfield School District","=""0180011""","Intellectual Disability",0,0
"Brookfield School District","=""0180011""","Learning Disability",59,95.2
"Brookfield School District","=""0180011""","Other Disabilities",7,"*"
