"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts, Other Disabilities"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2010-11",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""","*","*"
"Ashford School District","=""0030011""",0,0
"Avon School District","=""0040011""","*","*"
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""",0,0
"Bethel School District","=""0090011""",10,27.0
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""",0,0
"Branford School District","=""0140011""",7,"*"
"Bridgeport School District","=""0150011""",37,21.5
"Bristol School District","=""0170011""",16,19.8
"Brookfield School District","=""0180011""",7,"*"
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""",0,"*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""","*","*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""","*","*"
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""","*","*"
"Columbia School District","=""0300011""",0,0
"Connecticut Technical High School System","=""9000016""","*","*"
"Cornwall School District","=""0310011""",0,"*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""",8,"*"
"Danbury School District","=""0340011""",22,44.9
"Darien School District","=""0350011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",25,35.2
"East Haven School District","=""0440011""","*","*"
"East Lyme School District","=""0450011""",8,"*"
"East Windsor School District","=""0470011""",6,"*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""","*","*"
"Enfield School District","=""0490011""",14,29.2
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",17,48.6
"Farmington School District","=""0520011""","*","*"
"Glastonbury School District","=""0540011""",18,38.3
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",11,52.4
"Griswold School District","=""0580011""",6,"*"
"Groton School District","=""0590011""",15,39.5
"Guilford School District","=""0600011""",6,"*"
"Hamden School District","=""0620011""",14,28.0
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",68,46.3
"Hebron School District","=""0670011""",0,0
"Killingly School District","=""0690011""","*","*"
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",17,53.1
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",14,21.9
"Mansfield School District","=""0780011""",7,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",22,24.4
"Middletown School District","=""0830011""",21,52.5
"Milford School District","=""0840011""",23,47.9
"Monroe School District","=""0850011""",6,"*"
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",6,26.1
"New Britain School District","=""0890011""",17,28.3
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",53,47.3
"New London School District","=""0950011""","*","*"
"New Milford School District","=""0960011""",13,37.1
"Newington School District","=""0940011""",14,43.8
"Newtown School District","=""0970011""",11,47.8
"North Branford School District","=""0990011""","*","*"
"North Haven School District","=""1010011""","*","*"
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",34,55.7
"Norwich School District","=""1040011""",11,15.3
"Old Saybrook School District","=""1060011""","*","*"
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",13,56.5
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",8,"*"
"Regional School District 11","=""2110012""",0,0
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""",9,28.1
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""","*","*"
"Regional School District 18","=""2180012""",6,"*"
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""","*","*"
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""","*","*"
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",11,55.0
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""",20,47.6
"Southington School District","=""1310011""",16,32.7
"Sprague School District","=""1330011""",0,0
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",84,52.5
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""","*","*"
"Stratford School District","=""1380011""",22,39.3
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""","*","*"
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""",14,21.5
"Trumbull School District","=""1440011""",16,50.0
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",11,47.8
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",16,41.0
"Waterbury School District","=""1510011""",51,41.5
"Waterford School District","=""1520011""",11,55.0
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""",60,54.1
"West Haven School District","=""1560011""",41,42.7
"Westbrook School District","=""1540011""",0,0
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""","*","*"
"Wethersfield School District","=""1590011""",17,44.7
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",7,33.3
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""","*","*"
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""",50,60.2
"Wolcott School District","=""1660011""","*","*"
"Woodbridge School District","=""1670011""",0,0
"Woodstock School District","=""1690011""","*","*"

