"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2012-13",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",36,100.0
"Ashford School District","=""0030011""",10,"*"
"Avon School District","=""0040011""",59,84.3
"Barkhamsted School District","=""0050011""",9,"*"
"Berlin School District","=""0070011""",55,73.3
"Bethany School District","=""0080011""",11,"*"
"Bethel School District","=""0090011""",36,100.0
"Bloomfield School District","=""0110011""",34,85.0
"Bolton School District","=""0120011""",6,"*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",61,76.3
"Bridgeport School District","=""0150011""",251,63.7
"Bristol School District","=""0170011""",121,76.6
"Brookfield School District","=""0180011""",37,97.4
"Brooklyn School District","=""0190011""",13,"*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",6,"*"
"Canton School District","=""0230011""",12,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",44,83.0
"Chester School District","=""0260011""",7,"*"
"Clinton School District","=""0270011""",28,77.8
"Colchester School District","=""0280011""",75,98.7
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",46,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",33,97.1
"Cromwell School District","=""0330011""",44,95.7
"Danbury School District","=""0340011""",122,83.0
"Darien School District","=""0350011""",95,84.1
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",42,72.4
"East Granby School District","=""0400011""",10,"*"
"East Haddam School District","=""0410011""",36,85.7
"East Hampton School District","=""0420011""",33,94.3
"East Hartford School District","=""0430011""",216,89.6
"East Haven School District","=""0440011""",74,81.3
"East Lyme School District","=""0450011""",24,80.0
"East Windsor School District","=""0470011""",18,"*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",11,"*"
"Ellington School District","=""0480011""",26,89.7
"Enfield School District","=""0490011""",142,95.3
"Essex School District","=""0500011""",14,"*"
"Fairfield School District","=""0510011""",164,89.6
"Farmington School District","=""0520011""",56,82.4
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",75,97.4
"Granby School District","=""0560011""",23,95.8
"Greenwich School District","=""0570011""",124,88.6
"Griswold School District","=""0580011""",27,90.0
"Groton School District","=""0590011""",98,95.1
"Guilford School District","=""0600011""",32,74.4
"Hamden School District","=""0620011""",111,84.7
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",415,94.5
"Hartland School District","=""0650011""",9,"*"
"Hebron School District","=""0670011""",26,96.3
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",55,96.5
"Lebanon School District","=""0710011""",17,85.0
"Ledyard School District","=""0720011""",36,94.7
"Lisbon School District","=""0730011""",15,"*"
"Litchfield School District","=""0740011""",22,84.6
"Madison School District","=""0760011""",20,90.9
"Manchester School District","=""0770011""",170,92.9
"Mansfield School District","=""0780011""",18,81.8
"Marlborough School District","=""0790011""",7,"*"
"Meriden School District","=""0800011""",121,91.0
"Middletown School District","=""0830011""",102,91.1
"Milford School District","=""0840011""",167,87.4
"Monroe School District","=""0850011""",44,78.6
"Montville School District","=""0860011""",44,91.7
"Naugatuck School District","=""0880011""",74,94.9
"New Britain School District","=""0890011""",161,94.7
"New Canaan School District","=""0900011""",92,84.4
"New Fairfield School District","=""0910011""",41,80.4
"New Hartford School District","=""0920011""",17,"*"
"New Haven School District","=""0930011""",198,89.6
"New London School District","=""0950011""",68,85.0
"New Milford School District","=""0960011""",48,67.6
"Newington School District","=""0940011""",68,95.8
"Newtown School District","=""0970011""",67,91.8
"Norfolk School District","=""0980011""",6,"*"
"North Branford School District","=""0990011""",58,87.9
"North Canaan School District","=""1000011""",8,"*"
"North Haven School District","=""1010011""",35,89.7
"North Stonington School District","=""1020011""",10,"*"
"Norwalk School District","=""1030011""",183,94.3
"Norwich School District","=""1040011""",95,81.9
"Old Saybrook School District","=""1060011""",32,97.0
"Orange School District","=""1070011""",22,66.7
"Oxford School District","=""1080011""",14,"*"
"Plainfield School District","=""1090011""",22,71.0
"Plainville School District","=""1100011""",33,94.3
"Plymouth School District","=""1110011""",26,100.0
"Pomfret School District","=""1120011""",8,"*"
"Portland School District","=""1130011""",12,"*"
"Preston School District","=""1140011""",17,73.9
"Putnam School District","=""1160011""",16,"*"
"Redding School District","=""1170011""",34,91.9
"Regional School District 04","=""2040012""",11,"*"
"Regional School District 05","=""2050012""",36,87.8
"Regional School District 06","=""2060012""",8,"*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""",9,"*"
"Regional School District 10","=""2100012""",28,93.3
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",8,"*"
"Regional School District 13","=""2130012""",48,88.9
"Regional School District 14","=""2140012""",31,93.9
"Regional School District 15","=""2150012""",74,90.2
"Regional School District 16","=""2160012""",40,93.0
"Regional School District 17","=""2170012""",24,85.7
"Regional School District 18","=""2180012""",30,93.8
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",59,98.3
"Rocky Hill School District","=""1190011""",31,86.1
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""",12,"*"
"Seymour School District","=""1240011""",25,100.0
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""",53,60.9
"Sherman School District","=""1270011""",12,"*"
"Simsbury School District","=""1280011""",56,83.6
"Somers School District","=""1290011""",29,87.9
"South Windsor School District","=""1320011""",60,92.3
"Southington School District","=""1310011""",100,82.6
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",13,"*"
"Stamford School District","=""1350011""",171,69.2
"Sterling School District","=""1360011""",10,"*"
"Stonington School District","=""1370011""",35,100.0
"Stratford School District","=""1380011""",45,93.8
"Suffield School District","=""1390011""",30,85.7
"Thomaston School District","=""1400011""",25,100.0
"Thompson School District","=""1410011""",31,88.6
"Tolland School District","=""1420011""",11,55.0
"Torrington School District","=""1430011""",54,71.1
"Trumbull School District","=""1440011""",44,83.0
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",69,90.8
"Voluntown School District","=""1470011""",9,"*"
"Wallingford School District","=""1480011""",111,97.4
"Waterbury School District","=""1510011""",464,82.3
"Waterford School District","=""1520011""",50,96.2
"Watertown School District","=""1530011""",36,90.0
"West Hartford School District","=""1550011""",126,78.8
"West Haven School District","=""1560011""",159,91.4
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",28,80.0
"Westport School District","=""1580011""",71,82.6
"Wethersfield School District","=""1590011""",97,96.0
"Willington School District","=""1600011""",14,"*"
"Wilton School District","=""1610011""",47,75.8
"Winchester School District","=""1620011""",28,77.8
"Windham School District","=""1630011""",57,79.2
"Windsor Locks School District","=""1650011""",7,"*"
"Windsor School District","=""1640011""",59,93.7
"Wolcott School District","=""1660011""",31,96.9
"Woodbridge School District","=""1670011""",13,"*"
"Woodstock School District","=""1690011""",11,"*"

