"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2010-11",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",56,86.2
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",46,59.7
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",48,76.2
"Bethany School District","=""0080011""",8,"*"
"Bethel School District","=""0090011""",30,81.1
"Bloomfield School District","=""0110011""",15,68.2
"Bolton School District","=""0120011""",13,61.9
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",76,75.2
"Bridgeport School District","=""0150011""",191,48.2
"Bristol School District","=""0170011""",152,53.1
"Brookfield School District","=""0180011""",47,94.0
"Brooklyn School District","=""0190011""",11,"*"
"Canterbury School District","=""0220011""",14,"*"
"Canton School District","=""0230011""",31,86.1
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",86,72.9
"Chester School District","=""0260011""",8,"*"
"Clinton School District","=""0270011""",25,55.6
"Colchester School District","=""0280011""",37,88.1
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",7,"*"
"Connecticut Technical High School System","=""9000016""",199,99.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",21,87.5
"Cromwell School District","=""0330011""",28,93.3
"Danbury School District","=""0340011""",130,77.8
"Darien School District","=""0350011""",101,78.9
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",17,58.6
"East Granby School District","=""0400011""",19,"*"
"East Haddam School District","=""0410011""",18,90.0
"East Hampton School District","=""0420011""",28,87.5
"East Hartford School District","=""0430011""",104,68.4
"East Haven School District","=""0440011""",59,62.1
"East Lyme School District","=""0450011""",71,83.5
"East Windsor School District","=""0470011""",23,82.1
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",13,"*"
"Ellington School District","=""0480011""",20,74.1
"Enfield School District","=""0490011""",76,90.5
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",190,87.6
"Farmington School District","=""0520011""",73,91.3
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",131,85.1
"Granby School District","=""0560011""",34,85.0
"Greenwich School District","=""0570011""",126,80.8
"Griswold School District","=""0580011""",34,69.4
"Groton School District","=""0590011""",70,86.4
"Guilford School District","=""0600011""",58,79.5
"Hamden School District","=""0620011""",128,70.7
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",258,80.9
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",11,"*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",48,70.6
"Lebanon School District","=""0710011""",11,42.3
"Ledyard School District","=""0720011""",56,86.2
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""",20,87.0
"Madison School District","=""0760011""",86,93.5
"Manchester School District","=""0770011""",111,72.5
"Mansfield School District","=""0780011""",19,79.2
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",153,71.2
"Middletown School District","=""0830011""",96,90.6
"Milford School District","=""0840011""",170,87.2
"Monroe School District","=""0850011""",64,87.7
"Montville School District","=""0860011""",39,79.6
"Naugatuck School District","=""0880011""",80,73.4
"New Britain School District","=""0890011""",179,56.8
"New Canaan School District","=""0900011""",64,77.1
"New Fairfield School District","=""0910011""",51,81.0
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",339,88.3
"New London School District","=""0950011""",85,62.5
"New Milford School District","=""0960011""",98,71.0
"Newington School District","=""0940011""",45,76.3
"Newtown School District","=""0970011""",63,91.3
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",47,100.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",60,89.6
"North Stonington School District","=""1020011""",19,95.0
"Norwalk School District","=""1030011""",131,73.2
"Norwich School District","=""1040011""",72,47.4
"Old Saybrook School District","=""1060011""",31,68.9
"Orange School District","=""1070011""",8,"*"
"Oxford School District","=""1080011""",18,90.0
"Plainfield School District","=""1090011""",43,75.4
"Plainville School District","=""1100011""",59,78.7
"Plymouth School District","=""1110011""",50,87.7
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""",19,90.5
"Preston School District","=""1140011""",14,70.0
"Putnam School District","=""1160011""",20,87.0
"Redding School District","=""1170011""",31,88.6
"Regional School District 01","=""2010012""",6,"*"
"Regional School District 04","=""2040012""",27,84.4
"Regional School District 05","=""2050012""",58,86.6
"Regional School District 06","=""2060012""",17,"*"
"Regional School District 07","=""2070012""",19,63.3
"Regional School District 08","=""2080012""",47,63.5
"Regional School District 09","=""2090012""",42,85.7
"Regional School District 10","=""2100012""",31,79.5
"Regional School District 11","=""2110012""",11,"*"
"Regional School District 12","=""2120012""",17,65.4
"Regional School District 13","=""2130012""",53,93.0
"Regional School District 14","=""2140012""",35,77.8
"Regional School District 15","=""2150012""",60,70.6
"Regional School District 16","=""2160012""",52,82.5
"Regional School District 17","=""2170012""",47,87.0
"Regional School District 18","=""2180012""",12,"*"
"Regional School District 19","=""2190012""",44,80.0
"Ridgefield School District","=""1180011""",54,88.5
"Rocky Hill School District","=""1190011""",30,93.8
"Salem School District","=""1210011""",11,"*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",24,92.3
"Sharon School District","=""1250011""",7,"*"
"Shelton School District","=""1260011""",69,68.3
"Sherman School District","=""1270011""",12,"*"
"Simsbury School District","=""1280011""",78,81.3
"Somers School District","=""1290011""",14,"*"
"South Windsor School District","=""1320011""",164,84.1
"Southington School District","=""1310011""",108,72.5
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",12,54.5
"Stamford School District","=""1350011""",145,66.5
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",33,82.5
"Stratford School District","=""1380011""",131,80.9
"Suffield School District","=""1390011""",33,94.3
"Thomaston School District","=""1400011""",31,88.6
"Thompson School District","=""1410011""",28,71.8
"Tolland School District","=""1420011""",45,80.4
"Torrington School District","=""1430011""",89,65.0
"Trumbull School District","=""1440011""",105,70.9
"Unified School District #1","=""3360015""",47,83.9
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",44,78.6
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",177,89.4
"Waterbury School District","=""1510011""",345,70.1
"Waterford School District","=""1520011""",75,87.2
"Watertown School District","=""1530011""",78,90.7
"West Hartford School District","=""1550011""",181,79.4
"West Haven School District","=""1560011""",80,78.4
"Westbrook School District","=""1540011""",7,"*"
"Weston School District","=""1570011""",29,58.0
"Westport School District","=""1580011""",75,89.3
"Wethersfield School District","=""1590011""",47,83.9
"Willington School District","=""1600011""",11,"*"
"Wilton School District","=""1610011""",70,79.5
"Winchester School District","=""1620011""",27,61.4
"Windham School District","=""1630011""",54,61.4
"Windsor Locks School District","=""1650011""",35,97.2
"Windsor School District","=""1640011""",46,82.1
"Wolcott School District","=""1660011""",46,83.6
"Woodbridge School District","=""1670011""",9,"*"
"Woodstock School District","=""1690011""","*","*"

