"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts, Autism"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2011-12",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",0,"*"
"Ansonia School District","=""0020011""",16,47.1
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",35,66.0
"Barkhamsted School District","=""0050011""",0,0
"Berlin School District","=""0070011""",18,46.2
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",11,39.3
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",19,45.2
"Bridgeport School District","=""0150011""",36,19.4
"Bristol School District","=""0170011""",21,32.3
"Brookfield School District","=""0180011""",20,62.5
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""",6,"*"
"Canton School District","=""0230011""",12,48.0
"Cheshire School District","=""0250011""",25,41.7
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",12,52.2
"Colchester School District","=""0280011""",24,77.4
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",38,100.0
"Cornwall School District","=""0310011""",0,"*"
"Coventry School District","=""0320011""",7,"*"
"Cromwell School District","=""0330011""",11,55.0
"Danbury School District","=""0340011""",46,46.0
"Darien School District","=""0350011""",29,54.7
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""",15,75.0
"East Hampton School District","=""0420011""",14,56.0
"East Hartford School District","=""0430011""",32,37.6
"East Haven School District","=""0440011""",22,45.8
"East Lyme School District","=""0450011""",18,40.0
"East Windsor School District","=""0470011""",9,"*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",11,55.0
"Enfield School District","=""0490011""",40,60.6
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",85,60.7
"Farmington School District","=""0520011""",50,65.8
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",49,64.5
"Granby School District","=""0560011""",13,"*"
"Greenwich School District","=""0570011""",53,65.4
"Griswold School District","=""0580011""",12,"*"
"Groton School District","=""0590011""",47,56.6
"Guilford School District","=""0600011""",25,48.1
"Hamden School District","=""0620011""",35,36.8
"Hartford School District","=""0640011""",122,59.8
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",6,"*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",25,62.5
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",31,64.6
"Lisbon School District","=""0730011""",9,"*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",30,66.7
"Manchester School District","=""0770011""",33,42.3
"Mansfield School District","=""0780011""",8,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",46,47.4
"Middletown School District","=""0830011""",21,39.6
"Milford School District","=""0840011""",35,42.2
"Monroe School District","=""0850011""",25,78.1
"Montville School District","=""0860011""",18,58.1
"Naugatuck School District","=""0880011""",18,39.1
"New Britain School District","=""0890011""",75,57.3
"New Canaan School District","=""0900011""",16,43.2
"New Fairfield School District","=""0910011""",12,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",78,44.8
"New London School District","=""0950011""",26,48.1
"New Milford School District","=""0960011""",37,50.0
"Newington School District","=""0940011""",34,66.7
"Newtown School District","=""0970011""",52,70.3
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",15,68.2
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",20,45.5
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",50,49.0
"Norwich School District","=""1040011""",23,40.4
"Old Saybrook School District","=""1060011""",18,64.3
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""",10,"*"
"Plainfield School District","=""1090011""",20,51.3
"Plainville School District","=""1100011""",12,52.2
"Plymouth School District","=""1110011""",7,33.3
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""",8,"*"
"Preston School District","=""1140011""",8,"*"
"Putnam School District","=""1160011""",9,40.9
"Redding School District","=""1170011""",7,"*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",15,"*"
"Regional School District 05","=""2050012""",25,62.5
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""",6,"*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",24,72.7
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""",15,48.4
"Regional School District 14","=""2140012""",8,25.0
"Regional School District 15","=""2150012""",29,53.7
"Regional School District 16","=""2160012""",20,50.0
"Regional School District 17","=""2170012""",22,64.7
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",41,61.2
"Rocky Hill School District","=""1190011""",15,55.6
"Salem School District","=""1210011""",7,"*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",20,69.0
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""",22,39.3
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",61,66.3
"Somers School District","=""1290011""",9,"*"
"South Windsor School District","=""1320011""",39,65.0
"Southington School District","=""1310011""",39,52.7
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",17,70.8
"Stamford School District","=""1350011""",42,39.3
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",28,71.8
"Stratford School District","=""1380011""",49,53.3
"Suffield School District","=""1390011""",25,69.4
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",21,46.7
"Torrington School District","=""1430011""",25,47.2
"Trumbull School District","=""1440011""",39,48.1
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",15,42.9
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",50,59.5
"Waterbury School District","=""1510011""",86,49.7
"Waterford School District","=""1520011""",19,70.4
"Watertown School District","=""1530011""",14,46.7
"West Hartford School District","=""1550011""",85,61.6
"West Haven School District","=""1560011""",16,23.2
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",9,26.5
"Westport School District","=""1580011""",25,47.2
"Wethersfield School District","=""1590011""",38,66.7
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",26,50.0
"Winchester School District","=""1620011""",16,41.0
"Windham School District","=""1630011""",16,43.2
"Windsor Locks School District","=""1650011""",8,38.1
"Windsor School District","=""1640011""",30,62.5
"Wolcott School District","=""1660011""",12,54.5
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

