"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts, Autism"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2013-14",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",9,27.3
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",30,56.6
"Berlin School District","=""0070011""",17,48.6
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",18,43.9
"Bridgeport School District","=""0150011""",44,20.3
"Bristol School District","=""0170011""",35,42.2
"Brookfield School District","=""0180011""",26,60.5
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""",9,"*"
"Canton School District","=""0230011""",9,40.9
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",34,57.6
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",13,50.0
"Colchester School District","=""0280011""",24,77.4
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",45,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",13,"*"
"Cromwell School District","=""0330011""",18,60.0
"Danbury School District","=""0340011""",57,41.6
"Darien School District","=""0350011""",21,47.7
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""",8,"*"
"East Haddam School District","=""0410011""",15,60.0
"East Hampton School District","=""0420011""",23,69.7
"East Hartford School District","=""0430011""",34,35.8
"East Haven School District","=""0440011""",25,46.3
"East Lyme School District","=""0450011""",25,53.2
"East Windsor School District","=""0470011""",9,"*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",11,52.4
"Enfield School District","=""0490011""",54,70.1
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",81,59.6
"Farmington School District","=""0520011""",40,52.6
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",47,60.3
"Granby School District","=""0560011""",16,"*"
"Greenwich School District","=""0570011""",46,53.5
"Griswold School District","=""0580011""",13,52.0
"Groton School District","=""0590011""",49,46.7
"Guilford School District","=""0600011""",28,46.7
"Hamden School District","=""0620011""",49,43.0
"Hampton School District","=""0630011""",0,"*"
"Hartford School District","=""0640011""",162,56.4
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",23,45.1
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",25,54.3
"Lisbon School District","=""0730011""",6,"*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",31,66.0
"Manchester School District","=""0770011""",46,48.9
"Mansfield School District","=""0780011""",9,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",54,43.2
"Middletown School District","=""0830011""",31,48.4
"Milford School District","=""0840011""",38,43.7
"Monroe School District","=""0850011""",27,84.4
"Montville School District","=""0860011""",17,54.8
"Naugatuck School District","=""0880011""",23,36.5
"New Britain School District","=""0890011""",73,53.7
"New Canaan School District","=""0900011""",23,50.0
"New Fairfield School District","=""0910011""",10,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",91,41.7
"New London School District","=""0950011""",23,38.3
"New Milford School District","=""0960011""",43,57.3
"Newington School District","=""0940011""",41,66.1
"Newtown School District","=""0970011""",50,63.3
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",17,70.8
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",24,45.3
"North Stonington School District","=""1020011""",7,"*"
"Norwalk School District","=""1030011""",61,49.6
"Norwich School District","=""1040011""",17,24.3
"Old Saybrook School District","=""1060011""",21,72.4
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""",13,44.8
"Plainfield School District","=""1090011""",16,50.0
"Plainville School District","=""1100011""",19,63.3
"Plymouth School District","=""1110011""",10,37.0
"Pomfret School District","=""1120011""",7,"*"
"Portland School District","=""1130011""",6,"*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""",16,57.1
"Redding School District","=""1170011""",10,"*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",17,68.0
"Regional School District 05","=""2050012""",20,50.0
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",12,"*"
"Regional School District 08","=""2080012""",8,"*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",22,61.1
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",8,"*"
"Regional School District 13","=""2130012""",22,57.9
"Regional School District 14","=""2140012""",13,41.9
"Regional School District 15","=""2150012""",39,54.9
"Regional School District 16","=""2160012""",28,62.2
"Regional School District 17","=""2170012""",23,69.7
"Regional School District 18","=""2180012""",7,"*"
"Regional School District 19","=""2190012""",8,"*"
"Ridgefield School District","=""1180011""",35,53.0
"Rocky Hill School District","=""1190011""",19,57.6
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Seymour School District","=""1240011""",22,66.7
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",21,35.0
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",59,61.5
"Somers School District","=""1290011""",8,"*"
"South Windsor School District","=""1320011""",53,67.9
"Southington School District","=""1310011""",45,50.6
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",17,70.8
"Stamford School District","=""1350011""",40,34.2
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",29,67.4
"Stratford School District","=""1380011""",61,52.1
"Suffield School District","=""1390011""",32,74.4
"Thomaston School District","=""1400011""",6,"*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",30,62.5
"Torrington School District","=""1430011""",31,43.7
"Trumbull School District","=""1440011""",41,47.1
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",24,49.0
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",51,60.0
"Waterbury School District","=""1510011""",80,40.8
"Waterford School District","=""1520011""",27,69.2
"Watertown School District","=""1530011""",21,55.3
"West Hartford School District","=""1550011""",107,62.2
"West Haven School District","=""1560011""",26,35.6
"Westbrook School District","=""1540011""",7,"*"
"Weston School District","=""1570011""",8,27.6
"Westport School District","=""1580011""",26,52.0
"Wethersfield School District","=""1590011""",39,62.9
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",27,54.0
"Winchester School District","=""1620011""",17,53.1
"Windham School District","=""1630011""",22,55.0
"Windsor Locks School District","=""1650011""",10,47.6
"Windsor School District","=""1640011""",33,68.8
"Wolcott School District","=""1660011""",11,52.4
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

