"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2011-12",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""",64,88.9
"Ashford School District","=""0030011""",9,"*"
"Avon School District","=""0040011""",48,63.2
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",33,63.5
"Bethany School District","=""0080011""",8,"*"
"Bethel School District","=""0090011""",37,84.1
"Bloomfield School District","=""0110011""",15,62.5
"Bolton School District","=""0120011""",12,52.2
"Bozrah School District","=""0130011""",7,"*"
"Branford School District","=""0140011""",76,77.6
"Bridgeport School District","=""0150011""",185,46.1
"Bristol School District","=""0170011""",159,54.5
"Brookfield School District","=""0180011""",45,84.9
"Brooklyn School District","=""0190011""",13,65.0
"Canterbury School District","=""0220011""",14,"*"
"Canton School District","=""0230011""",36,90.0
"Cheshire School District","=""0250011""",84,74.3
"Chester School District","=""0260011""",7,"*"
"Clinton School District","=""0270011""",22,59.5
"Colchester School District","=""0280011""",29,78.4
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",9,"*"
"Connecticut Technical High School System","=""9000016""",202,99.5
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",13,"*"
"Cromwell School District","=""0330011""",25,83.3
"Danbury School District","=""0340011""",137,81.1
"Darien School District","=""0350011""",123,80.9
"Deep River School District","=""0360011""",6,"*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",13,61.9
"East Granby School District","=""0400011""",19,95.0
"East Haddam School District","=""0410011""",21,87.5
"East Hampton School District","=""0420011""",21,80.8
"East Hartford School District","=""0430011""",137,72.5
"East Haven School District","=""0440011""",51,58.6
"East Lyme School District","=""0450011""",63,76.8
"East Windsor School District","=""0470011""",25,86.2
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",14,"*"
"Ellington School District","=""0480011""",18,81.8
"Enfield School District","=""0490011""",68,88.3
"Essex School District","=""0500011""",6,"*"
"Fairfield School District","=""0510011""",205,87.2
"Farmington School District","=""0520011""",70,86.4
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",132,88.0
"Granby School District","=""0560011""",37,90.2
"Greenwich School District","=""0570011""",116,76.3
"Griswold School District","=""0580011""",39,76.5
"Groton School District","=""0590011""",84,82.4
"Guilford School District","=""0600011""",61,88.4
"Hamden School District","=""0620011""",114,71.7
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",300,79.4
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",8,"*"
"Kent School District","=""0680011""",0,0
"Killingly School District","=""0690011""",56,75.7
"Lebanon School District","=""0710011""",12,54.5
"Ledyard School District","=""0720011""",46,79.3
"Lisbon School District","=""0730011""",13,"*"
"Litchfield School District","=""0740011""",22,88.0
"Madison School District","=""0760011""",85,93.4
"Manchester School District","=""0770011""",103,69.1
"Mansfield School District","=""0780011""",21,75.0
"Marlborough School District","=""0790011""",7,"*"
"Meriden School District","=""0800011""",158,65.8
"Middletown School District","=""0830011""",100,89.3
"Milford School District","=""0840011""",171,82.2
"Monroe School District","=""0850011""",62,83.8
"Montville School District","=""0860011""",38,69.1
"Naugatuck School District","=""0880011""",90,73.8
"New Britain School District","=""0890011""",207,64.3
"New Canaan School District","=""0900011""",70,81.4
