"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts, Emotional Disturbance"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2012-13",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""",6,30.0
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""",7,"*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",14,53.8
"Bolton School District","=""0120011""",6,"*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",31,53.4
"Bridgeport School District","=""0150011""",77,30.4
"Bristol School District","=""0170011""",28,22.4
"Brookfield School District","=""0180011""","*","*"
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""","*","*"
"Cheshire School District","=""0250011""",16,39.0
"Chester School District","=""0260011""",0,0
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""",28,68.3
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",36,100.0
"Coventry School District","=""0320011""",17,60.7
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",21,35.0
"Darien School District","=""0350011""","*","*"
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",7,"*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""",6,"*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",53,47.3
"East Haven School District","=""0440011""",14,48.3
"East Lyme School District","=""0450011""",8,"*"
"East Windsor School District","=""0470011""",16,53.3
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",19,67.9
"Enfield School District","=""0490011""",36,44.4
"Fairfield School District","=""0510011""",27,60.0
"Farmington School District","=""0520011""",20,71.4
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",23,37.7
"Granby School District","=""0560011""",8,"*"
"Greenwich School District","=""0570011""",13,26.0
"Griswold School District","=""0580011""",8,25.0
"Groton School District","=""0590011""",28,48.3
"Guilford School District","=""0600011""",19,48.7
"Hamden School District","=""0620011""",35,55.6
"Hartford School District","=""0640011""",139,41.2
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Killingly School District","=""0690011""",10,25.6
"Lebanon School District","=""0710011""",0,0
"Ledyard School District","=""0720011""",18,58.1
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",8,"*"
"Manchester School District","=""0770011""",31,32.3
"Mansfield School District","=""0780011""","*","*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",45,28.8
"Middletown School District","=""0830011""",32,47.1
"Milford School District","=""0840011""",38,45.2
"Monroe School District","=""0850011""",15,68.2
"Montville School District","=""0860011""",9,32.1
"Naugatuck School District","=""0880011""","*","*"
"New Britain School District","=""0890011""",29,22.3
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""",8,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",117,53.9
"New London School District","=""0950011""",38,43.2
"New Milford School District","=""0960011""",27,42.2
"Newington School District","=""0940011""",16,50.0
"Newtown School District","=""0970011""",15,"*"
"North Branford School District","=""0990011""",11,"*"
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",22,51.2
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",18,42.9
"Norwich School District","=""1040011""",34,27.6
"Old Saybrook School District","=""1060011""",6,"*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",16,38.1
"Plainville School District","=""1100011""",16,57.1
"Plymouth School District","=""1110011""",13,44.8
"Pomfret School District","=""1120011""",0,0
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""",0,0
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""",7,"*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",6,"*"
"Regional School District 08","=""2080012""",9,40.9
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",7,"*"
"Regional School District 11","=""2110012""",7,"*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""",10,"*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""",9,"*"
"Regional School District 16","=""2160012""",7,"*"
"Regional School District 17","=""2170012""",21,75.0
"Regional School District 18","=""2180012""",6,"*"
"Regional School District 19","=""2190012""",15,71.4
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",0,0
"Seymour School District","=""1240011""",9,"*"
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",12,36.4
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",12,57.1
"Somers School District","=""1290011""",6,"*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",33,51.6
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",12,50.0
"Stamford School District","=""1350011""",13,34.2
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",16,64.0
"Stratford School District","=""1380011""",14,33.3
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",12,60.0
"Torrington School District","=""1430011""","*","*"
"Trumbull School District","=""1440011""",21,55.3
"Unified School District #1","=""3360015""",65,65.7
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",25,45.5
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",18,37.5
"Waterbury School District","=""1510011""",65,27.5
"Waterford School District","=""1520011""",13,43.3
"Watertown School District","=""1530011""",14,66.7
"West Hartford School District","=""1550011""",23,40.4
"West Haven School District","=""1560011""",19,33.3
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",0,0
"Westport School District","=""1580011""",26,81.3
"Wethersfield School District","=""1590011""",8,27.6
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""","*","*"
"Winchester School District","=""1620011""",14,50.0
"Windham School District","=""1630011""",36,42.9
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""",19,46.3
"Wolcott School District","=""1660011""","*","*"
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""",0,0

