"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2015-16",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",84,79.2
"Ashford School District","=""0030011""",9,"*"
"Avon School District","=""0040011""",38,71.7
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",35,66.0
"Bethany School District","=""0080011""",7,"*"
"Bethel School District","=""0090011""",46,79.3
"Bloomfield School District","=""0110011""",40,80.0
"Bolton School District","=""0120011""",20,80.0
"Bozrah School District","=""0130011""",7,"*"
"Branford School District","=""0140011""",82,75.2
"Bridgeport School District","=""0150011""",319,53.8
"Bristol School District","=""0170011""",185,57.5
"Brookfield School District","=""0180011""",71,94.7
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",8,"*"
"Canton School District","=""0230011""",33,91.7
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",104,80.6
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",45,90.0
"Colchester School District","=""0280011""",46,82.1
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",25,83.3
"Connecticut Technical High School System","=""9000016""",268,98.9
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",32,91.4
"Cromwell School District","=""0330011""",25,80.6
"Danbury School District","=""0340011""",145,71.8
"Darien School District","=""0350011""",154,86.5
"Deep River School District","=""0360011""",14,"*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",35,77.8
"East Granby School District","=""0400011""",13,"*"
"East Haddam School District","=""0410011""",20,83.3
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",188,74.0
"East Haven School District","=""0440011""",55,74.3
"East Lyme School District","=""0450011""",59,79.7
"East Windsor School District","=""0470011""",17,63.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",14,"*"
"Ellington School District","=""0480011""",38,77.6
"Enfield School District","=""0490011""",86,80.4
"Essex School District","=""0500011""",7,"*"
"Fairfield School District","=""0510011""",213,83.2
"Farmington School District","=""0520011""",90,86.5
"Franklin School District","=""0530011""",8,"*"
"Glastonbury School District","=""0540011""",131,86.8
"Granby School District","=""0560011""",57,85.1
"Greenwich School District","=""0570011""",117,75.0
"Griswold School District","=""0580011""",33,55.9
"Groton School District","=""0590011""",84,74.3
"Guilford School District","=""0600011""",71,80.7
"Hamden School District","=""0620011""",141,69.5
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",542,79.4
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",13,"*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",55,60.4
"Lebanon School District","=""0710011""",20,71.4
"Ledyard School District","=""0720011""",75,77.3
"Lisbon School District","=""0730011""",11,"*"
"Litchfield School District","=""0740011""",21,84.0
"Madison School District","=""0760011""",95,92.2
"Manchester School District","=""0770011""",111,64.9
"Mansfield School District","=""0780011""",18,85.7
"Marlborough School District","=""0790011""",6,"*"
"Meriden School District","=""0800011""",234,74.5
"Middletown School District","=""0830011""",106,86.2
"Milford School District","=""0840011""",157,76.2
"Monroe School District","=""0850011""",69,75.8
"Montville School District","=""0860011""",46,68.7
"Naugatuck School District","=""0880011""",110,70.5
"New Britain School District","=""0890011""",274,68.2
"New Canaan School District","=""0900011""",62,74.7
"New Fairfield School District","=""0910011""",57,96.6
"New Hartford School District","=""0920011""",8,"*"
"New Haven School District","=""0930011""",423,76.4
"New London School District","=""0950011""",72,51.4
"New Milford School District","=""0960011""",101,74.3
"Newington School District","=""0940011""",54,73.0
"Newtown School District","=""0970011""",85,85.0
"Norfolk School District","=""0980011""",0,"*"
"North Branford School District","=""0990011""",55,94.8
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",41,68.3
"North Stonington School District","=""1020011""",16,"*"
"Norwalk School District","=""1030011""",184,71.3
"Norwich School District","=""1040011""",116,65.5
"Old Saybrook School District","=""1060011""",41,91.1
"Orange School District","=""1070011""",8,"*"
"Oxford School District","=""1080011""",47,74.6
"Plainfield School District","=""1090011""",48,77.4
"Plainville School District","=""1100011""",65,85.5
"Plymouth School District","=""1110011""",53,81.5
"Pomfret School District","=""1120011""",9,"*"
"Portland School District","=""1130011""",16,76.2
"Preston School District","=""1140011""",15,68.2
"Putnam School District","=""1160011""",18,78.3
"Redding School District","=""1170011""",28,93.3
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",26,76.5
"Regional School District 05","=""2050012""",51,85.0
"Regional School District 06","=""2060012""",12,60.0
"Regional School District 07","=""2070012""",16,80.0
"Regional School District 08","=""2080012""",45,73.8
"Regional School District 09","=""2090012""",28,71.8
"Regional School District 10","=""2100012""",41,89.1
"Regional School District 11","=""2110012""",15,"*"
"Regional School District 12","=""2120012""",20,74.1
"Regional School District 13","=""2130012""",42,85.7
"Regional School District 14","=""2140012""",27,84.4
"Regional School District 15","=""2150012""",69,74.2
"Regional School District 16","=""2160012""",47,72.3
"Regional School District 17","=""2170012""",63,79.7
"Regional School District 18","=""2180012""",21,84.0
"Regional School District 19","=""2190012""",29,67.4
"Ridgefield School District","=""1180011""",63,86.3
"Rocky Hill School District","=""1190011""",45,80.4
"Salem School District","=""1210011""",18,85.7
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",27,87.1
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",55,52.4
"Sherman School District","=""1270011""",10,"*"
"Simsbury School District","=""1280011""",118,83.1
"Somers School District","=""1290011""",36,90.0
"South Windsor School District","=""1320011""",120,88.2
"Southington School District","=""1310011""",128,62.1
"Sprague School District","=""1330011""",10,"*"
"Stafford School District","=""1340011""",18,43.9
"Stamford School District","=""1350011""",218,61.6
"Sterling School District","=""1360011""",16,"*"
"Stonington School District","=""1370011""",59,84.3
"Stratford School District","=""1380011""",171,81.8
"Suffield School District","=""1390011""",45,80.4
"Thomaston School District","=""1400011""",18,85.7
"Thompson School District","=""1410011""",10,"*"
"Tolland School District","=""1420011""",55,84.6
"Torrington School District","=""1430011""",95,53.7
"Trumbull School District","=""1440011""",138,83.1
"Unified School District #1","=""3360015""",38,97.4
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",42,64.6
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",135,80.4
"Waterbury School District","=""1510011""",451,64.5
"Waterford School District","=""1520011""",98,86.0
"Watertown School District","=""1530011""",92,86.8
"West Hartford School District","=""1550011""",217,83.8
"West Haven School District","=""1560011""",89,69.0
"Westbrook School District","=""1540011""",11,"*"
"Weston School District","=""1570011""",28,66.7
"Westport School District","=""1580011""",106,91.4
"Wethersfield School District","=""1590011""",78,79.6
"Willington School District","=""1600011""",15,"*"
"Wilton School District","=""1610011""",107,84.9
"Winchester School District","=""1620011""",36,73.5
"Windham School District","=""1630011""",65,73.9
"Windsor Locks School District","=""1650011""",36,78.3
"Windsor School District","=""1640011""",84,82.4
"Wolcott School District","=""1660011""",43,82.7
"Woodbridge School District","=""1670011""",12,"*"
"Woodstock School District","=""1690011""","*","*"

