"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2015-16",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",47,92.2
"Ashford School District","=""0030011""",6,"*"
"Avon School District","=""0040011""",35,79.5
"Barkhamsted School District","=""0050011""",8,"*"
"Berlin School District","=""0070011""",56,83.6
"Bethany School District","=""0080011""",13,"*"
"Bethel School District","=""0090011""",30,93.8
"Bloomfield School District","=""0110011""",35,79.5
"Bolton School District","=""0120011""",12,"*"
"Branford School District","=""0140011""",45,70.3
"Bridgeport School District","=""0150011""",232,67.8
"Bristol School District","=""0170011""",79,80.6
"Brookfield School District","=""0180011""",30,90.9
"Brooklyn School District","=""0190011""",12,"*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",11,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",40,87.0
"Chester School District","=""0260011""",6,"*"
"Clinton School District","=""0270011""",25,96.2
"Colchester School District","=""0280011""",85,97.7
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",49,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",13,"*"
"Cromwell School District","=""0330011""",42,89.4
"Danbury School District","=""0340011""",101,72.7
"Darien School District","=""0350011""",81,81.8
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",35,83.3
"East Granby School District","=""0400011""",18,"*"
"East Haddam School District","=""0410011""",39,92.9
"East Hampton School District","=""0420011""",26,89.7
"East Hartford School District","=""0430011""",145,96.0
"East Haven School District","=""0440011""",53,81.5
"East Lyme School District","=""0450011""",29,87.9
"East Windsor School District","=""0470011""",15,"*"
"Eastford School District","=""0390011""",8,"*"
"Easton School District","=""0460011""",17,"*"
"Ellington School District","=""0480011""",19,90.5
"Enfield School District","=""0490011""",106,93.0
"Essex School District","=""0500011""",15,"*"
"Fairfield School District","=""0510011""",155,85.6
"Farmington School District","=""0520011""",46,67.6
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",79,90.8
"Granby School District","=""0560011""",19,86.4
"Greenwich School District","=""0570011""",99,81.8
"Griswold School District","=""0580011""",18,69.2
"Groton School District","=""0590011""",94,91.3
"Guilford School District","=""0600011""",33,78.6
"Hamden School District","=""0620011""",121,77.6
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",462,96.7
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",18,"*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",39,92.9
"Lebanon School District","=""0710011""",8,"*"
"Ledyard School District","=""0720011""",22,91.7
"Lisbon School District","=""0730011""",11,"*"
"Litchfield School District","=""0740011""",15,"*"
"Madison School District","=""0760011""",22,91.7
"Manchester School District","=""0770011""",118,88.7
"Mansfield School District","=""0780011""",16,"*"
"Marlborough School District","=""0790011""",6,"*"
"Meriden School District","=""0800011""",104,97.2
"Middletown School District","=""0830011""",87,93.5
"Milford School District","=""0840011""",125,90.6
"Monroe School District","=""0850011""",39,100.0
"Montville School District","=""0860011""",48,92.3
"Naugatuck School District","=""0880011""",52,85.2
"New Britain School District","=""0890011""",159,91.4
"New Canaan School District","=""0900011""",81,87.1
"New Fairfield School District","=""0910011""",31,93.9
"New Hartford School District","=""0920011""",8,"*"
"New Haven School District","=""0930011""",184,91.5
"New London School District","=""0950011""",57,81.4
"New Milford School District","=""0960011""",28,63.6
"Newington School District","=""0940011""",41,93.2
"Newtown School District","=""0970011""",52,91.2
"Norfolk School District","=""0980011""",6,"*"
"North Branford School District","=""0990011""",39,90.7
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",28,87.5
"North Stonington School District","=""1020011""",10,"*"
"Norwalk School District","=""1030011""",195,92.4
"Norwich School District","=""1040011""",91,85.0
"Old Saybrook School District","=""1060011""",23,88.5
"Orange School District","=""1070011""",21,77.8
"Oxford School District","=""1080011""",31,70.5
"Plainfield School District","=""1090011""",24,100.0
"Plainville School District","=""1100011""",35,92.1
"Plymouth School District","=""1110011""",30,100.0
"Pomfret School District","=""1120011""",7,"*"
"Portland School District","=""1130011""",16,"*"
"Preston School District","=""1140011""",25,80.6
"Putnam School District","=""1160011""",20,95.2
"Redding School District","=""1170011""",36,92.3
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",7,"*"
"Regional School District 05","=""2050012""",25,65.8
"Regional School District 06","=""2060012""",11,"*"
"Regional School District 07","=""2070012""",6,"*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""",8,"*"
"Regional School District 10","=""2100012""",19,90.5
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",10,"*"
"Regional School District 13","=""2130012""",38,92.7
"Regional School District 14","=""2140012""",11,"*"
"Regional School District 15","=""2150012""",51,77.3
"Regional School District 16","=""2160012""",58,95.1
"Regional School District 17","=""2170012""",31,100.0
"Regional School District 18","=""2180012""",25,100.0
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",47,94.0
"Rocky Hill School District","=""1190011""",24,96.0
"Salem School District","=""1210011""",7,"*"
"Salisbury School District","=""1220011""",7,"*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",25,100.0
"Shelton School District","=""1260011""",35,52.2
"Sherman School District","=""1270011""",6,"*"
"Simsbury School District","=""1280011""",38,86.4
"Somers School District","=""1290011""",21,91.3
"South Windsor School District","=""1320011""",45,84.9
"Southington School District","=""1310011""",74,64.3
"Sprague School District","=""1330011""",7,"*"
"Stafford School District","=""1340011""",13,"*"
"Stamford School District","=""1350011""",155,65.1
"Sterling School District","=""1360011""",6,"*"
"Stonington School District","=""1370011""",32,94.1
"Stratford School District","=""1380011""",57,91.9
"Suffield School District","=""1390011""",22,95.7
"Thomaston School District","=""1400011""",16,"*"
"Thompson School District","=""1410011""",24,92.3
"Tolland School District","=""1420011""",12,"*"
"Torrington School District","=""1430011""",68,86.1
"Trumbull School District","=""1440011""",48,96.0
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",74,88.1
"Voluntown School District","=""1470011""",8,"*"
"Wallingford School District","=""1480011""",90,93.8
"Waterbury School District","=""1510011""",435,81.9
"Waterford School District","=""1520011""",33,97.1
"Watertown School District","=""1530011""",30,90.9
"West Hartford School District","=""1550011""",146,89.6
"West Haven School District","=""1560011""",149,90.3
"Westbrook School District","=""1540011""",6,"*"
"Weston School District","=""1570011""",23,79.3
"Westport School District","=""1580011""",55,73.3
"Wethersfield School District","=""1590011""",94,97.9
"Willington School District","=""1600011""",11,"*"
"Wilton School District","=""1610011""",46,88.5
"Winchester School District","=""1620011""",23,69.7
"Windham School District","=""1630011""",66,83.5
"Windsor Locks School District","=""1650011""",9,"*"
"Windsor School District","=""1640011""",38,95.0
"Wolcott School District","=""1660011""",21,100.0
"Woodbridge School District","=""1670011""",11,"*"
"Woodstock School District","=""1690011""",10,"*"

