"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts, Emotional Disturbance"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2015-16",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""",13,43.3
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",6,"*"
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",9,37.5
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",7,33.3
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""",0,0
"Branford School District","=""0140011""",22,55.0
"Bridgeport School District","=""0150011""",85,31.0
"Bristol School District","=""0170011""",38,28.4
"Brookfield School District","=""0180011""",12,"*"
"Brooklyn School District","=""0190011""",6,"*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",8,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",25,67.6
"Clinton School District","=""0270011""",10,"*"
"Colchester School District","=""0280011""",20,50.0
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",42,93.3
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",16,76.2
"Cromwell School District","=""0330011""",9,"*"
"Danbury School District","=""0340011""",18,37.5
"Darien School District","=""0350011""",8,"*"
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""",6,"*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",53,46.5
"East Haven School District","=""0440011""",17,51.5
"East Lyme School District","=""0450011""",6,"*"
"East Windsor School District","=""0470011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",15,60.0
"Enfield School District","=""0490011""",31,41.3
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",25,45.5
"Farmington School District","=""0520011""",17,41.5
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",15,38.5
"Granby School District","=""0560011""",9,"*"
"Greenwich School District","=""0570011""",21,36.8
"Griswold School District","=""0580011""",12,40.0
"Groton School District","=""0590011""",36,47.4
"Guilford School District","=""0600011""",18,51.4
"Hamden School District","=""0620011""",29,31.2
"Hartford School District","=""0640011""",103,29.6
"Hartland School District","=""0650011""",0,0
"Hebron School District","=""0670011""","*","*"
"Killingly School District","=""0690011""",12,23.1
"Lebanon School District","=""0710011""","*","*"
