"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Other Disabilities"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""",11,29.7
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Barkhamsted School District","=""0050011""",0,0
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",14,35.9
"Bloomfield School District","=""0110011""",8,30.8
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",11,52.4
"Bridgeport School District","=""0150011""",86,47.8
"Bristol School District","=""0170011""","*","*"
"Brookfield School District","=""0180011""","*","*"
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""","*","*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",9,31.0
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",10,"*"
"Cornwall School District","=""0310011""",0,"*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",10,18.2
"Darien School District","=""0350011""",11,40.7
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""",0,0
"East Hartford School District","=""0430011""",17,25.8
"East Haven School District","=""0440011""","*","*"
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",8,34.8
"Enfield School District","=""0490011""",15,33.3
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",16,43.2
"Farmington School District","=""0520011""","*","*"
"Glastonbury School District","=""0540011""","*","*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",13,50.0
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",13,37.1
"Guilford School District","=""0600011""",8,"*"
"Hamden School District","=""0620011""","*","*"
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",77,45.3
"Hartland School District","=""0650011""",0,0
