"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts, Intellectual Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2012-13",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",16,69.6
"Ashford School District","=""0030011""",0,0
"Avon School District","=""0040011""",0,0
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""",0,0
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",7,"*"
"Bolton School District","=""0120011""","*","*"
"Branford School District","=""0140011""","*","*"
"Bridgeport School District","=""0150011""",25,19.7
"Bristol School District","=""0170011""",7,"*"
"Brookfield School District","=""0180011""",0,0
"Brooklyn School District","=""0190011""",0,0
"Canton School District","=""0230011""","*","*"
"Cheshire School District","=""0250011""",6,25.0
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",0,0
"Colchester School District","=""0280011""",11,"*"
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",0,0
"Connecticut Technical High School System","=""9000016""","*","*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",17,35.4
"Darien School District","=""0350011""","*","*"
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",24,64.9
"East Haven School District","=""0440011""","*","*"
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Eastford School District","=""0390011""",0,0
"Easton School District","=""0460011""",0,0
"Ellington School District","=""0480011""","*","*"
"Enfield School District","=""0490011""",17,50.0
"Fairfield School District","=""0510011""",6,21.4
"Farmington School District","=""0520011""","*","*"
"Franklin School District","=""0530011""",0,0
"Glastonbury School District","=""0540011""",12,"*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",11,45.8
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",26,65.0
"Guilford School District","=""0600011""",13,"*"
"Hamden School District","=""0620011""",6,23.1
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",113,70.2
"Kent School District","=""0680011""",0,0
"Killingly School District","=""0690011""",6,"*"
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""","*","*"
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",11,55.0
"Mansfield School District","=""0780011""",0,0
"Marlborough School District","=""0790011""",0,0
"Meriden School District","=""0800011""",27,51.9
"Middletown School District","=""0830011""",16,48.5
"Milford School District","=""0840011""",10,"*"
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",18,78.3
"New Britain School District","=""0890011""",44,47.8
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""",0,0
"New Haven School District","=""0930011""",81,56.6
"New London School District","=""0950011""",7,25.9
"New Milford School District","=""0960011""",8,"*"
"Newington School District","=""0940011""",7,"*"
"Newtown School District","=""0970011""",10,"*"
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""",0,0
"North Haven School District","=""1010011""","*","*"
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",13,44.8
"Norwich School District","=""1040011""",18,42.9
"Old Saybrook School District","=""1060011""","*","*"
"Orange School District","=""1070011""",0,0
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",8,"*"
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""",0,0
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Regional School District 01","=""2010012""",0,0
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""",0,0
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""","*","*"
"Regional School District 11","=""2110012""",0,0
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""",0,0
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""",0,0
"Ridgefield School District","=""1180011""",0,0
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Seymour School District","=""1240011""","*","*"
"Shelton School District","=""1260011""","*","*"
"Sherman School District","=""1270011""",0,0
"Simsbury School District","=""1280011""",8,"*"
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""","*","*"
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",13,23.2
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""","*","*"
"Stratford School District","=""1380011""",29,76.3
"Suffield School District","=""1390011""",7,"*"
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""",0,0
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""","*","*"
"Trumbull School District","=""1440011""",7,25.9
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",9,42.9
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",11,52.4
"Waterbury School District","=""1510011""",44,40.7
"Waterford School District","=""1520011""",12,"*"
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""",10,37.0
"West Haven School District","=""1560011""",11,52.4
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",0,0
"Westport School District","=""1580011""","*","*"
"Wethersfield School District","=""1590011""",12,"*"
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",0,0
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""",26,83.9
"Windsor Locks School District","=""1650011""",11,"*"
"Windsor School District","=""1640011""",10,"*"
"Wolcott School District","=""1660011""","*","*"
"Woodbridge School District","=""1670011""",0,0
"Woodstock School District","=""1690011""","*","*"

