"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Emotional Disturbance"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""",19,52.8
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",6,"*"
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",15,57.7
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",6,30.0
"Bloomfield School District","=""0110011""",11,"*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",17,37.0
"Bridgeport School District","=""0150011""",107,40.1
"Bristol School District","=""0170011""",39,30.5
"Brookfield School District","=""0180011""","*","*"
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",8,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",11,31.4
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""",18,52.9
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",45,100.0
"Coventry School District","=""0320011""",11,52.4
"Cromwell School District","=""0330011""",6,"*"
"Danbury School District","=""0340011""",18,39.1
"Darien School District","=""0350011""",7,"*"
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",11,"*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",52,48.6
"East Haven School District","=""0440011""",13,36.1
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",17,65.4
"Enfield School District","=""0490011""",33,42.9
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",25,43.9
"Farmington School District","=""0520011""",15,38.5
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",24,50.0
"Granby School District","=""0560011""",9,"*"
"Greenwich School District","=""0570011""",22,36.7
"Griswold School District","=""0580011""",11,42.3
"Groton School District","=""0590011""",36,41.4
"Guilford School District","=""0600011""",25,69.4
"Hamden School District","=""0620011""",33,37.5
"Hartford School District","=""0640011""",117,32.9
"Hartland School District","=""0650011""",0,0
"Hebron School District","=""0670011""","*","*"
"Killingly School District","=""0690011""",12,22.6
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",19,61.3
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",11,"*"
"Manchester School District","=""0770011""",15,23.8
"Mansfield School District","=""0780011""","*","*"
"Marlborough School District","=""0790011""",0,0
"Meriden School District","=""0800011""",56,29.9
"Middletown School District","=""0830011""",17,27.4
"Milford School District","=""0840011""",21,28.4
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""",13,40.6
"Naugatuck School District","=""0880011""",6,17.6
"New Britain School District","=""0890011""",28,24.6
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",109,45.8
"New London School District","=""0950011""",28,32.9
"New Milford School District","=""0960011""",36,53.7
"Newington School District","=""0940011""",16,48.5
"Newtown School District","=""0970011""",11,"*"
"North Branford School District","=""0990011""",22,71.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",20,40.8
"North Stonington School District","=""1020011""",0,0
"Norwalk School District","=""1030011""",20,34.5
"Norwich School District","=""1040011""",32,28.8
"Old Saybrook School District","=""1060011""","*","*"
"Orange School District","=""1070011""",0,0
"Oxford School District","=""1080011""",9,"*"
"Plainfield School District","=""1090011""",11,28.9
"Plainville School District","=""1100011""",19,59.4
"Plymouth School District","=""1110011""",10,37.0
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Redding School District","=""1170011""",8,"*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",8,"*"
"Regional School District 05","=""2050012""",15,75.0
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""",12,50.0
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",9,"*"
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",6,"*"
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""",17,68.0
"Regional School District 18","=""2180012""",7,"*"
"Regional School District 19","=""2190012""",10,41.7
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""",9,"*"
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Seymour School District","=""1240011""","*","*"
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""",16,55.2
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",16,59.3
"Somers School District","=""1290011""",8,"*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",14,31.8
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",15,34.1
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",10,"*"
"Stratford School District","=""1380011""",19,38.8
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""",0,0
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""",21,35.0
"Trumbull School District","=""1440011""",20,50.0
"Unified School District #1","=""3360015""",49,83.1
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",19,33.9
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",17,40.5
"Waterbury School District","=""1510011""",78,30.5
"Waterford School District","=""1520011""",14,42.4
"Watertown School District","=""1530011""",15,60.0
"West Hartford School District","=""1550011""",35,50.0
