"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",7,"*"
"Ansonia School District","=""0020011""",76,79.2
"Ashford School District","=""0030011""",11,"*"
"Avon School District","=""0040011""",42,66.7
"Barkhamsted School District","=""0050011""",7,"*"
"Berlin School District","=""0070011""",37,69.8
"Bethany School District","=""0080011""",8,"*"
"Bethel School District","=""0090011""",48,78.7
"Bloomfield School District","=""0110011""",30,68.2
"Bolton School District","=""0120011""",18,64.3
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",80,75.5
"Bridgeport School District","=""0150011""",390,70.1
"Bristol School District","=""0170011""",190,58.3
"Brookfield School District","=""0180011""",73,90.1
"Brooklyn School District","=""0190011""",9,"*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",9,"*"
"Canton School District","=""0230011""",30,85.7
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",89,74.8
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",38,76.0
"Colchester School District","=""0280011""",46,85.2
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",19,82.6
"Connecticut Technical High School System","=""9000016""",248,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",28,82.4
"Cromwell School District","=""0330011""",25,78.1
"Danbury School District","=""0340011""",127,66.1
"Darien School District","=""0350011""",139,87.4
"Deep River School District","=""0360011""",13,"*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",39,76.5
"East Granby School District","=""0400011""",13,"*"
"East Haddam School District","=""0410011""",16,64.0
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",174,76.7
"East Haven School District","=""0440011""",49,68.1
"East Lyme School District","=""0450011""",60,78.9
"East Windsor School District","=""0470011""",21,72.4
"Eastford School District","=""0390011""",0,0
"Easton School District","=""0460011""",9,"*"
"Ellington School District","=""0480011""",23,69.7
"Enfield School District","=""0490011""",85,81.0
"Essex School District","=""0500011""",6,"*"
"Fairfield School District","=""0510011""",210,83.0
"Farmington School District","=""0520011""",90,88.2
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",125,83.9
"Granby School District","=""0560011""",51,87.9
"Greenwich School District","=""0570011""",107,74.8
"Griswold School District","=""0580011""",43,71.7
"Groton School District","=""0590011""",78,76.5
"Guilford School District","=""0600011""",74,91.4
"Hamden School District","=""0620011""",132,69.1
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",499,80.4
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",13,"*"
"Killingly School District","=""0690011""",58,62.4
"Lebanon School District","=""0710011""",16,59.3
"Ledyard School District","=""0720011""",60,73.2
"Lisbon School District","=""0730011""",10,"*"
"Litchfield School District","=""0740011""",23,88.5
"Madison School District","=""0760011""",91,91.0
"Manchester School District","=""0770011""",112,66.7
"Mansfield School District","=""0780011""",17,73.9
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",214,70.6
"Middletown School District","=""0830011""",99,81.1
"Milford School District","=""0840011""",170,83.7
"Monroe School District","=""0850011""",53,72.6
"Montville School District","=""0860011""",38,65.5
"Naugatuck School District","=""0880011""",97,68.8
"New Britain School District","=""0890011""",242,65.6
"New Canaan School District","=""0900011""",63,84.0
"New Fairfield School District","=""0910011""",50,83.3
"New Hartford School District","=""0920011""",7,"*"
"New Haven School District","=""0930011""",406,76.9
"New London School District","=""0950011""",73,53.7
"New Milford School District","=""0960011""",93,72.7
"Newington School District","=""0940011""",55,69.6
"Newtown School District","=""0970011""",77,85.6
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",45,91.8
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",53,80.3
"North Stonington School District","=""1020011""",13,"*"
"Norwalk School District","=""1030011""",180,75.9
"Norwich School District","=""1040011""",107,60.5
"Old Saybrook School District","=""1060011""",47,85.5
"Orange School District","=""1070011""",10,"*"
"Oxford School District","=""1080011""",40,66.7
"Plainfield School District","=""1090011""",48,76.2
"Plainville School District","=""1100011""",72,91.1
"Plymouth School District","=""1110011""",51,83.6
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""",12,57.1
"Preston School District","=""1140011""",17,"*"
"Putnam School District","=""1160011""",12,"*"
"Redding School District","=""1170011""",26,92.9
"Regional School District 01","=""2010012""","*","*"
