"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts, Autism"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2010-11",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",16,47.1
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",29,59.2
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",16,42.1
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",11,42.3
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",17,47.2
"Bridgeport School District","=""0150011""",30,19.0
"Bristol School District","=""0170011""",21,39.6
"Brookfield School District","=""0180011""",26,74.3
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",10,45.5
"Cheshire School District","=""0250011""",16,30.2
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",10,"*"
"Colchester School District","=""0280011""",19,73.1
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",30,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",7,"*"
"Cromwell School District","=""0330011""",8,"*"
"Danbury School District","=""0340011""",42,43.8
"Darien School District","=""0350011""",22,44.9
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""",7,"*"
"East Haddam School District","=""0410011""",11,"*"
"East Hampton School District","=""0420011""",15,65.2
"East Hartford School District","=""0430011""",27,38.0
"East Haven School District","=""0440011""",11,28.9
"East Lyme School District","=""0450011""",27,61.4
"East Windsor School District","=""0470011""",7,"*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",11,"*"
"Enfield School District","=""0490011""",35,55.6
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",83,66.4
"Farmington School District","=""0520011""",44,68.8
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",46,59.7
"Granby School District","=""0560011""",12,"*"
"Greenwich School District","=""0570011""",46,58.2
"Griswold School District","=""0580011""",9,"*"
"Groton School District","=""0590011""",40,56.3
"Guilford School District","=""0600011""",22,48.9
"Hamden School District","=""0620011""",27,32.9
"Hartford School District","=""0640011""",97,55.4
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""",0,0
"Killingly School District","=""0690011""",27,69.2
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",31,62.0
"Lisbon School District","=""0730011""",9,"*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",28,71.8
"Manchester School District","=""0770011""",26,40.0
"Mansfield School District","=""0780011""",8,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",37,43.5
"Middletown School District","=""0830011""",13,28.3
"Milford School District","=""0840011""",33,39.8
"Monroe School District","=""0850011""",19,70.4
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",16,40.0
"New Britain School District","=""0890011""",61,56.5
"New Canaan School District","=""0900011""",20,52.6
"New Fairfield School District","=""0910011""",14,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",94,57.7
"New London School District","=""0950011""",26,55.3
"New Milford School District","=""0960011""",39,54.2
"Newington School District","=""0940011""",29,63.0
"Newtown School District","=""0970011""",53,69.7
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",15,"*"
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",27,55.1
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",47,50.5
"Norwich School District","=""1040011""",9,23.7
"Old Saybrook School District","=""1060011""",14,70.0
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""",11,"*"
"Plainfield School District","=""1090011""",21,55.3
"Plainville School District","=""1100011""",12,60.0
"Plymouth School District","=""1110011""",9,39.1
"Pomfret School District","=""1120011""",6,"*"
"Portland School District","=""1130011""",10,"*"
"Preston School District","=""1140011""",10,"*"
"Putnam School District","=""1160011""",13,56.5
"Redding School District","=""1170011""",12,"*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",12,"*"
"Regional School District 05","=""2050012""",27,62.8
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",22,75.9
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""",11,39.3
"Regional School District 14","=""2140012""",11,36.7
"Regional School District 15","=""2150012""",18,42.9
"Regional School District 16","=""2160012""",16,45.7
"Regional School District 17","=""2170012""",25,78.1
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",32,64.0
"Rocky Hill School District","=""1190011""",13,59.1
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",16,66.7
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",24,42.1
"Sherman School District","=""1270011""",6,"*"
"Simsbury School District","=""1280011""",52,61.2
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""",34,61.8
"Southington School District","=""1310011""",38,55.1
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",14,66.7
"Stamford School District","=""1350011""",34,37.4
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",22,66.7
"Stratford School District","=""1380011""",46,55.4
"Suffield School District","=""1390011""",25,73.5
"Thomaston School District","=""1400011""",0,0
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",26,61.9
"Torrington School District","=""1430011""",22,38.6
"Trumbull School District","=""1440011""",39,50.6
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",10,32.3
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",51,62.2
"Waterbury School District","=""1510011""",76,46.6
"Waterford School District","=""1520011""",18,69.2
"Watertown School District","=""1530011""",16,51.6
"West Hartford School District","=""1550011""",79,59.8
"West Haven School District","=""1560011""",15,23.8
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",11,36.7
"Westport School District","=""1580011""",24,50.0
"Wethersfield School District","=""1590011""",39,66.1
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",24,50.0
"Winchester School District","=""1620011""",14,46.7
"Windham School District","=""1630011""","*","*"
"Windsor Locks School District","=""1650011""",10,41.7
"Windsor School District","=""1640011""",29,59.2
"Wolcott School District","=""1660011""",10,41.7
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

