"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts, Emotional Disturbance"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2013-14",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""",15,48.4
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""",9,42.9
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",10,47.6
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",17,40.5
"Bridgeport School District","=""0150011""",61,25.4
"Bristol School District","=""0170011""",28,22.8
"Brookfield School District","=""0180011""",10,"*"
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",8,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",16,43.2
"Chester School District","=""0260011""",0,0
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""",20,62.5
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",39,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",13,56.5
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",18,32.1
"Darien School District","=""0350011""","*","*"
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",9,"*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",47,42.7
"East Haven School District","=""0440011""",17,47.2
"East Lyme School District","=""0450011""",6,"*"
"East Windsor School District","=""0470011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",15,55.6
"Enfield School District","=""0490011""",30,42.3
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",22,50.0
"Farmington School District","=""0520011""",17,58.6
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",23,41.8
"Granby School District","=""0560011""",11,"*"
"Greenwich School District","=""0570011""",17,32.1
"Griswold School District","=""0580011""",11,32.4
"Groton School District","=""0590011""",36,43.9
"Guilford School District","=""0600011""",24,61.5
"Hamden School District","=""0620011""",49,56.3
"Hartford School District","=""0640011""",123,35.3
"Hartland School District","=""0650011""",0,0
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",9,20.0
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",15,55.6
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",8,"*"
"Manchester School District","=""0770011""",32,38.6
"Mansfield School District","=""0780011""","*","*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",43,27.4
"Middletown School District","=""0830011""",26,42.6
"Milford School District","=""0840011""",25,33.3
"Monroe School District","=""0850011""",19,70.4
"Montville School District","=""0860011""",9,28.1
"Naugatuck School District","=""0880011""","*","*"
"New Britain School District","=""0890011""",34,28.1
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""",11,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",102,51.0
"New London School District","=""0950011""",27,34.2
"New Milford School District","=""0960011""",34,47.9
"Newington School District","=""0940011""",16,55.2
"Newtown School District","=""0970011""",12,60.0
"North Branford School District","=""0990011""",18,72.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",17,38.6
"Norwalk School District","=""1030011""",23,41.1
"Norwich School District","=""1040011""",34,30.1
"Old Saybrook School District","=""1060011""",7,"*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",13,31.0
"Plainville School District","=""1100011""",19,54.3
"Plymouth School District","=""1110011""",13,44.8
"Pomfret School District","=""1120011""",0,0
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""",15,"*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",8,"*"
"Regional School District 08","=""2080012""",9,45.0
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",8,"*"
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",10,"*"
"Regional School District 13","=""2130012""",7,"*"
"Regional School District 14","=""2140012""",7,"*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""",24,82.8
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""",15,71.4
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",0,0
"Seymour School District","=""1240011""","*","*"
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",11,39.3
