"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts, Emotional Disturbance"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2010-11",
"District","District Code","Count","Rate (%)"
"Ansonia School District","=""0020011""","*","*"
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",15,46.9
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",28,56.0
"Bridgeport School District","=""0150011""",77,32.0
"Bristol School District","=""0170011""",21,20.2
"Brookfield School District","=""0180011""",10,"*"
"Brooklyn School District","=""0190011""","*","*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""","*","*"
"Cheshire School District","=""0250011""",13,39.4
"Clinton School District","=""0270011""",7,"*"
"Colchester School District","=""0280011""",23,57.5
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",39,100.0
"Coventry School District","=""0320011""",22,59.5
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",29,49.2
"Darien School District","=""0350011""",7,"*"
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",43,35.2
"East Haven School District","=""0440011""",9,39.1
"East Lyme School District","=""0450011""",12,57.1
"East Windsor School District","=""0470011""",8,"*"
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",16,64.0
"Enfield School District","=""0490011""",36,45.0
"Essex School District","=""0500011""","*","*"
"Fairfield School District","=""0510011""",26,59.1
"Farmington School District","=""0520011""",17,54.8
"Franklin School District","=""0530011""",0,0
"Glastonbury School District","=""0540011""",21,38.9
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",25,49.0
"Griswold School District","=""0580011""",10,43.5
"Groton School District","=""0590011""",27,49.1
"Guilford School District","=""0600011""",14,60.9
"Hamden School District","=""0620011""",35,39.3
"Hartford School District","=""0640011""",168,44.6
"Hebron School District","=""0670011""","*","*"
"Killingly School District","=""0690011""",11,33.3
"Lebanon School District","=""0710011""",6,"*"
"Ledyard School District","=""0720011""",13,52.0
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",14,56.0
"Manchester School District","=""0770011""",40,37.0
"Mansfield School District","=""0780011""","*","*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",38,27.9
"Middletown School District","=""0830011""",32,50.0
"Milford School District","=""0840011""",60,68.2
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""",13,41.9
"Naugatuck School District","=""0880011""",10,35.7
"New Britain School District","=""0890011""",21,17.8
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""",14,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",139,56.3
"New London School District","=""0950011""",17,33.3
"New Milford School District","=""0960011""",27,50.0
"Newington School District","=""0940011""","*","*"
"Newtown School District","=""0970011""",19,90.5
"North Branford School District","=""0990011""",22,88.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",25,56.8
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",16,48.5
"Norwich School District","=""1040011""",30,24.2
"Old Saybrook School District","=""1060011""","*","*"
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",11,33.3
"Plainville School District","=""1100011""",19,57.6
"Plymouth School District","=""1110011""",9,27.3
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""",7,"*"
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""",0,0
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""",13,"*"
"Regional School District 06","=""2060012""",6,"*"
"Regional School District 07","=""2070012""",11,55.0
"Regional School District 08","=""2080012""",8,32.0
"Regional School District 09","=""2090012""",6,"*"
"Regional School District 10","=""2100012""",17,63.0
"Regional School District 11","=""2110012""",6,"*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""",8,"*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 16","=""2160012""",6,"*"
"Regional School District 17","=""2170012""",24,88.9
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""",13,56.5
"Ridgefield School District","=""1180011""",20,57.1
"Rocky Hill School District","=""1190011""",11,"*"
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",0,0
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""","*","*"
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",26,59.1
"Sherman School District","=""1270011""","*","*"
"Simsbury School District","=""1280011""",9,37.5
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",33,51.6
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",11,47.8
"Stamford School District","=""1350011""",15,38.5
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",15,53.6
"Stratford School District","=""1380011""",20,43.5
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""",9,"*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",21,72.4
"Torrington School District","=""1430011""",22,28.2
"Trumbull School District","=""1440011""",21,63.6
"Unified School District #1","=""3360015""",123,83.7
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",20,46.5
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",19,42.2
"Waterbury School District","=""1510011""",86,36.9
"Waterford School District","=""1520011""",11,33.3
"Watertown School District","=""1530011""",22,78.6
"West Hartford School District","=""1550011""",20,37.0
"West Haven School District","=""1560011""",31,47.7
"Westbrook School District","=""1540011""",0,0
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""",23,62.2
"Wethersfield School District","=""1590011""",9,37.5
"Wilton School District","=""1610011""",6,"*"
"Winchester School District","=""1620011""",14,48.3
"Windham School District","=""1630011""",31,30.1
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""",21,46.7
"Wolcott School District","=""1660011""",10,"*"
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""",0,0

