"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts, Intellectual Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2011-12",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",19,76.0
"Ashford School District","=""0030011""",0,0
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""","*","*"
"Bloomfield School District","=""0110011""",12,"*"
"Bolton School District","=""0120011""",0,0
"Branford School District","=""0140011""","*","*"
"Bridgeport School District","=""0150011""",29,23.2
"Bristol School District","=""0170011""",9,"*"
"Brookfield School District","=""0180011""",0,0
"Brooklyn School District","=""0190011""",0,0
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""","*","*"
"Chaplin School District","=""0240011""",0,"*"
"Cheshire School District","=""0250011""","*","*"
"Clinton School District","=""0270011""",0,0
"Colchester School District","=""0280011""","*","*"
"Colebrook School District","=""0290011""",0,"*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""","*","*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",13,31.7
"Darien School District","=""0350011""","*","*"
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""","*","*"
"East Hartford School District","=""0430011""",29,74.4
"East Haven School District","=""0440011""",6,"*"
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Eastford School District","=""0390011""",0,0
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",0,0
"Enfield School District","=""0490011""",13,41.9
"Fairfield School District","=""0510011""",9,32.1
"Farmington School District","=""0520011""","*","*"
"Franklin School District","=""0530011""",0,0
"Glastonbury School District","=""0540011""",14,"*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",12,46.2
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",25,69.4
"Guilford School District","=""0600011""",12,"*"
"Hamden School District","=""0620011""",7,25.0
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",98,58.0
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""",0,0
"Killingly School District","=""0690011""",6,28.6
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""",6,"*"
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",12,57.1
"Mansfield School District","=""0780011""",0,0
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",21,38.9
"Middletown School District","=""0830011""",15,41.7
"Milford School District","=""0840011""",13,"*"
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""",10,"*"
"Naugatuck School District","=""0880011""",13,61.9
"New Britain School District","=""0890011""",60,60.6
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""",0,0
"New Haven School District","=""0930011""",66,47.8
"New London School District","=""0950011""",6,20.7
"New Milford School District","=""0960011""",7,"*"
"Newington School District","=""0940011""","*","*"
"Newtown School District","=""0970011""",10,"*"
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""",0,0
"North Haven School District","=""1010011""","*","*"
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",20,64.5
"Norwich School District","=""1040011""",18,36.7
"Old Saybrook School District","=""1060011""","*","*"
"Oxford School District","=""1080011""","*","*"
"Plainfield School District","=""1090011""",13,"*"
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""",6,"*"
"Redding School District","=""1170011""",0,0
"Regional School District 01","=""2010012""",0,0
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""",0,0
"Regional School District 10","=""2100012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""","*","*"
"Regional School District 16","=""2160012""",6,"*"
"Regional School District 17","=""2170012""","*","*"
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""",7,"*"
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Seymour School District","=""1240011""",9,"*"
"Shelton School District","=""1260011""","*","*"
"Sherman School District","=""1270011""",0,0
"Simsbury School District","=""1280011""",10,45.5
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""",6,"*"
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",15,28.8
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""","*","*"
"Stratford School District","=""1380011""",28,80.0
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""",9,"*"
"Trumbull School District","=""1440011""",13,50.0
"Unified School District #1","=""3360015""",6,"*"
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",14,58.3
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",14,60.9
"Waterbury School District","=""1510011""",38,34.2
"Waterford School District","=""1520011""",15,"*"
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""",11,42.3
"West Haven School District","=""1560011""",10,45.5
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",0,0
"Westport School District","=""1580011""","*","*"
"Wethersfield School District","=""1590011""",15,"*"
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",0,0
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""",31,88.6
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""",12,"*"
"Wolcott School District","=""1660011""","*","*"
"Woodbridge School District","=""1670011""",0,0
"Woodstock School District","=""1690011""",0,0

