"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2010-11"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2010-11",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",6,"*"
"Ansonia School District","=""0020011""",49,100.0
"Ashford School District","=""0030011""",15,"*"
"Avon School District","=""0040011""",66,79.5
"Barkhamsted School District","=""0050011""",9,"*"
"Berlin School District","=""0070011""",59,75.6
"Bethany School District","=""0080011""",9,"*"
"Bethel School District","=""0090011""",47,95.9
"Bloomfield School District","=""0110011""",33,75.0
"Bolton School District","=""0120011""",7,"*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",84,83.2
"Bridgeport School District","=""0150011""",294,66.4
"Bristol School District","=""0170011""",161,80.1
"Brookfield School District","=""0180011""",40,90.9
"Brooklyn School District","=""0190011""",21,84.0
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",7,"*"
"Canton School District","=""0230011""",9,"*"
"Chaplin School District","=""0240011""",6,"*"
"Cheshire School District","=""0250011""",61,84.7
"Chester School District","=""0260011""",6,"*"
"Clinton School District","=""0270011""",28,73.7
"Colchester School District","=""0280011""",92,98.9
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",12,"*"
"Connecticut Technical High School System","=""9000016""",40,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",25,92.6
"Cromwell School District","=""0330011""",56,90.3
"Danbury School District","=""0340011""",124,89.2
"Darien School District","=""0350011""",100,86.2
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",45,93.8
"East Granby School District","=""0400011""",16,"*"
"East Haddam School District","=""0410011""",40,88.9
"East Hampton School District","=""0420011""",23,82.1
"East Hartford School District","=""0430011""",258,93.8
"East Haven School District","=""0440011""",80,76.9
"East Lyme School District","=""0450011""",28,90.3
"East Windsor School District","=""0470011""",17,"*"
"Eastford School District","=""0390011""",6,"*"
"Easton School District","=""0460011""",17,"*"
"Ellington School District","=""0480011""",25,78.1
"Enfield School District","=""0490011""",154,95.7
"Essex School District","=""0500011""",10,"*"
"Fairfield School District","=""0510011""",148,91.4
"Farmington School District","=""0520011""",71,87.7
"Franklin School District","=""0530011""",9,"*"
"Glastonbury School District","=""0540011""",91,91.0
"Granby School District","=""0560011""",30,93.8
"Greenwich School District","=""0570011""",187,92.6
"Griswold School District","=""0580011""",30,93.8
"Groton School District","=""0590011""",97,96.0
"Guilford School District","=""0600011""",39,75.0
"Hamden School District","=""0620011""",130,82.8
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",347,94.0
"Hartland School District","=""0650011""",7,"*"
"Hebron School District","=""0670011""",31,91.2
"Kent School District","=""0680011""",11,"*"
"Killingly School District","=""0690011""",61,93.8
"Lebanon School District","=""0710011""",19,76.0
"Ledyard School District","=""0720011""",34,87.2
"Lisbon School District","=""0730011""",24,96.0
"Litchfield School District","=""0740011""",30,93.8
"Madison School District","=""0760011""",28,100.0
"Manchester School District","=""0770011""",161,85.6
"Mansfield School District","=""0780011""",22,91.7
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",148,91.9
"Middletown School District","=""0830011""",98,90.7
"Milford School District","=""0840011""",210,89.4
"Monroe School District","=""0850011""",51,94.4
"Montville School District","=""0860011""",50,89.3
"Naugatuck School District","=""0880011""",81,85.3
"New Britain School District","=""0890011""",175,94.6
"New Canaan School District","=""0900011""",113,88.3
"New Fairfield School District","=""0910011""",43,86.0
"New Hartford School District","=""0920011""",19,76.0
"New Haven School District","=""0930011""",256,89.2
"New London School District","=""0950011""",80,83.3
"New Milford School District","=""0960011""",74,66.1
"Newington School District","=""0940011""",69,98.6
"Newtown School District","=""0970011""",64,90.1
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",86,92.5
"North Canaan School District","=""1000011""",12,"*"
"North Haven School District","=""1010011""",65,90.3
"North Stonington School District","=""1020011""",11,"*"
"Norwalk School District","=""1030011""",204,94.9
"Norwich School District","=""1040011""",83,80.6
"Old Saybrook School District","=""1060011""",29,96.7
"Orange School District","=""1070011""",31,79.5
"Oxford School District","=""1080011""",18,90.0
"Plainfield School District","=""1090011""",26,89.7
"Plainville School District","=""1100011""",43,95.6
"Plymouth School District","=""1110011""",30,100.0
"Pomfret School District","=""1120011""",19,"*"
"Portland School District","=""1130011""",18,"*"
"Preston School District","=""1140011""",26,96.3
"Putnam School District","=""1160011""",35,94.6
"Redding School District","=""1170011""",38,95.0
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",15,"*"
"Regional School District 05","=""2050012""",33,100.0
"Regional School District 06","=""2060012""",11,"*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""",9,"*"
"Regional School District 09","=""2090012""",11,"*"
"Regional School District 10","=""2100012""",33,100.0
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",17,65.4
"Regional School District 13","=""2130012""",58,93.5
"Regional School District 14","=""2140012""",48,88.9
"Regional School District 15","=""2150012""",85,82.5
"Regional School District 16","=""2160012""",41,87.2
"Regional School District 17","=""2170012""",38,90.5
"Regional School District 18","=""2180012""",27,96.4
"Regional School District 19","=""2190012""",15,"*"
"Ridgefield School District","=""1180011""",69,98.6
"Rocky Hill School District","=""1190011""",35,89.7
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",38,97.4
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",76,76.8
"Sherman School District","=""1270011""",9,"*"
"Simsbury School District","=""1280011""",80,87.0
"Somers School District","=""1290011""",39,92.9
"South Windsor School District","=""1320011""",78,96.3
"Southington School District","=""1310011""",97,85.8
"Sprague School District","=""1330011""",6,"*"
"Stafford School District","=""1340011""",22,88.0
"Stamford School District","=""1350011""",186,83.0
"Sterling School District","=""1360011""",10,"*"
"Stonington School District","=""1370011""",38,97.4
"Stratford School District","=""1380011""",55,94.8
"Suffield School District","=""1390011""",34,94.4
"Thomaston School District","=""1400011""",21,80.8
"Thompson School District","=""1410011""",40,97.6
"Tolland School District","=""1420011""",26,83.9
"Torrington School District","=""1430011""",68,80.0
"Trumbull School District","=""1440011""",37,88.1
"Unified School District #1","=""3360015""",8,"*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",65,85.5
"Voluntown School District","=""1470011""",14,"*"
"Wallingford School District","=""1480011""",122,96.8
"Waterbury School District","=""1510011""",556,85.8
