"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts, Other Health Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2012-13",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",63,82.9
"Ashford School District","=""0030011""",9,"*"
"Avon School District","=""0040011""",50,67.6
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",37,64.9
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",51,94.4
"Bloomfield School District","=""0110011""",15,65.2
"Bolton School District","=""0120011""",15,55.6
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",83,79.0
"Bridgeport School District","=""0150011""",211,47.2
"Bristol School District","=""0170011""",158,53.0
"Brookfield School District","=""0180011""",65,92.9
"Brooklyn School District","=""0190011""",11,50.0
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",14,"*"
"Canton School District","=""0230011""",37,100.0
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",82,67.2
"Chester School District","=""0260011""",9,"*"
"Clinton School District","=""0270011""",23,59.0
"Colchester School District","=""0280011""",43,87.8
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",12,"*"
"Connecticut Technical High School System","=""9000016""",208,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",21,87.5
"Cromwell School District","=""0330011""",21,100.0
"Danbury School District","=""0340011""",127,74.3
"Darien School District","=""0350011""",127,81.9
"Deep River School District","=""0360011""",6,"*"
"Derby School District","=""0370011""",16,57.1
"East Granby School District","=""0400011""",16,"*"
"East Haddam School District","=""0410011""",20,80.0
"East Hampton School District","=""0420011""",12,54.5
"East Hartford School District","=""0430011""",148,73.6
"East Haven School District","=""0440011""",48,56.5
"East Lyme School District","=""0450011""",68,87.2
"East Windsor School District","=""0470011""",26,76.5
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",13,"*"
"Ellington School District","=""0480011""",20,62.5
"Enfield School District","=""0490011""",85,85.9
"Essex School District","=""0500011""",11,"*"
"Fairfield School District","=""0510011""",217,86.1
"Farmington School District","=""0520011""",88,87.1
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",148,91.9
"Granby School District","=""0560011""",33,82.5
"Greenwich School District","=""0570011""",130,76.0
"Griswold School District","=""0580011""",39,69.6
"Groton School District","=""0590011""",75,75.0
"Guilford School District","=""0600011""",65,86.7
"Hamden School District","=""0620011""",122,76.3
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",381,78.9
"Hartland School District","=""0650011""",0,0
"Hebron School District","=""0670011""",12,"*"
"Killingly School District","=""0690011""",62,70.5
"Lebanon School District","=""0710011""",16,59.3
"Ledyard School District","=""0720011""",61,84.7
"Lisbon School District","=""0730011""",11,"*"
"Litchfield School District","=""0740011""",23,88.5
"Madison School District","=""0760011""",90,94.7
"Manchester School District","=""0770011""",123,75.9
"Mansfield School District","=""0780011""",18,81.8
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",157,65.7
"Middletown School District","=""0830011""",84,88.4
"Milford School District","=""0840011""",181,84.2
"Monroe School District","=""0850011""",61,82.4
"Montville School District","=""0860011""",45,76.3
"Naugatuck School District","=""0880011""",87,68.0
"New Britain School District","=""0890011""",234,66.7
"New Canaan School District","=""0900011""",66,84.6
"New Fairfield School District","=""0910011""",52,78.8
"New Hartford School District","=""0920011""",10,"*"
"New Haven School District","=""0930011""",393,84.3
"New London School District","=""0950011""",97,68.3
"New Milford School District","=""0960011""",107,74.3
"Newington School District","=""0940011""",51,71.8
"Newtown School District","=""0970011""",59,90.8
"Norfolk School District","=""0980011""",0,"*"
"North Branford School District","=""0990011""",50,96.2
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",55,80.9
"North Stonington School District","=""1020011""",13,"*"
"Norwalk School District","=""1030011""",173,73.9
"Norwich School District","=""1040011""",107,59.4
"Old Saybrook School District","=""1060011""",51,78.5
"Orange School District","=""1070011""",12,"*"
"Oxford School District","=""1080011""",20,69.0
"Plainfield School District","=""1090011""",47,87.0
"Plainville School District","=""1100011""",64,78.0
"Plymouth School District","=""1110011""",55,88.7
"Pomfret School District","=""1120011""",9,"*"
"Portland School District","=""1130011""",22,75.9
"Preston School District","=""1140011""",13,"*"
"Putnam School District","=""1160011""",9,"*"
"Redding School District","=""1170011""",30,93.8
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",25,83.3
"Regional School District 05","=""2050012""",60,92.3
"Regional School District 06","=""2060012""",14,60.9
"Regional School District 07","=""2070012""",10,"*"
"Regional School District 08","=""2080012""",53,70.7
"Regional School District 09","=""2090012""",30,71.4
"Regional School District 10","=""2100012""",45,88.2
"Regional School District 11","=""2110012""",7,"*"
"Regional School District 12","=""2120012""",21,72.4
"Regional School District 13","=""2130012""",52,92.9
"Regional School District 14","=""2140012""",34,81.0
"Regional School District 15","=""2150012""",70,79.5
"Regional School District 16","=""2160012""",42,76.4
"Regional School District 17","=""2170012""",58,87.9
"Regional School District 18","=""2180012""",19,79.2
"Regional School District 19","=""2190012""",42,76.4
"Ridgefield School District","=""1180011""",47,83.9
"Rocky Hill School District","=""1190011""",26,76.5
"Salem School District","=""1210011""",12,"*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",30,96.8
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",70,66.0
"Sherman School District","=""1270011""",9,"*"
"Simsbury School District","=""1280011""",96,78.0
"Somers School District","=""1290011""",18,90.0
"South Windsor School District","=""1320011""",152,83.5
"Southington School District","=""1310011""",123,77.4
"Sprague School District","=""1330011""",6,"*"
"Stafford School District","=""1340011""",19,63.3
"Stamford School District","=""1350011""",171,65.8
"Sterling School District","=""1360011""",11,"*"
"Stonington School District","=""1370011""",48,90.6
"Stratford School District","=""1380011""",143,75.7
"Suffield School District","=""1390011""",40,90.9
"Thomaston School District","=""1400011""",26,86.7
"Thompson School District","=""1410011""",18,62.1
"Tolland School District","=""1420011""",49,80.3
"Torrington School District","=""1430011""",73,55.3
"Trumbull School District","=""1440011""",107,72.3
"Unified School District #1","=""3360015""",35,79.5
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",42,63.6
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",172,88.7
"Waterbury School District","=""1510011""",438,70.5
"Waterford School District","=""1520011""",87,89.7
"Watertown School District","=""1530011""",84,87.5
"West Hartford School District","=""1550011""",190,82.6
"West Haven School District","=""1560011""",77,68.8
"Westbrook School District","=""1540011""",7,"*"
"Weston School District","=""1570011""",32,64.0
"Westport School District","=""1580011""",82,82.0
"Wethersfield School District","=""1590011""",52,82.5
"Willington School District","=""1600011""",11,"*"
"Wilton School District","=""1610011""",70,70.7
"Winchester School District","=""1620011""",27,64.3
"Windham School District","=""1630011""",60,75.0
"Windsor Locks School District","=""1650011""",33,84.6
"Windsor School District","=""1640011""",70,85.4
"Wolcott School District","=""1660011""",44,83.0
"Woodbridge School District","=""1670011""",12,"*"
"Woodstock School District","=""1690011""","*","*"

